#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 16.119919540164695
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 0.001
#x-link fraction increment: 0.0
#MC steps: 20000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.011, 0.47367472010077644, 3.505, 0.4738821216014092, 0.71163674556001
0.012, 0.5166936271303668, 3.505, 0.5169623144742647, 0.2608061923022184
0.013, 0.5597514232710803, 3.505, 0.56004250734712, 0.13096046173151157
0.014, 0.6027725525269338, 3.505, 0.6031227002199755, 0.09883735183413422
0.015, 0.6457086353075181, 3.505, 0.6462028930928309, 0.07491123021979548
0.016, 0.6885810653131104, 3.505, 0.6892830859656863, 0.05197786670540426
0.017, 0.7311539225617223, 3.505, 0.7323632788385417, 0.03403701022687727
0.018, 0.7724640690802531, 3.505, 0.7754434717113972, 0.02089616892586684
0.019, 0.8097973471602151, 3.505, 0.8185236645842526, 0.01621377988382441
0.02, 0.842396550991014, 3.505, 0.861603857457108, 0.015163942050454801
0.021, 0.8708427318054018, 3.505, 0.9046840503299635, 0.014726583544809187
0.022, 0.8954004843449991, 3.505, 0.9477642432028188, 0.014636816379870942
0.023, 0.9163473033023019, 3.505, 0.9908444360756743, 0.014514186956997435
0.024, 0.9338828618599814, 3.505, 1.0339246289485298, 0.014576184210332932
0.025, 0.9481937430487926, 3.505, 1.077004821821385, 0.014898338235343592
0.026, 0.9594799550642787, 3.505, 1.1200850146942405, 0.014866053826808499
0.027, 0.9678607073206029, 3.505, 1.163165207567096, 0.015369716207980695
0.028, 0.9734877242021489, 3.505, 1.2062454004399514, 0.016133831275313808
0.029, 0.9765237189513845, 3.505, 1.249325593312807, 0.016700715148458167
0.03, 0.9770621659838337, 3.505, 1.2924057861856622, 0.01693105523775151
