#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 47.96334932711922
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 0.001
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.0
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.047389041178848894, 3.505087530864198, 0.04738821216014093, 0.0
0.0012, 0.0516963680573706, 3.505071409465021, 0.051696231447426466, 0.0
0.0013, 0.05600483701483756, 3.5050799176954723, 0.056004250734712005, 0.0
0.0014, 0.06031269118577563, 3.5050750925925933, 0.060312270021997544, 0.0
0.0015, 0.06462102375000997, 3.505082150205762, 0.06462028930928308, 0.0
0.0016, 0.06892752734902942, 3.5050544238683123, 0.06892830859656862, 0.0
0.0017, 0.073236931400558, 3.5050779115226343, 0.07323632788385417, 0.0
0.0018, 0.07754656890323167, 3.5051032304526766, 0.07754434717113971, 0.0
0.0019, 0.08185490233881718, 3.505104639917695, 0.08185236645842525, 0.0
0.002, 0.0861611533841128, 3.505079351851852, 0.08616038574571079, 0.0
0.0021, 0.09046908608125843, 3.505074506172839, 0.09046840503299632, 0.0
0.0022, 0.09477592733523697, 3.5050606378600833, 0.09477642432028185, 0.0
0.0023, 0.09908631297413337, 3.505091193415638, 0.09908444360756738, 0.0
0.0024, 0.10339329641797369, 3.5050781584362136, 0.10339246289485292, 0.0
0.0025, 0.10770221757564602, 3.505088261316874, 0.10770048218213844, 0.0
0.0026, 0.11200793434428051, 3.5050621296296303, 0.11200850146942398, 0.0
0.0027, 0.11632014063365168, 3.50510591563786, 0.11631652075670951, 0.0
0.0028, 0.12062623331665992, 3.5050843004115233, 0.12062454004399503, 0.0
0.0029, 0.12493714632517519, 3.5051125617283954, 0.12493255933128057, 0.0
0.003, 0.12924444962985598, 3.505102716049382, 0.1292405786185661, 0.0
0.0031, 0.13355083249849356, 3.505088374485597, 0.13354859790585163, 0.0
0.0032, 0.13785915240585286, 3.505089032921811, 0.13785661719313716, 0.0
0.0033, 0.14216837310365107, 3.5050989506172834, 0.14216463648042268, 0.0
0.0034, 0.146473975797157, 3.5050772736625513, 0.14647265576770824, 0.0
0.0035, 0.1507848393728262, 3.505101327160493, 0.15078067505499376, 0.0
0.0036, 0.15508932343910475, 3.505072962962964, 0.1550886943422793, 0.0
0.0037, 0.1594001598894786, 3.5050927366255142, 0.1593967136295648, 0.0
0.0038, 0.1637064851305528, 3.5050794341563782, 0.16370473291685034, 0.0
0.0039, 0.1680173397545063, 3.505100277777779, 0.1680127522041359, 0.0
