Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862138
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999965
Reservoir volume fraction: 0.693591296299635
Actual volume fraction: 0.6928574142873971
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.7060239280465961
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0101, 13.66941869705744, 34.06868330985013, 8.775992416840374, 34.06868330985013, 0.0, -0.02354821237311502, 1.5242887848941105, -0.022840599005171998, 0.0, 3.505, 0.43511006786498935, 0.0, 0.005900565216072588, 1.9047504186133717
0.0102, -1.9882812476916032, 15.538663138419999, 8.641223379008434, 15.538663138419999, 0.0, -0.02285395041499686, 1.5235723812565432, -0.02273780379451, 0.0, 3.505, 0.4394180883389001, 0.0, 0.00647402159505936, 1.8244168691245446
0.0103, -10.681932070255076, 21.47875763308685, 8.787620930574342, 21.47875763308685, 0.0, -0.023643145809763132, 1.5243690427062353, -0.023675171571360492, 0.0, 3.505, 0.4437261088128108, 0.0, 0.005299639168752846, 2.0230208157260456
0.0104, -1.3766925912729189, -25.82655103469226, 9.76988938481615, -25.82655103469226, 0.0, -0.023363975102222743, 1.5242203304401325, -0.02427398547581794, 0.0, 3.505, 0.4480341292867216, 0.0, 0.004783466394914244, 2.1362439377031066
0.0105, -11.095825970173538, -29.63643096794002, 9.46283255083481, -29.63643096794002, 0.0, -0.023708878039068855, 1.524524891120773, -0.022525277022102514, 0.0, 3.505, 0.45234214976063236, 0.0, 0.008240962158412465, 1.632745768451014
0.0106, 7.6398275399549105, 53.629556433239415, 9.810501128868019, 53.629556433239415, 0.0, -0.023893761767474906, 1.5247646278723497, -0.02336619201454974, 0.0, 3.505, 0.45665017023454313, 0.0, 0.006948810824339347, 1.783710920829566
0.0107, 6.377450199913699, -5.397181315251089, 10.059716846502265, -5.397181315251089, 0.0, -0.02334410314386283, 1.5242479136698808, -0.024711170681267627, 0.0, 3.505, 0.4609581907084539, 0.0, 0.005131580901438698, 2.0821567905775638
0.0108, -14.715356507324513, -46.94740230887942, 9.015978586951732, -46.94740230887942, 0.0, -0.023589260950383308, 1.5243508656906217, -0.02282954743618307, 0.0, 3.505, 0.46526621118236466, 0.0, 0.009016674689682359, 1.5756598850853372
0.0109, -1.3893395630496976, 24.827780869931946, 10.007968245161361, 24.827780869931946, 0.0, -0.024046709662112885, 1.52494117172163, -0.02315813508790159, 0.0, 3.505, 0.46957423165627543, 0.0, 0.008739753336696597, 1.6053522410109902
0.011, 21.91318412539971, 55.862410625275295, 10.45056554941075, 55.862410625275295, 0.0, -0.023655597028111056, 1.5246149715790038, -0.024065018608718708, 0.0, 3.505, 0.47388225213018614, 0.0, 0.0072842041796364315, 1.763806478666015
0.0111, 17.633773278952162, 10.816248839417138, 11.129202529091053, 10.816248839417138, 0.0, -0.02300043219038082, 1.5240511672635055, -0.02478653528012038, 0.0, 3.505, 0.4781902726040969, 0.0, 0.006391403013339902, 1.8886608816153279
0.0112, -20.73439218934504, -49.08652996610487, 11.211978533201908, -49.08652996610487, 0.0, -0.02281364637329895, 1.5238718320788383, -0.023771687832111133, 0.0, 3.505, 0.4824982930780077, 0.0, 0.008788381785475953, 1.615459137104244
0.0113, -2.6608462697518562, 34.81190414870032, 12.13695753550885, 34.81190414870032, 0.0, -0.023990426493062895, 1.5251979719699038, -0.023449928300995317, 0.0, 3.505, 0.48680631355191845, 0.0, 0.010069021506814813, 1.5137132323788685
0.0114, 13.87496557015744, 31.557778935087942, 11.434301903359273, 31.557778935087942, 0.0, -0.022940692424290542, 1.524048161802174, -0.025551313530532187, 0.0, 3.505, 0.4911143340258292, 0.0, 0.006236324304947937, 1.9290716791211928
0.0115, -8.270509646596174, -36.30849269731821, 10.966978617849234, -36.30849269731821, 0.0, -0.02332794568634677, 1.5243505672619118, -0.024340020817720295, 0.0, 3.505, 0.49542235449974, 0.0, 0.008935298555644115, 1.6163019857873238
0.0116, -104.84215546127034, -199.92612869527312, 12.8751426876606, -199.92612869527312, 0.0, -0.023335580171934038, 1.5246414513441595, -0.02423019975811001, 0.0, 3.505, 0.49973037497365075, 0.0, 0.009676591690741903, 1.5576476186998096
0.0117, 2.6155821249439746, 3.0685535372742163, 11.52374602595276, 3.0685535372742163, 0.0, -0.02833378987216781, 1.5294451500899902, -0.01981551998864131, 0.0, 3.505, 0.5040383954475615, 0.0, 0.030224811560816436, 0.8838758070216889
0.0118, 118.23037281584767, 212.1368441730544, 12.661217147427722, 212.1368441730544, 0.0, -0.023210695324659747, 1.5244828166704953, -0.02410621609891506, 0.0, 3.505, 0.5083464159214722, 0.0, 0.011041761160501077, 1.4665130157032609
0.0119, 17.424754927874893, -12.583379195233489, 13.124865472604428, -12.583379195233489, 0.0, -0.022688705394995866, 1.524030733461802, -0.02431440203829411, 0.0, 3.505, 0.512654436395383, 0.0, 0.011029343673542963, 1.4714716962202778
0.012, 3.430931623408433, -23.58062552319285, 13.147589498623333, -23.58062552319285, 0.0, -0.0223787245609789, 1.5237141206776452, -0.022700755867978352, 0.0, 3.505, 0.5169624568692938, 0.0, 0.01706598068605128, 1.186239963357117
0.0121, -1829.8062702955494, -2150.7166523182323, 12.668087368771099, -2150.7166523182323, 0.0, -0.02252489047681314, 1.5237967176349445, -0.02303006237459686, 0.0, 3.505, 0.5212704773432045, 0.0, 0.016502704439068164, 1.2096562948984915
0.0122, -124.59266686707278, -193.2219331675664, 10.562822069104268, -193.2219331675664, 0.0, -0.10974553840640335, 1.6107845124105042, -0.007386763740176512, 0.0, 3.505, 0.5255784978171153, 0.0, 0.6954139839592842, 0.18685698091238329
0.0123, 1574.7277268274913, 1766.3941781524115, 12.410425719925287, 1766.3941781524115, 0.0, -0.028473752118282073, 1.5297443216307351, -0.01807524358340244, 0.0, 3.505, 0.5298865182910261, 0.0, 0.05760368263493977, 0.6510100201242679
0.0124, 34.064521832484516, 63.212253095262106, 11.364868267818148, 63.212253095262106, 0.0, -0.034557827881865615, 1.5356698362190968, -0.01636908124655793, 0.0, 3.505, 0.5341945387649368, 0.0, 0.08860632057934245, 0.526323349887552
