DryVolFrac,	 Young,		Lindemann Parameter
0.0169, 	 0.08,		0.10150587003441781
0.0164, 	 0.1,		0.10241233653422206
0.0156, 	 0.15,		0.10082505692593276
0.0152, 	 0.2,		0.10075461738717902
0.0148,		 0.3,		0.10011659594811075
0.0145,		 0.4, 		0.10172922893616715
0.0144,	         0.5,		0.10078845332999262
0.0142,		 0.6, 		0.10161995548801601
0.0141, 	 0.7, 		0.10008798573780518
0.014,		 0.8, 		0.10338927637131373
0.0139, 	 0.9, 		0.1017321299922024
0.0138,		 1.0, 		0.10286025193181489
0.0138,		 1.2, 		0.10155385832107017
0.0136, 	 1.5, 		0.10234869731788176
0.0134,		 2.5, 		0.10345004252023303
0.0134,		 2.8, 		0.10121304915989
0.0133,		 3.0, 		0.10500437365271698

