#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 2041.6666666666704
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 1.0E-4
#Maximum x-link fraction: 7.0E-4
#Minimum dry volume fraction: 0.001
#Maximum dry volume fraction: 10.0
#Reservoir swelling ratio: 3.7584076762199405
#Mean swelling ratio: NaN
#Dry volume fraction: 0.001
#Reservoir volume fraction: 0.0530898696863276
#Actual volume fraction: 0.05312736477633553
#MC steps: 2000
#Equilibration steps: 1000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.0
#The coupling constant increment - dlambda: 0.0
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0025, NaN, NaN, 0.3963433933196766, 0.14921281653905577
0.0028, NaN, NaN, 0.4215349400733364, 0.14033541551568596
0.001, NaN, NaN, 0.14355751068192732, 0.145305316415169
0.001, NaN, NaN, 0.1373768814173532, 0.1454275519014406
0.001, NaN, NaN, 0.13186425141572303, 0.1433473721654612
0.001, NaN, NaN, 0.12690941620980306, 0.14553565610021119
0.001, NaN, NaN, 0.12242632072689147, 0.14753544950311043
0.001, NaN, NaN, 0.11834602681189542, 0.13842152515146225
0.001, NaN, NaN, 0.11461268745936531, 0.14183683816364712
0.001, NaN, NaN, 0.11118061337315238, 0.13094907265473457
0.001, NaN, NaN, 0.10801245339879216, 0.13873944418403333
0.001, NaN, NaN, 0.10507653762510528, 0.13644891275657436
0.001, NaN, NaN, 0.10234650854786942, 0.1330655193186695
0.001, NaN, NaN, 0.09979995112513233, 0.1247422820863937
0.001, NaN, NaN, 0.0974173927197077, 0.1223043421394503
0.001, NaN, NaN, 0.09518245005454685, 0.113033690942325
0.001, NaN, NaN, 0.09308095466436002, 0.12411768631637193
0.001, NaN, NaN, 0.09110016593962433, 0.12360536897338185
0.001, NaN, NaN, 0.08922924835068634, 0.11735400472164687
0.001, NaN, NaN, 0.08745873574891734, 0.11774586102342433
0.001, NaN, NaN, 0.0857800433857712, 0.12102057008170729
0.001, NaN, NaN, 0.08418578431690127, 0.12079367145015599
0.001, NaN, NaN, 0.08266912184258425, 0.12076224324691766
0.001, NaN, NaN, 0.08122428946987265, 0.12681912999931147
0.001, NaN, NaN, 0.07984560181926788, 0.12526349978988743
0.001, NaN, NaN, 0.0785285391824557, 0.1175576981370816
0.001, NaN, NaN, 0.07726877813038632, 0.11808116250732037
0.001, NaN, NaN, 0.0760621780291336, 0.1126742866913083
0.001, NaN, NaN, 0.07490529855865172, 0.11523754424622978
0.001, NaN, NaN, 0.0737948371893645, 0.11274335810984078
0.001, NaN, NaN, 0.07272796680863593, 0.10273618693568433
0.001, NaN, NaN, 0.07170179641158225, 0.10711776827816291
0.001, NaN, NaN, 0.07071388249389246, 0.10624301591849031
0.001, NaN, NaN, 0.0697620386652364, 0.10661713614926742
0.001, NaN, NaN, 0.06884415605493589, 0.10328948667758114
0.001, NaN, NaN, 0.06795836448198099, 0.10816842258065675
0.001, NaN, NaN, 0.06710269302185448, 0.10558631365789539
0.001, NaN, NaN, 0.06627572459838608, 0.10611595272767503
0.001, NaN, NaN, 0.06547576511108713, 0.10062961666178162
0.001, NaN, NaN, 0.0647014948352258, 0.10143375936768073
0.001, NaN, NaN, 0.06395163515118683, 0.0985004588523132
0.001, NaN, NaN, 0.06322478873004225, 0.10037504878345979
0.001, NaN, NaN, 0.06252006993011472, 0.09585497665183551
0.001, NaN, NaN, 0.06183615270947973, 0.09393954801900126
0.001, NaN, NaN, 0.06117221234222352, 0.09159327513509816
0.001, NaN, NaN, 0.06052729413925717, 0.09427664389594552
0.001, NaN, NaN, 0.05990046995821941, 0.09843345619695969
0.001, NaN, NaN, 0.059290988163288066, 0.09677393853173775
0.001, NaN, NaN, 0.05869811726699349, 0.09237986166657065
0.001, NaN, NaN, 0.05812099590191382, 0.09364718897088596
0.001, NaN, NaN, 0.05755908145963318, 0.09241067517859457
0.001, NaN, NaN, 0.05701169786835591, 0.08332558595174284
0.001, NaN, NaN, 0.056478186022562396, 0.08240375308116879
0.001, NaN, NaN, 0.05595819397938117, 0.08614526719821544
0.001, NaN, NaN, 0.05545080005482809, 0.08917539734358088
0.001, NaN, NaN, 0.05495582317643447, 0.0935097537139536
0.001, NaN, NaN, 0.054472657881567584, 0.09102415945483452
0.001, NaN, NaN, 0.05400099685129175, 0.08778489532569987
