DryVolFrac	young calibration	kT/epsilon
0.0169	0.08	0.0021428326533411046
0.0164	0.1	0.0017142661226728837
0.0156	0.15	0.0011428440817819227
0.0152	0.2	0.0008571330613364418
0.0148	0.3	0.0005714220408909613
0.0145	0.4	0.0004285665306682209
0.0144	0.5	0.00034285322453457676
0.0142	0.6	0.00028571102044548067
0.0141	0.7	0.00024489516038184053
0.014	0.8	0.00021428326533411046
0.0139	0.9	0.00019047401363032044
0.0138	1.0	0.00017142661226728838
0.0138	1.2	0.00014285551022274033
0.0136	1.5	0.00011428440817819227
0.0134	2.5	6.857064490691535e-05
0.0134	2.8	6.122379009546013e-05
0.0133	3.0	5.714220408909614e-05
