Number of particles: 32
springConstant: 199.5437395464709
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 35.09880237539702
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
Reservoir swelling ratio: 7.0053187131881725
Mean swelling ratio: 6.198701562499999
Dry volume fraction: 0.0030999999999999986
Reservoir volume fraction: 1.0657255796612939
Actual volume fraction: 0.7385535118012746
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 1.7765921160213391E-6
The coupling constant increment - dlambda: 0.1
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		F0/V,       F1/V,     F2/V,     <F_FR>/V,     <alpha>,      zeta, 		deltaF1MinusUlattice, 		newHertzianPotential, 		lindemannParameter, 		springConstant
0.0011, -398.28640752554554, -346.2564852178038, 1.0000081320300953, -346.3081627357094, 0.05167751790562716, -0.013663351884541253, 1.5136633518857643, -0.001596567024862572, 1.22307205759334E-12, -0.012200310127392634, 1.3352526649087904E-4, 7.002735937500003, 0.3781606895572335, 4.6574475041771995E-9, 0.0, 0.07637473201347933, 0.03004303962051077
0.0012, -465.21031687802093, -381.38104870224277, 1.0000035296416763, -381.3438158902918, -0.03723281195096161, -0.02401531633071224, 1.524015316331195, -0.0015525306073252015, 4.825814947699033E-13, -0.022607418746521116, 1.4463302265149615E-4, 7.0026637500000035, 0.4125389340624365, 1.6845271985861216E-9, 0.0, 0.051474688901389565, 0.03004303962051077
0.0013, -527.1186229878283, -411.5224861308127, 1.0000048351482151, -411.6101561696706, 0.08767003885790624, -0.03587550833708646, 1.535875508337723, -0.0014708112848589338, 6.36391500399569E-13, -0.034560550087309884, 1.5585303444596644E-4, 7.002649687500007, 0.44691717856763963, 2.0505465256023296E-9, 0.0, 0.034058820830875115, 0.03004303962051077
0.0014, -591.1955798960281, -444.0392610328139, 1.0000043056449608, -443.9666252959729, -0.07263573684096718, -0.04918337666400406, 1.549183376664824, -0.001316974044047966, 8.198061642761401E-13, -0.04803919896935575, 1.7279634857984852E-4, 7.002160937500009, 0.4812954230728427, 2.452854307673855E-9, 0.0, 0.020684440379516077, 0.03004303962051077
0.0015, -656.7969557201053, -477.7875597912213, 1.0000035695997345, -477.69211184670064, -0.09544794452071217, -0.06410301799944619, 1.564103017999928, -0.0011807096837326502, 4.818153710570278E-13, -0.06309937844232658, 1.770701261312219E-4, 7.001897812500001, 0.5156736675780457, 1.3454823378661324E-9, 0.0, 0.01393242745389875, 0.03004303962051077
0.0016, -718.8066160888582, -507.9452176185331, 1.0000060249885059, -507.9050689125169, -0.04014870601618772, -0.0805431212971731, 1.58054312129828, -0.0010194415835060977, 1.10690560507016E-12, -0.07971552810985105, 1.918483950771484E-4, 7.001133437500003, 0.5500519120832488, 2.89787209758815E-9, 0.0, 0.009452447278382842, 0.03004303962051077
0.0017, -778.2934831668242, -535.7785319250021, 1.0000096606883935, -535.7641840433771, -0.014347881624997437, -0.09842350582275622, 1.5984235058246319, -7.711089508584534E-4, 1.875707892173956E-12, -0.09785153108978298, 1.9913421600949957E-4, 7.000483750000006, 0.5844301565884519, 4.621733438693408E-9, 0.0, 0.0058058701749305166, 0.03004303962051077
0.0018, -837.8676177947018, -563.958209913654, 1.0000092231564786, -564.2427765914849, 0.2845666778310269, -0.11770389780383578, 1.6177038978058988, -4.1264919402337003E-4, 2.0629878795328377E-12, -0.11750583950089215, 2.145908890167407E-4, 6.999078437500006, 0.6188084010936549, 4.80079079021122E-9, 0.0, 0.0031629609457567405, 0.03004303962051077
0.0019, -894.8005331988784, -589.6168802146477, 1.000016515564994, -590.3622020592791, 0.7453218446313992, -0.13842873773135353, 1.6384287377352014, 4.141141381847684E-5, 3.847824324349457E-12, -0.1387067138551671, 2.365647061472848E-4, 6.9968375000000025, 0.653186645598858, 8.48301517872306E-9, 0.0, 0.0015920964146314105, 0.03004303962051077
0.002, -949.9744529795757, -613.9759325667455, 1.0000290055339007, -617.491136058883, 3.515203492137372, -0.1604274761857953, 1.6604274761935698, 7.757236396777856E-4, 7.774555145055078E-12, -0.1614782787670101, 2.750789337624814E-4, 6.992408750000001, 0.687564890104061, 1.6282990219089166E-8, 0.0, 5.74143672864272E-4, 0.03004303962051077
