Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935912962996355
Actual volume fraction: 0.6928553246115318
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.7079142366162838
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -38.51540549802685, -71.95665163686103, 12.103738755880816, -71.95665163686103, 0.0, -0.01266581621881796, 1.5138635032477286, -0.008959794025656501, 0.0, 3.505, 0.5212704773432051, 0.0, 0.4713089088076532, 0.22635324561138506
0.0122, -138.09614854249475, -194.79160121872167, 8.950658132596104, -194.79160121872167, 0.0, -0.017853757845051617, 1.5186951093182515, -0.005741534817620063, 0.0, 3.505, 0.5255784978171159, 0.0, 1.025813239917979, 0.15384978275198566
0.0123, 69.62350358487345, 82.33025131557362, 9.733720089186729, 82.33025131557362, 0.0, -0.019259421617565164, 1.520186399245461, -0.006054224529143677, 0.0, 3.505, 0.5298865182910265, 0.0, 0.9637320363215818, 0.15916026355313395
0.0124, 164.31589130785363, 169.66882134501432, 10.483451786194852, 169.66882134501432, 0.0, -0.014529480419778945, 1.5155777308717653, -0.006133518679364609, 0.0, 3.505, 0.5341945387649373, 0.0, 0.9568514672761115, 0.1601631955831792
0.0125, 22.767192376178357, 26.956366814481786, 10.275459462497674, 26.956366814481786, 0.0, -0.011413915718506511, 1.5124138455191112, -0.0061743893740268205, 0.0, 3.505, 0.538502559238848, 0.0, 0.9585839049138468, 0.16044740538847044
0.0126, -110.78117523588399, -124.37628335991148, 10.974672009502429, -124.37628335991148, 0.0, -0.013442427057681075, 1.5145450258718796, -0.006249704603651996, 0.0, 3.505, 0.5428105797127588, 0.0, 0.952753081976457, 0.16136565098974406
0.0127, -83.02569722448061, -100.97182567042327, 10.594422293278962, -100.97182567042327, 0.0, -0.016703327210602633, 1.5177818466107187, -0.005411100578401489, 0.0, 3.505, 0.5471186001866696, 0.0, 1.1653629622607813, 0.14629014214106517
0.0128, -98.44559430032979, -107.71248172794739, 10.812537303314977, -107.71248172794739, 0.0, -0.01740661209275922, 1.5185257557342253, -0.005215009747527257, 0.0, 3.505, 0.5514266206605803, 0.0, 1.2295147712075736, 0.14279539705223618
0.0129, -34.74669112958983, -31.110651171438512, 10.166645020966797, -31.110651171438512, 0.0, -0.021403758098157675, 1.522427064216491, -0.0047781455094028, 0.0, 3.505, 0.5557346411344911, 0.0, 1.3677639273678397, 0.13573820164664352
0.013, -15.828585628018153, -25.075837803446795, 11.59670006857759, -25.075837803446795, 0.0, -0.01906564438756768, 1.5202810182409627, -0.005130856431828514, 0.0, 3.505, 0.5600426616084019, 0.0, 1.2750871887810655, 0.1409469243580376
