Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574023723603
Mean swelling ratio: 3.5042869062499995
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935907656145422
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, 8.58424130229827, 1.0801006811598555, 1.0, 0.7514695224600176, 0.3286311586998377, -0.004976015080253325, 1.505129178503664, -0.003521747073658835, 0.0014406613403435237, 3.5049033125000006, 0.52127007850534, 0.0, 1.7216373041628366, 0.11843190592340722
0.0122, 14.90251489910391, 19.051634615845312, 1.0, 18.954952391770806, 0.09668222407450648, -0.004951206719742438, 1.5051225130217445, -0.003540949700946215, 0.001487129022327452, 3.5049417187499996, 0.52557809568307, 0.0, 1.7253649056559845, 0.1186289147315169
0.0123, 14.816656851802895, 9.246102230256193, 1.0, 9.96047281271095, -0.7143705824547567, -0.0042644724070454235, 1.504433053703934, -0.003696733979857417, 0.0014696567408051466, 3.504877031250001, 0.5298861128608001, 0.0, 1.6745688315918186, 0.12074281474666569
0.0124, 8.94424949048645, -8.733278829527436, 1.0, -8.459744234277183, -0.2735345952502522, -0.004243763466324189, 1.5044266127698047, -0.003265743790670179, 0.0014769171970823861, 3.50487365625, 0.5341941300385301, 0.0, 1.8636929366378736, 0.11476192098838163
0.0125, 16.263812075464443, 0.9259114511883607, 1.0, 0.9327938537486591, -0.006882402560298322, -0.003837415951447998, 1.504012149022331, -0.002836919664826618, 0.001480417671037163, 3.504910124999999, 0.5385021472162602, 0.0, 2.0695915141497867, 0.10919567752929767
0.0126, 11.496916750158498, -1.9047999819128232, 1.0, -2.0163615553152976, 0.11156157340247441, -0.0034672236407258415, 1.5036542861302362, -0.002517405039782495, 0.0015002752693026348, 3.50492009375, 0.5428101643939902, 0.0, 2.2377483473395983, 0.10529206737361138
0.0127, 8.659309833310171, 0.25363161484157937, 1.0, 0.47250808374453296, -0.21887646890295362, -0.0032884786121168776, 1.5034800048360903, -0.002181958339949405, 0.0015095582369605309, 3.5048581874999996, 0.5471181815717203, 0.0, 2.4253448414598897, 0.10140489490311505
0.0128, 12.732705650267219, 3.2599490619899623, 1.0, 3.127585668503786, 0.13236339348617626, -0.0030537720516051704, 1.5032478194401144, -0.002098637952132623, 0.0015135972583777092, 3.5049125312499996, 0.5514261987494504, 0.0, 2.4804457638495077, 0.10053475316908672
0.0129, 16.208023618436783, 3.004388427289359, 1.0, 2.75973400654065, 0.24465442074870913, -0.0026805366991646375, 1.5028877641560525, -0.0017147435589259534, 0.0015395280806300054, 3.5048504999999994, 0.5557342159271804, 0.0, 2.712088321499781, 0.09639527565956466
0.013, 12.20540595866008, 0.41908223155324953, 1.0, 0.15996661543056576, 0.2591156161226838, -0.00227989592861785, 1.5024858622095625, -0.001453237272838695, 0.00154914729891401, 3.504898875, 0.5600422331049105, 0.0, 2.882005845218891, 0.09375147644350977
0.0131, 14.847156667685484, 2.9545277798106686, 1.0, 3.0159399948061054, -0.06141221499543668, -0.00209777149193543, 1.502329767514407, -0.0011392702288373245, 0.0015757329753393814, 3.5048474375000005, 0.5643502502826405, 0.0, 3.0952507034751657, 0.09069575146956982
0.0132, 14.245139346982663, 0.08711309470163621, 1.0, 0.19667049363852399, -0.10955739893688778, -0.0015709964162612684, 1.501802756345539, -8.70772463609671E-4, 0.0015702720736291004, 3.5049124687499997, 0.5686582674603706, 0.0, 3.2878667030271536, 0.08822235295322858
0.0133, 16.422006325272005, 3.4966680058419968, 1.0, 3.157022432100187, 0.33964557374180937, -0.0014176161893038864, 1.501662112301509, -4.52664816266666E-4, 0.0015942939959770449, 3.5048121250000004, 0.5729662846381006, 0.0, 3.604294273039618, 0.08447305221684712
0.0134, 22.509815187786785, 9.494035554400918, 1.0, 9.485437890238295, 0.008597664162623708, -7.869033716152449E-4, 1.5010414798471339, -2.3912247124499166E-4, 0.001610463301021354, 3.504910781249999, 0.5772743018158307, 0.0, 3.7758831132516053, 0.08273769590129741
0.0135, 17.46547256462288, 2.648687758076431, 1.0, 2.944831836297323, -0.2961440782208919, -3.4285168273750014E-4, 1.5005985151046464, 1.7696871812167183E-4, 0.0016187412698890884, 3.5048120937500005, 0.5815823189935607, 0.0, 4.127624048814409, 0.0793302731381414
0.0136, 16.436051911527823, 2.7375562805958213, 1.0, 2.7417721068298797, -0.004215826234058282, 4.701151601343924E-5, 1.5002230663308354, 4.760279345379275E-4, 0.0016203048149929847, 3.5048568125, 0.5858903361712908, 0.0, 4.395814912735444, 0.07706154246267614
0.0137, 14.507673937584268, -0.4226954032035847, 1.0, -0.5652930003306074, 0.14259759712702272, 4.4191198925289435E-4, 1.4998291099947878, 8.373327708756411E-4, 0.0016423679909989693, 3.5048259375, 0.5901983533490209, 0.0, 4.738785258843642, 0.07440197004696827
0.0138, 18.8751522097304, 2.83050714003344, 1.0, 2.550464950155048, 0.280042189878392, 7.397019219930385E-4, 1.4995321485135062, 0.001194673125525225, 0.0016510895237808023, 3.5048114062499995, 0.5945063705267509, 0.0, 5.098725760459446, 0.07190183306819693
0.0139, 20.801634555536737, 6.700020339454509, 1.0, 6.404334544043303, 0.2956857954112056, 0.0013431341219900456, 1.4989481486774707, 0.0016100019283332623, 0.0016796678543149796, 3.5048307812500004, 0.598814387704481, 0.0, 5.546525751746448, 0.069104369740211
0.014, 17.07012903814647, 0.6432695622593659, 1.0, 1.3258682817479124, -0.6825987194885464, 0.0017329068111644945, 1.4985723665926716, 0.001871815432496255, 0.001689375363359227, 3.504841625, 0.603122404882211, 0.0, 5.838887261934341, 0.06751320531544096
0.0141, 21.67550960558898, 2.097542060524445, 1.0, 1.898365920548137, 0.19917613997630784, 0.002158172746681299, 1.4981565129290488, 0.0023963111027284424, 0.0016712100999708142, 3.504798062500001, 0.6074304220599411, 0.0, 6.48104552211287, 0.06423350127462768
0.0142, 24.71102358201483, 8.334463869926372, 1.0, 8.110455214634523, 0.22400865529184882, 0.002767836160494098, 1.4975622279627112, 0.0028099723746651166, 0.0017225904313271892, 3.5047994375000004, 0.6117384392376711, 0.0, 7.023441383595782, 0.0618489352487832
0.0143, 23.009983780955192, 3.9613099379460275, 1.0, 4.1911895324452955, -0.22987959449926812, 0.0033380372122627155, 1.4970133669032992, 0.0031788276992392077, 0.0017061675624672804, 3.5047735625000005, 0.6160464564154012, 0.0, 7.534312900601512, 0.05985511644574214
0.0144, 24.994743144956743, 5.697668929382273, 1.0, 5.445995802628727, 0.2516731267535454, 0.0038664819582551056, 1.4964847631597697, 0.003717252848627323, 0.0017354769725841843, 3.5047449687500007, 0.6203544735931313, 0.0, 8.353247566262965, 0.056977612605250146
0.0145, 27.240708032166722, 10.126948706054382, 1.0, 10.05821618931289, 0.0687325167414903, 0.004531448289112355, 1.4958451265867005, 0.004098122497302551, 0.0017422879159585934, 3.504736562500001, 0.6246624907708613, 0.0, 8.962836784168468, 0.055132922882386214
0.0146, 28.07576411736275, 7.828249674315203, 1.0, 8.497005361094669, -0.6687556867794656, 0.005167129959247835, 1.49522256576337, 0.004528397758644825, 0.0017627902659828486, 3.5047393750000007, 0.6289705079485914, 0.0, 9.701804162597057, 0.0531131990961034
0.0147, 30.005626035821138, 6.150079115737322, 1.0, 6.17734151983939, -0.027262404102069007, 0.005871967281220459, 1.4945484037758623, 0.005056120343810575, 0.001734504995839842, 3.504752906249999, 0.6332785251263214, 0.0, 10.692761994216916, 0.05070746761864337
0.0148, 29.621225197042097, 7.619262347029547, 1.0, 6.962525649249908, 0.656736697779639, 0.006599793070498177, 1.4938332436110242, 0.005656316264060312, 0.001785087289497217, 3.5047195625, 0.6375865423040515, 0.0, 11.93675990436219, 0.04810111050494927
0.0149, 33.01216616027454, 11.111854364734484, 1.0, 11.302099156265973, -0.19024479153148932, 0.007286276604384695, 1.493163041105374, 0.0060938870008282135, 0.0017899846645777072, 3.504693687499999, 0.6418945594817815, 0.0, 12.893690153204826, 0.046385748454978136
0.015, 38.2151228800124, 13.212306234987238, 1.0, 13.440388992609968, -0.2280827576227297, 0.008176007898471784, 1.492296583627979, 0.006685973897736555, 0.0018000304095992894, 3.5047069687500003, 0.6462025766595116, 0.0, 14.332335531722638, 0.044094358640280606
0.0151, 39.10122430039268, 12.361899631984134, 1.0, 12.75344554265041, -0.39154591066627603, 0.009110914316550143, 1.4914090437541017, 0.007267816438901231, 0.0018030949205461247, 3.5046655000000007, 0.6505105938372416, 0.0, 15.878098291880375, 0.04198596762358925
0.0152, 48.71686283662409, 20.573492908974796, 1.0, 19.711651641957708, 0.8618412670170893, 0.010042953836977514, 1.490493344772941, 0.007938270714092248, 0.001805217521388066, 3.5046496875, 0.6548186110149717, 0.0, 17.864569130993583, 0.039670044114660755
0.0153, 52.46212218630911, 27.26033453225567, 1.0, 26.573710087447044, 0.686624444808626, 0.011436973176263717, 1.4891414073144573, 0.008583870171690655, 0.0018679976720115574, 3.5045856875, 0.6591266281927018, 0.0, 19.974839147652315, 0.03759816003075621
0.0154, 56.81082356288428, 27.59129396202187, 1.0, 28.236478890124545, -0.6451849281026775, 0.01254783565829014, 1.488086927381776, 0.009104271973948653, 0.0018624196939421456, 3.5045699375, 0.6634346453704318, 0.0, 21.785437606388328, 0.036080138007062175
0.0155, 86.3061712566149, 52.85952907071875, 1.0, 53.009950346931745, -0.15042127621299786, 0.014149490193610084, 1.4864610729736676, 0.009934278336639669, 0.0018613796296092738, 3.504540406250001, 0.667742662548162, 0.0, 25.140200721924764, 0.03365921290644149
0.0156, 139.19396089710412, 105.60223720272968, 1.0, 104.97186373894294, 0.6303734637867335, 0.016668651790737916, 1.4839886863131078, 0.010646841673649519, 0.0018792554087178764, 3.504540031250001, 0.6720506797258919, 0.0, 28.33665159631059, 0.03177203468757868
0.0157, 177.79382307857648, 140.47930319343362, 1.0, 140.5641822826425, -0.08487908920885645, 0.020795512271204318, 1.4799402635140646, 0.011460962304711894, 0.001915570763496445, 3.5045139375, 0.676358696903622, 0.0, 32.491057280340996, 0.02973461977229546
0.0158, 240.76715684872735, 200.69971358826743, 1.0, 201.3805695655953, -0.6808559773278785, 0.02515768152898632, 1.4756329241083082, 0.012309567295754609, 0.0018996049060652231, 3.504457625, 0.680666714081352, 0.0, 37.424760508608635, 0.027764121815481827
0.0159, 669.0361667000127, 625.4044612640171, 1.0, 624.9961141004782, 0.40834716353890743, 0.03229129721520131, 1.4685356964005212, 0.01321140744291609, 0.001907107916921171, 3.5044095000000013, 0.6849747312590821, 0.0, 43.448330745438085, 0.02582202242894396
