Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574023723603
Mean swelling ratio: 3.504295656250001
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935907656145422
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, 21.00092557206022, 19.79814784315345, 1.0, 20.22018804495116, -0.42204020179770946, -0.004918385349336773, 1.505074205157519, -0.003846306252342973, 0.0014382896671933482, 3.5049243437499995, 0.52127007850534, 0.0, 1.5935358415260654, 0.12310016430373404
0.0122, 10.501254521008214, 2.1679150663081055, 1.0, 2.312857622988697, -0.1449425566805914, -0.004669397968427795, 1.504855449076428, -0.00410094845119247, 0.001433743576366735, 3.5049581874999993, 0.52557809568307, 0.0, 1.511530049710097, 0.12674260951715524
0.0123, 13.226247805339595, -4.864631200440149, 1.0, -5.492373984921185, 0.6277427844810363, -0.004416987379631402, 1.5045923778522603, -0.0034390997577946596, 0.0014548731629405126, 3.5048916562499994, 0.5298861128608001, 0.0, 1.7787919641674417, 0.11715213784820376
0.0124, 9.205343529493222, 1.0470195042335912, 1.0, 0.5590452093812944, 0.4879742948522968, -0.004037891153394356, 1.5042107785077956, -0.0032212719938611144, 0.001487372560703018, 3.5049568125, 0.5341941300385301, 0.0, 1.883060270998362, 0.11417023067690407
0.0125, 6.419766695272001, -6.591116179686731, 1.0, -6.5844576161545065, -0.0066585635322239526, -0.003977464601958049, 1.5041684219753597, -0.0030363972022383616, 0.0015021620992901091, 3.5049040312500006, 0.5385021472162602, 0.0, 1.9765442726772608, 0.11173635283632229
0.0126, 15.082978884088812, -0.0561325948732945, 1.0, -0.24288908775507814, 0.18675649288178364, -0.003731369872479578, 1.5039273519128573, -0.002584991018403789, 0.0015110892313016462, 3.5049012500000005, 0.5428101643939902, 0.0, 2.203413929321302, 0.10610924642293022
0.0127, 16.871650571110248, 6.64460493438963, 1.0, 6.6693876328766555, -0.024782698487025287, -0.003257305408172025, 1.5034536962035239, -0.0022953613847223058, 0.0015350646083430962, 3.5048822187500006, 0.5471181815717203, 0.0, 2.3637133370372907, 0.10271840441610831
0.0128, 12.709192067863125, 4.0151920325995745, 1.0, 4.412673065980047, -0.39748103338047264, -0.0029258078965261596, 1.503135475266184, -0.002081536833731907, 0.001534080190412115, 3.5049261249999994, 0.5514261987494504, 0.0, 2.4900169655413915, 0.10034134789021552
0.0129, 5.031686571191179, -12.971169996625468, 1.0, -13.00484914485194, 0.03367914822647278, -0.002650486186080608, 1.5028669704747841, -0.0018670617251101528, 0.0015400562899439525, 3.5048544375, 0.5557342159271804, 0.0, 2.621331048010557, 0.0980498036206482
0.013, 15.824264970610823, 0.7045507006191049, 1.0, 0.6039653490806236, 0.10058535153848121, -0.0026855625595579038, 1.5028988125237783, -0.0012098176342952222, 0.0015595650929924828, 3.5048585937500008, 0.5600422331049105, 0.0, 3.0418387287982522, 0.09125516444780683
0.0131, 23.783730535053223, 18.768959620845322, 1.0, 18.82603542827308, -0.057075807427757384, -0.0018949331888200164, 1.5021189706582012, -0.001122444777767314, 0.0015688521958369093, 3.504887312500001, 0.5643502502826405, 0.0, 3.1067317399261087, 0.09052801168377844
0.0132, 15.610892722209554, 2.043468963119744, 1.0, 2.444251440172059, -0.4007824770523152, -0.0015499730756120928, 1.5017901602641865, -9.585862442550488E-4, 0.0015807918658487304, 3.504887343750001, 0.5686582674603706, 0.0, 3.2254169014211556, 0.08907232916135045
0.0133, 12.137077340892015, -2.643919175419947, 1.0, -2.976622218069141, 0.332703042649194, -0.0011495679659749328, 1.5013960950493015, -4.656876043471308E-4, 0.0015736676340454613, 3.50484015625, 0.5729662846381006, 0.0, 3.594135401952419, 0.08459235007484595
0.0134, 14.35811015901813, -1.640251778754795, 1.0, -1.8934162012423297, 0.2531644224875346, -9.704703195646124E-4, 1.501218284844529, -2.4256173122406076E-4, 0.0016203414409425823, 3.5048649062500004, 0.5772743018158307, 0.0, 3.7730905453816916, 0.08276830845783578
0.0135, 19.534413745302633, 4.370851790858186, 1.0, 4.686232298209559, -0.3153805073513726, -4.640187043952243E-4, 1.500711864178238, 3.090422180724728E-4, 0.0016099395454327134, 3.5048430625, 0.5815823189935607, 0.0, 4.245684894801022, 0.07821951833802065
0.0136, 17.93648376796634, 4.454410294269287, 1.0, 4.316120021832669, 0.13829027243661818, -3.777076717445863E-5, 1.5002984391701455, 4.92897775161879E-4, 0.001629134087161275, 3.504841718750001, 0.5858903361712908, 0.0, 4.4115610409267, 0.07692389213736438
0.0137, 16.174158945645885, 1.746503065710307, 1.0, 1.9964669816425846, -0.2499639159322777, 3.9238531161259194E-4, 1.4998793833420367, 9.605677581645797E-4, 0.0016405002737876172, 3.5048716874999997, 0.5901983533490209, 0.0, 4.863267922058304, 0.07344358223612708
0.0138, 19.847998121004423, 8.686472015549102, 1.0, 8.082593687080488, 0.603878328468614, 7.344884367916037E-4, 1.4995498612794265, 0.0011900622345742914, 0.0016411480984230948, 3.5048492187499996, 0.5945063705267509, 0.0, 5.093817315495925, 0.0719364673305604
0.0139, 21.47029806944747, 4.222722480963857, 1.0, 3.925938487487133, 0.2967839934767244, 0.0013400574150435433, 1.4989585983599645, 0.001500093892612758, 0.0016931180951377826, 3.5048366875, 0.598814387704481, 0.0, 5.421534018025109, 0.0698964202125485
0.014, 20.677373411226473, 5.225904870066206, 1.0, 6.396564962144551, -1.1706600920783456, 0.0017596196570142865, 1.4985530418399702, 0.0020158759910822656, 0.0016796799017416383, 3.50482253125, 0.603122404882211, 0.0, 6.014675478287337, 0.06651930030945838
0.0141, 22.90245343914734, 7.803843394146266, 1.0, 7.771660318062434, 0.03218307608383286, 0.0023273292716096293, 1.4980074563874342, 0.00224150797629153, 0.0016612186202051157, 3.504807343750001, 0.6074304220599411, 0.0, 6.279145126331597, 0.06525801673921794
0.0142, 20.045070597701383, 0.09159883761839271, 1.0, -0.5080931993758907, 0.5996920369942834, 0.00285313125914597, 1.4974950746668072, 0.00273556419448808, 0.0017047799151181922, 3.5048085, 0.6117384392376711, 0.0, 6.918150183446623, 0.06231781473390533
0.0143, 20.86478576044853, 1.0942090636768005, 1.0, 1.8253334668001535, -0.7311244031233529, 0.003284410892684686, 1.4970573251077726, 0.003192560200879944, 0.0017138627905312366, 3.5047552812500005, 0.6160464564154012, 0.0, 7.5551983660126325, 0.05977232794436204
0.0144, 25.033571310480966, 3.9420226512201015, 1.0, 4.381884083434046, -0.4398614322139442, 0.0038493513962446022, 1.496490332281216, 0.003678255072148471, 0.001693841405245013, 3.5047677812500004, 0.6203544735931313, 0.0, 8.288290820656645, 0.05720044847970019
0.0145, 25.2975801472456, 7.726016234530732, 1.0, 7.594368257079817, 0.13164797745091478, 0.004479675877876637, 1.4958959900658413, 0.004197231131020657, 0.001716386529240385, 3.5047225937500017, 0.6246624907708613, 0.0, 9.1411814212635, 0.05459245151735888
0.0146, 30.318876131402007, 13.545317031536712, 1.0, 12.815527210772078, 0.7297898207646341, 0.005057221874853863, 1.4953349646539438, 0.004513339658905785, 0.001723801430107862, 3.50475696875, 0.6289705079485914, 0.0, 9.673002999835482, 0.05319221204096384
0.0147, 29.10660871020382, 6.962950303110958, 1.0, 6.380161657623657, 0.582788645487301, 0.00592729557946769, 1.4944869019185958, 0.004990659142902581, 0.0017748451446788927, 3.5046823124999995, 0.6332785251263214, 0.0, 10.556379790561223, 0.051033971736893696
0.0148, 27.705249813056056, 1.508734059175643, 1.0, 2.053211631796092, -0.5444775726204488, 0.006446960070715029, 1.493995321613651, 0.005557878114115519, 0.0017757750912088307, 3.5046562187500006, 0.6375865423040515, 0.0, 11.710077852716571, 0.048564446245234275
0.0149, 35.375931474163096, 11.202775931864617, 1.0, 11.041058204382526, 0.1617177274820906, 0.007250123816670794, 1.4931937506523674, 0.006229436014071886, 0.0017728452162453377, 3.5046944375000004, 0.6418945594817815, 0.0, 13.23628421217176, 0.045781513011049095
0.015, 38.82083820845824, 17.784014388622182, 1.0, 17.375147640559508, 0.40886674806267387, 0.008136036378892994, 1.4923352075868106, 0.006698360765103898, 0.0018072931240069696, 3.504664375000001, 0.6462025766595116, 0.0, 14.366493327430488, 0.044041908039026925
0.0151, 41.56087726835273, 16.969910919552166, 1.0, 17.295193233178487, -0.3252823136263218, 0.009103682305424849, 1.491393085762228, 0.0072147013552521025, 0.001816464407104789, 3.5046555625000004, 0.6505105938372416, 0.0, 15.717912095742273, 0.04219937140017707
0.0152, 46.21818723632171, 18.4754658171375, 1.0, 18.266938818007983, 0.2085269991295191, 0.010120422095841172, 1.490403599233157, 0.007847473304815243, 0.0018158211687927014, 3.504602125000001, 0.6548186110149717, 0.0, 17.55958707231005, 0.040013063839854764
0.0153, 45.47038876148233, 18.068817936626672, 1.0, 17.805955426158665, 0.26286251046800885, 0.011310438193247053, 1.4892416529455736, 0.008509411508922921, 0.0018503132217085677, 3.5045576249999995, 0.6591266281927018, 0.0, 19.69657961546488, 0.03786280889931044
0.0154, 56.09239704196612, 24.735293746067548, 1.0, 25.135149597863784, -0.3998558517962362, 0.012291473236551196, 1.4882925391369177, 0.009119187210493113, 0.001852559030098427, 3.5046190312500016, 0.6634346453704318, 0.0, 21.84634468020846, 0.036029807632142294
0.0155, 89.44702161745077, 54.46637221888861, 1.0, 54.04977119243418, 0.4166010264544271, 0.013988652870977688, 1.4866492275373737, 0.009965404386279613, 0.0018552807192903868, 3.50455259375, 0.667742662548162, 0.0, 25.286150782887074, 0.03356193290716
0.0156, 143.00831189540503, 109.45755807854452, 1.0, 109.04132034507988, 0.4162377334646389, 0.01656225392713067, 1.4841469658659427, 0.010737477306123299, 0.0018963893699510007, 3.5045389062500014, 0.6720506797258919, 0.0, 28.815226994685926, 0.031507088345023596
0.0157, 209.2272500849882, 174.1393979864335, 1.0, 174.62646436222937, -0.4870663757958626, 0.020816796793392052, 1.479902109344817, 0.011492658257257154, 0.001899467291355207, 3.5045160625000014, 0.676358696903622, 0.0, 32.68069204075133, 0.029648224398683375
0.0158, 294.09661007148463, 255.35454465102777, 1.0, 255.59941791657596, -0.24487326554820057, 0.026552119251295688, 1.4742084661521873, 0.012294020002456777, 0.001897330699113136, 3.5044383125000005, 0.680666714081352, 0.0, 37.31875545357311, 0.027803526267356053
0.0159, 985.8436266367644, 939.6606033587525, 1.0, 939.1558859557977, 0.504717402954809, 0.034858875565225995, 1.4659800587925604, 0.013161973353461103, 0.0019117922984548633, 3.504394093750001, 0.6849747312590821, 0.0, 43.06067745028027, 0.02593799324967624
