Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574023723603
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935907656145422
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, 11.158138270082498, -1.37188477367713, 1.0, -1.37188477367713, 0.0, -0.006746079503391705, 1.5069171178544098, -0.0036688232177487365, 0.0, 3.505, 0.52127007850534, 0.0, 1.6623587068474506, 0.12052501088390713
0.0122, 8.76018093147566, 1.3971824853885684, 1.0, 1.3971824853885684, 0.0, -0.006593299452476555, 1.5067553018749522, -0.0035820324029416078, 0.0, 3.505, 0.52557809568307, 0.0, 1.7086978217655209, 0.11920607936970927
0.0123, -523.7843280093816, -531.5784581951733, 1.0, -531.5784581951733, 0.0, -0.006327811674104591, 1.5065101127990692, -0.003267900904547992, 0.0, 3.505, 0.5298861128608001, 0.0, 1.8516115191021687, 0.11482537189247671
0.0124, 13.633003556204867, 15.629414632716149, 1.0, 15.629414632716149, 0.0, -0.03160215892750449, 1.531784696661722, -0.003160135452431006, 0.0, 3.505, 0.5341941300385301, 0.0, 1.910013999952825, 0.11336179488972668
0.0125, 549.9445843523246, 538.357617505364, 1.0, 538.357617505364, 0.0, -0.005676883702556773, 1.5058607977266425, -0.002904480197814958, 0.0, 3.505, 0.5385021472162602, 0.0, 2.0375970712366063, 0.11004963613686133
0.0126, 14.89947020888585, 3.349959943588078, 1.0, 3.349959943588078, 0.0, -0.005344239219617408, 1.5055386788018617, -0.0025625400816144304, 0.0, 3.505, 0.5428101643939902, 0.0, 2.2147604172638693, 0.10583709209503091
0.0127, 11.02943577847027, 1.4957860071747708, 1.0, 1.4957860071747708, 0.0, -0.004965486402598388, 1.5051574310778189, -0.002308877748539664, 0.0, 3.505, 0.5471181815717203, 0.0, 2.356472803392537, 0.10287609043616626
0.0128, 9.632216148060694, -0.8781605806148839, 1.0, -0.8781605806148839, 0.0, -0.004817622452519963, 1.5050182908471146, -0.0020655054788150207, 0.0, 3.505, 0.5514261987494504, 0.0, 2.4990229751815862, 0.1001603790086458
0.0129, 15.512702380943042, 2.5955617561865374, 1.0, 2.5955617561865374, 0.0, -0.004505581958730357, 1.5047124913253933, -0.0017640423977875008, 0.0, 3.505, 0.5557342159271804, 0.0, 2.6823753218635047, 0.0969276964290475
0.013, 14.31624795754569, 2.4863292193080757, 1.0, 2.4863292193080757, 0.0, -0.004076945473127813, 1.5043011613464718, -0.0014062529551851382, 0.0, 3.505, 0.5600422331049105, 0.0, 2.912188283717416, 0.09326438256741276
0.0131, 12.725216516961579, 0.8988053530326426, 1.0, 0.8988053530326426, 0.0, -0.003822031470038563, 1.504029719035373, -0.0011581178075185969, 0.0, 3.505, 0.5643502502826405, 0.0, 3.0824402217187212, 0.09088401977853247
0.0132, 14.078923192768102, 2.3845079112147745, 1.0, 2.3845079112147745, 0.0, -0.003469361139951093, 1.5037048211094, -8.009129788564739E-4, 0.0, 3.505, 0.5686582674603706, 0.0, 3.3384105467993215, 0.08755195853438001
0.0133, 14.45167379731382, 1.5942930242622222, 1.0, 1.5942930242622222, 0.0, -0.003149812404176511, 1.5033890343694645, -5.593195751861558E-4, 0.0, 3.505, 0.5729662846381006, 0.0, 3.5219327157166513, 0.0854550593380468
0.0134, 15.468720226046061, 1.1524383940758076, 1.0, 1.1524383940758076, 0.0, -0.002779344543712858, 1.5030243213849068, -1.4806348789940294E-4, 0.0, 3.505, 0.5772743018158307, 0.0, 3.850576599736574, 0.08193129317050134
0.0135, 15.37502925311314, 3.17572094482229, 1.0, 3.17572094482229, 0.0, -0.0024112354179922674, 1.5026649363358286, 1.6350538246957827E-4, 0.0, 3.505, 0.5815823189935607, 0.0, 4.115775079556046, 0.0794443836506704
0.0136, 15.237343381374272, 3.8366238628061913, 1.0, 3.8366238628061913, 0.0, -0.0020452409719682236, 1.5023120948282687, 4.725548861255422E-4, 0.0, 3.505, 0.5858903361712908, 0.0, 4.3925801895483385, 0.07708991153880833
0.0137, 15.887550769874517, 1.3509751416789613, 1.0, 1.3509751416789613, 0.0, -0.0016837058623719802, 1.5019616430010945, 7.448760520027368E-4, 0.0, 3.505, 0.5901983533490209, 0.0, 4.647488976848766, 0.07512920017248831
0.0138, 20.23566727901491, 2.4527245164410605, 1.0, 2.4527245164410605, 0.0, -0.0012866663003735304, 1.501569098341487, 0.0012020789967573048, 0.0, 3.505, 0.5945063705267509, 0.0, 5.10661945511166, 0.07184623947791298
0.0139, 21.101829745219348, 6.098913206217125, 1.0, 6.098913206217125, 0.0, -7.175239201065362E-4, 1.5009949362778434, 0.0016300177974400848, 0.0, 3.505, 0.598814387704481, 0.0, 5.569596835459023, 0.06896109481247643
0.014, 18.213323524742624, 2.5833553353509546, 1.0, 2.5833553353509546, 0.0, -2.7912814670295535E-4, 1.500588958441136, 0.0019521930738202469, 0.0, 3.505, 0.603122404882211, 0.0, 5.9363237556333255, 0.06695684524243062
0.0141, 18.7626518769322, 2.0377202560630394, 1.0, 2.0377202560630394, 0.0, 1.5209822062187128E-4, 1.5001513398518798, 0.0024081698241893604, 0.0, 3.505, 0.6074304220599411, 0.0, 6.496777235325408, 0.0641556845779769
0.0142, 20.38592629486791, 4.349471679929596, 1.0, 4.349471679929596, 0.0, 6.16722490814901E-4, 1.4997124386394571, 0.002782750751574268, 0.0, 3.505, 0.6117384392376711, 0.0, 6.984736847648371, 0.06202006032525413
0.0143, 22.78423073449156, 4.8318893151405495, 1.0, 4.8318893151405495, 0.0, 0.001125454502422454, 1.4992248274709172, 0.003204361570972627, 0.0, 3.505, 0.6160464564154012, 0.0, 7.573193064732608, 0.05970127305973227
0.0144, 24.280155758575965, 6.159833305116819, 1.0, 6.159833305116819, 0.0, 0.0017045893745970863, 1.4986546342731517, 0.00366898753799956, 0.0, 3.505, 0.6203544735931313, 0.0, 8.272928757977763, 0.0572535318166194
0.0145, 25.911369298407394, 7.321630199195411, 1.0, 7.321630199195411, 0.0, 0.002284746544828008, 1.4980870717757855, 0.004096826545463787, 0.0, 3.505, 0.6246624907708613, 0.0, 8.960527932467228, 0.055140025451837986
0.0146, 26.864226471948193, 7.759702538182612, 1.0, 7.759702538182612, 0.0, 0.0029417661264334203, 1.4974368796788877, 0.004581576405433361, 0.0, 3.505, 0.6289705079485914, 0.0, 9.804205234929961, 0.05283509777508781
0.0147, 27.15474342551527, 5.659084803185171, 1.0, 5.659084803185171, 0.0, 0.003567418875433219, 1.49685728052932, 0.005031463525813499, 0.0, 3.505, 0.6332785251263214, 0.0, 10.641186223761203, 0.05083020372046283
0.0148, 28.958698233387587, 5.688969453072792, 1.0, 5.688969453072792, 0.0, 0.004238309619802291, 1.496211407876832, 0.005627837477696394, 0.0, 3.505, 0.6375865423040515, 0.0, 11.870731936377563, 0.04823470017700939
0.0149, 30.76528683975704, 8.280658274808934, 1.0, 8.280658274808934, 0.0, 0.004950094866238271, 1.4955271235777137, 0.006161288637237007, 0.0, 3.505, 0.6418945594817815, 0.0, 13.062921831983365, 0.04608430255977427
0.015, 37.72849005613759, 14.341976270827072, 1.0, 14.341976270827072, 0.0, 0.005707243862658502, 1.494763051788252, 0.0067176570461154606, 0.0, 3.505, 0.6462025766595116, 0.0, 14.419866651274702, 0.043960324683119216
0.0151, 41.18699644467381, 16.438927365928105, 1.0, 16.438927365928105, 0.0, 0.006751497572586586, 1.4937740862594011, 0.00729138459420211, 0.0, 3.505, 0.6505105938372416, 0.0, 15.949697813006038, 0.041891622371798325
0.0152, 39.485733797850415, 12.633338326393268, 1.0, 12.633338326393268, 0.0, 0.007673778085241949, 1.4928701659658121, 0.007906441125352432, 0.0, 3.505, 0.6548186110149717, 0.0, 17.75705748602359, 0.039789955746450584
0.0153, 51.83407605541067, 23.666500237791958, 1.0, 23.666500237791958, 0.0, 0.00863680248724817, 1.4919244368619546, 0.008576553391935287, 0.0, 3.505, 0.6591266281927018, 0.0, 19.947322332345536, 0.03762408393822215
0.0154, 78.57724885675994, 49.282016181243684, 1.0, 49.282016181243684, 0.0, 0.010148672912687907, 1.490480909825466, 0.009250556233365988, 0.0, 3.505, 0.6634346453704318, 0.0, 22.390204844361538, 0.03558953393020363
0.0155, 106.39148217654751, 74.93586218839997, 1.0, 74.93586218839997, 0.0, 0.012388589758282768, 1.488224847469013, 0.009963633865757769, 0.0, 3.505, 0.667742662548162, 0.0, 25.277826130143428, 0.0335674588656912
0.0156, 125.5278123336724, 92.3648933525672, 1.0, 92.3648933525672, 0.0, 0.015228492000069153, 1.4854481867539295, 0.010721161702654225, 0.0, 3.505, 0.6720506797258919, 0.0, 28.728484536842142, 0.0315546185652257
0.0157, 190.93707335318888, 154.76757220662765, 1.0, 154.76757220662765, 0.0, 0.018382101306807494, 1.4823520374002295, 0.011489260324853156, 0.0, 3.505, 0.676358696903622, 0.0, 32.6603095856074, 0.029657474301063545
0.0158, 331.14721135355626, 290.05613804190557, 1.0, 290.05613804190557, 0.0, 0.0243450657131671, 1.4764239774106633, 0.012360321280157323, 0.0, 3.505, 0.680666714081352, 0.0, 37.77291339300492, 0.027635874684042484
0.0159, 403.4111885850487, 357.59385455854925, 1.0, 357.59385455854925, 0.0, 0.03419321598021202, 1.4666498887831485, 0.01329950892946906, 0.0, 3.505, 0.6849747312590821, 0.0, 44.14787925282893, 0.025616623123006624
