Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.705571088144623
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574023723603
Mean swelling ratio: 3.505
Dry volume fraction: 0.015099999999999981
Reservoir volume fraction: 0.6505105938372416
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -2838636.801336434, 1.114902582636788, 1.0, 1.11490264056915, -5.7932361954450196E-8, -8199.905092856345, 8201.405092856345, -0.00393917176212939, -8199.895954017198, 3.505, 0.52127007850534, 0.0, 1.558668299121719, 0.12446942958378387
0.0122, -2838629.839301885, 9.32542265555796, 1.0, 9.325422598100452, 5.745750652859403E-8, -8267.672399841116, 8269.172399841116, -0.0034890786421807544, -8267.663689174367, 3.505, 0.52557809568307, 0.0, 1.7466411987752475, 0.11790417599754022
0.0123, -2838634.0075436994, 9.69044481529631, 1.0, 9.690444759544858, 5.5751451191583847E-8, -8335.439684016259, 8336.939684016259, -0.003419673671005758, -8335.43142433153, 3.505, 0.5298861128608001, 0.0, 1.786908673259313, 0.11688576382829197
0.0124, -2838647.2959977505, -11.540535605307483, 1.0, -11.54053554754778, -5.775970239042045E-8, -8403.207190019917, 8404.707190019917, -0.003192928401108488, -8403.199159488699, 3.505, 0.5341941300385301, 0.0, 1.8955087025652226, 0.11379471632710193
0.0125, -2838644.974880685, -6.984197353386746, 1.0, -6.984197372282771, 1.8896025190534146E-8, -8470.975108672004, 8472.475108672004, -0.0027449692428603914, -8470.966894645866, 3.505, 0.5385021472162602, 0.0, 2.1139448850509224, 0.10804406978228513
0.0126, -2838633.4265795, 7.073286542504938, 1.0, 7.073286485662057, 5.6842881717556636E-8, -8538.742503850486, 8540.242503850486, -0.002615468865476392, -8538.734629803032, 3.505, 0.5428101643939902, 0.0, 2.188103680510538, 0.10647982463205807
0.0127, -2838636.257929094, 0.7183351827641422, 1.0, 0.7183350885719922, 9.419214995281501E-8, -8606.509871111808, 8608.009871111808, -0.0022913497679334436, -8606.502364960197, 3.505, 0.5471181815717203, 0.0, 2.365866584266066, 0.10267165020154813
0.0128, -2838642.466778384, -5.974472817888609, 1.0, -5.974472797054408, -2.083420116143824E-8, -8674.277401477275, 8675.777401477275, -0.0019949564347578183, -8674.270100117361, 3.505, 0.5514261987494504, 0.0, 2.539044315695968, 0.09936786144453233
0.0129, -2838641.6715086866, -5.670779079371326, 1.0, -5.670779021487778, -5.7883548033019084E-8, -8742.045065189313, 8743.545065189313, -0.0016469403198635906, -8742.037835274532, 3.505, 0.5557342159271804, 0.0, 2.753492520238483, 0.09566778379668807
0.013, -2838635.862258708, 6.30249280733598, 1.0, 6.302492750483795, 5.685218497152025E-8, -8809.81255758345, 8811.31255758345, -0.0013234307753234122, -8809.805570431698, 3.505, 0.5600422331049105, 0.0, 2.9661644932967075, 0.09241190620933565
