Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574023723603
Mean swelling ratio: 3.504339062500001
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935907656145422
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, 4.1916486998776605, 0.749092920501861, 1.0, -0.4010880141836317, 1.1501809346854928, -0.007344453480326631, 1.5073444534803266, -0.003628731905045917, 0.0013702995406932865, 3.5049287500000004, 0.52127007850534, 0.0, 1.6783120209292086, 0.11995081358311319
0.0122, 15.657952439450254, 16.957599020999066, 1.0, 15.949622739084695, 1.0079762819143703, -0.006733797035616272, 1.5067337970356163, -0.003742275886080919, 0.001466757028939832, 3.5050656250000016, 0.52557809568307, 0.0, 1.6452121516194547, 0.12148427971757253
0.0123, 13.74603027768042, 2.1571655367149134, 1.0, 3.506536774185688, -1.349371237470775, -0.006596841321495738, 1.5065968413214956, -0.00364174412804346, 0.00144247206022484, 3.5049840625, 0.5298861128608001, 0.0, 1.6962892171669872, 0.11996728957285535
0.0124, 10.994151970242068, -10.813052646746705, 1.0, -11.019203891142446, 0.20615124439574162, -0.0060774724356411625, 1.5060774724356412, -0.0031408979927073657, 0.00142578412843454, 3.504920624999999, 0.5341941300385301, 0.0, 1.9185749051975574, 0.11310859533984355
0.0125, 2.0021099589152316, -14.52202904359647, 1.0, -15.120322855555626, 0.5982938119591555, -0.00607190923214548, 1.5060719092321455, -0.002553162701182123, 0.0014753115752964355, 3.5049728125, 0.5385021472162602, 0.0, 2.2095482132233912, 0.10568078329858845
0.0126, -0.047687321076994124, -8.336098805754489, 1.0, -8.986244360865488, 0.6501455551109995, -0.005981878726668701, 1.5059818787266688, -0.0022956285274357553, 0.0014779555389176607, 3.5049875000000004, 0.5428101643939902, 0.0, 2.354216185681899, 0.10265452668403222
0.0127, 6.910551109897534, 1.9401204642492824, 1.0, 4.018971348506562, -2.0788508842572795, -0.0060741861340071444, 1.5060741861340072, -0.002098908295807973, 0.0015298133506728292, 3.5048490625000004, 0.5471181815717203, 0.0, 2.4714973202732886, 0.10045362085104687
0.0128, 13.020226042283552, 0.09416097878226426, 1.0, 0.9674321075194366, -0.8732711287371724, -0.005651924216079888, 1.50565192421608, -0.0019957051448690854, 0.001402789269493003, 3.5049343750000004, 0.5514261987494504, 0.0, 2.538616237575491, 0.09937623912164219
0.0129, 14.289476532751156, 6.343592688164429, 1.0, 2.635316562210575, 3.7082761259538537, -0.005452516133566169, 1.5054525161335661, -0.001424605727945199, 0.0015100363079692694, 3.5049903125000004, 0.5557342159271804, 0.0, 2.893748031082515, 0.09332055381790001
0.013, 4.769711702679224, -4.668850980852088, 1.0, -4.646482169095982, -0.02236881175610607, -0.004969651968764993, 1.504969651968765, -0.0015538689141961215, 0.0016032578278589995, 3.5050199999999996, 0.5600422331049105, 0.0, 2.8184090415129748, 0.09480331701898047
