Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.5055745959281923
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999975
Reservoir volume fraction: 0.6935911052529706
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -1399.0075801748849, -1370.7104471943544, 9.175540257654482, -1370.7104471943544, 0.0, -0.06591787242409407, 1.565917872424094, -0.0071390531209717225, 0.0, 3.505, 0.5212703337615502, 0.0, 0.7272517117160662, 0.18222047505912917
0.0122, -902.7117352564563, -886.5931217344752, 10.019538081377569, -886.5931217344752, 0.0, -0.08814331703643023, 1.5881433170364303, -0.007413268671013133, 0.0, 3.505, 0.5255783530488356, 0.0, 0.6910725149104344, 0.18744300023812305
0.0123, -924.3578315063203, -895.4316410688111, 9.5276185559775, -895.4316410688111, 0.0, -0.10901918288003229, 1.6090191828800322, -0.006585216810488558, 0.0, 3.505, 0.5298863723361211, 0.0, 0.850964816651863, 0.1693779980328687
0.0124, -944.7033990359148, -905.4854580864252, 9.510440127454196, -905.4854580864252, 0.0, -0.1322781524574111, 1.632278152457411, -0.007128799584677034, 0.0, 3.505, 0.5341943916234067, 0.0, 0.759208771556472, 0.17980608304545853
0.0125, -937.4629147366057, -921.7947160900139, 10.002639938617147, -921.7947160900139, 0.0, -0.15412544759371663, 1.6541254475937166, -0.006439197608927537, 0.0, 3.505, 0.5385024109106922, 0.0, 0.9017975262358577, 0.16542199151834022
0.0126, -1028.0595903265184, -999.8066502313925, 9.774739200233986, -999.8066502313925, 0.0, -0.17703870951111114, 1.6770387095111112, -0.005513920964105669, 0.0, 3.505, 0.5428104301979777, 0.0, 1.1274201021090862, 0.1483400388682247
0.0127, -1130.6286998800038, -1073.2012957647617, 10.308678402650836, -1073.2012957647617, 0.0, -0.20321167727176492, 1.703211677271765, -0.005065560439610766, 0.0, 3.505, 0.5471184494852632, 0.0, 1.2604417684579066, 0.14066442468313098
0.0128, -1125.5895506266988, -1056.4133929710092, 9.268061552253513, -1056.4133929710092, 0.0, -0.23102225342735083, 1.731022253427351, -0.005135466245573329, 0.0, 3.505, 0.5514264687725488, 0.0, 1.2517381350217542, 0.14152212530248637
0.0129, -1108.3035113280152, -1036.7194204700982, 10.460275877505396, -1036.7194204700982, 0.0, -0.2569546195342122, 1.7569546195342123, -0.0048389976203976805, 0.0, 3.505, 0.5557344880598343, 0.0, 1.3492911021906584, 0.1366642227357712
0.013, -1125.6532109346062, -1043.9448115449866, 10.5088834903286, -1043.9448115449866, 0.0, -0.28393984810953826, 1.7839398481095383, -0.004644585485609264, 0.0, 3.505, 0.5600425073471198, 0.0, 1.420259841842464, 0.13354930764342265
