Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -3868.9395194326034, -3674.8209478068525, 10.47714991433806, -3674.8209478068525, 0.0, -0.1716518664835002, 1.6726139046017678, -0.00832077889906983, 0.0, 3.505, 0.5212703337615502, 0.0, 0.5488074474749156, 0.20976332209247747
0.0122, -2855.0624964142576, -2790.9187047866276, 4.476014511492524, -2790.9187047866276, 0.0, -0.30169356605099407, 1.8020530856664578, -0.02033037035268773, 0.0, 3.505, 0.5255783530488356, 0.0, 0.032661601235588374, 0.8622085025339792
0.0123, -706.601877285414, -833.5047972692078, 9.464357741190321, -833.5047972692078, 0.0, -0.30797105922568496, 1.8088484460275174, -0.006770907946037661, 0.0, 3.505, 0.5298863723361211, 0.0, 0.8147265266987995, 0.17310390665418424
0.0124, -1065.8080999593142, -970.8745115997716, 9.72056379404775, -970.8745115997716, 0.0, -0.33543132052139, 1.8363345143586305, -0.009373638814781564, 0.0, 3.505, 0.5341943916234067, 0.0, 0.45052906363454254, 0.23341221642612914
0.0125, -1210.763232214922, -1174.287900311857, 10.051596735437155, -1174.287900311857, 0.0, -0.3588596474744567, 1.8598094997310337, -0.006044658035663776, 0.0, 3.505, 0.5385024109106922, 0.0, 0.9876953175461469, 0.15806520080170605
0.0126, -1300.764174400894, -1194.1641208017375, 9.878456734659077, -1194.1641208017375, 0.0, -0.3932410065176676, 1.8941942781422632, -0.0054701677957479326, 0.0, 3.505, 0.5428104301979777, 0.0, 1.1387620012487587, 0.1475994679643764
0.0127, -1220.4633527202252, -1091.0894879528428, 9.707683974179586, -1091.0894879528428, 0.0, -0.42096656192028187, 1.9218883322819904, -0.004979342996788107, 0.0, 3.505, 0.5471184494852632, 0.0, 1.2853507633996142, 0.1392947786493699
0.0128, -1230.8277304845997, -1082.6436909864965, 9.609004292655499, -1082.6436909864965, 0.0, -0.45151383915204696, 1.9524202264358537, -0.00509633499557049, 0.0, 3.505, 0.5514264687725488, 0.0, 1.2628178320849441, 0.14089991488476447
0.0129, -1176.4317574605611, -1031.786860100357, 10.34174643477105, -1031.786860100357, 0.0, -0.47973425714064283, 1.9807368524191864, -0.005079336206377515, 0.0, 3.505, 0.5557344880598343, 0.0, 1.2787381395328075, 0.14038375494459518
0.013, -1187.939905683825, -1042.511988030682, 10.271188381194147, -1042.511988030682, 0.0, -0.5076843179750872, 2.0086993047139354, -0.004643629095702682, 0.0, 3.505, 0.5600425073471198, 0.0, 1.4205610669200872, 0.13353514755756019
0.0131, -1216.7387210660436, -1058.5210553753784, 10.186421772181419, -1058.5210553753784, 0.0, -0.536454209566353, 2.0374323456458217, -0.004283920272573868, 0.0, 3.505, 0.5643505266344052, 0.0, 1.5494497542919319, 0.12818762768524422
0.0132, -1241.6831461455506, -1076.0604867079144, 10.912064085651794, -1076.0604867079144, 0.0, -0.5657793125477787, 2.0668831430222467, -0.004073228928315402, 0.0, 3.505, 0.5686585459216907, 0.0, 1.633766945611126, 0.1251528330243987
0.0133, -1290.014235613045, -1116.6623793276565, 10.648690252914182, -1116.6623793276565, 0.0, -0.5957402127052412, 2.0967855100224524, -0.00368112151717287, 0.0, 3.505, 0.5729665652089763, 0.0, 1.7903273139143072, 0.11985663723804704
0.0134, -1314.720039813028, -1127.7666826656198, 10.562592452646474, -1127.7666826656198, 0.0, -0.6273729552247974, 2.1284190638021028, -0.003447026146515996, 0.0, 3.505, 0.5772745844962618, 0.0, 1.893732935123083, 0.11682971764936849
0.0135, -1298.6549147474157, -1104.4768790183537, 11.20751457936101, -1104.4768790183537, 0.0, -0.6585134706407063, 2.159663675161729, -0.003295159492787512, 0.0, 3.505, 0.5815826037835473, 0.0, 1.9666083738042917, 0.11492911821441532
0.0136, -1316.2798412146467, -1116.425217186294, 11.023281519754487, -1116.425217186294, 0.0, -0.689379159940588, 2.1904820892097296, -0.003011406471430432, 0.0, 3.505, 0.5858906230708328, 0.0, 2.099015790628989, 0.11151917392390867
0.0137, -1335.1258917063838, -1133.017844724552, 10.886553928221176, -1133.017844724552, 0.0, -0.7213612036071642, 2.2224494740377674, -0.0027438714535829214, 0.0, 3.505, 0.5901986423581184, 0.0, 2.2305806177663006, 0.10844486375322061
0.0138, -1363.7788299059162, -1150.3988903304923, 11.020356708890755, -1150.3988903304923, 0.0, -0.7531267255351016, 2.254247246102139, -0.0021705909131276655, 0.0, 3.505, 0.5945066616454039, 0.0, 2.5244888886110783, 0.1021842725475322
0.0139, -1390.2847019449948, -1163.2258251760143, 11.409344409974306, -1163.2258251760143, 0.0, -0.7864768462262465, 2.2876351726003534, -0.0020485908547083023, 0.0, 3.505, 0.5988146809326894, 0.0, 2.597230912788599, 0.10098590122448799
0.014, -1394.4497877337901, -1163.930319356253, 11.506077708495905, -1163.930319356253, 0.0, -0.8195079303209781, 2.3207181940373287, -0.001725116208970445, 0.0, 3.505, 0.6031227002199748, 0.0, 2.7841145308155055, 0.09777103753277275
0.0141, -1424.6281179088048, -1184.2681401209227, 11.831379834891042, -1184.2681401209227, 0.0, -0.8530569192096296, 2.3542941047381603, -0.001372473085897095, 0.0, 3.505, 0.6074307195072604, 0.0, 2.999334560865612, 0.09442166958213234
0.0142, -1445.0351529701038, -1194.655732343438, 12.661519419271283, -1194.655732343438, 0.0, -0.8875289124308451, 2.388915355041734, -0.0011208293434190008, 0.0, 3.505, 0.6117387387945459, 0.0, 3.1622957707735133, 0.092173475851559
0.0143, -1457.0159812227107, -1203.9512997881218, 12.555301168861764, -1203.9512997881218, 0.0, -0.9220522654706531, 2.4234037377158293, -8.425889297072897E-4, 0.0, 3.505, 0.6160467580818314, 0.0, 3.349551482600922, 0.08976970079353921
0.0144, -1484.7606253386718, -1217.126823088286, 12.525578046014974, -1217.126823088286, 0.0, -0.9570963011034899, 2.458406340411358, -3.1972641495302387E-4, 0.0, 3.505, 0.6203547773691169, 0.0, 3.722975860867202, 0.08534671590271493
0.0145, -1485.883684208651, -1211.595182465155, 13.266293043931132, -1211.595182465155, 0.0, -0.9929443633199121, 2.4943780560750284, -3.325981623548397E-4, 0.0, 3.505, 0.6246627966564025, 0.0, 3.71454790003089, 0.08564081265295707
0.0146, -1498.3145126766483, -1225.14875007093, 13.291259426555778, -1225.14875007093, 0.0, -1.028042021063911, 2.5294808720874142, 2.7515908011661324E-4, 0.0, 3.505, 0.628970815943688, 0.0, 4.18939775443817, 0.08082634022584585
