Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -1385.6664768875478, -1391.78804880948, 9.287196112613616, -1389.078649539762, -2.709399269718115, -0.05185680011227111, 1.5526830260150593, -0.00761991313368283, 0.0015088846872560904, 3.5055093750000004, 0.5212703337615502, 0.0, 0.6485352537560413, 0.1929624284547411
0.0122, -1468.534355651825, -1489.2572682802813, 7.926788834582711, -1488.2976633445846, -0.9596049356967025, -0.08287313566606115, 1.5835595619832923, -0.00525575038378902, 0.0014050587311652788, 3.5053603124999997, 0.5255783530488356, 0.0, 1.1505804368626642, 0.14526886542179718
0.0123, -1557.5872180198307, -1525.0621512593361, 8.619926592088511, -1526.4488577615964, 1.386706502260193, -0.12197415065294895, 1.622741658465531, -0.00535805078749032, 0.0014861006762678713, 3.5053390624999996, 0.5298863723361211, 0.0, 1.1345228546725306, 0.14669191329736686
0.0124, -1532.5986968928742, -1461.733427293104, 8.034941272945032, -1460.3258742040236, -1.4075530890801684, -0.15724244717944408, 1.657941907282025, -0.004912511182807202, 0.0014954333281394954, 3.5055359375, 0.5341943916234067, 0.0, 1.27091684854309, 0.13897171604328884
0.0125, -1395.1900984640038, -1335.0269520034685, 9.561720350045178, -1334.4748643570435, -0.5520876464250554, -0.19515034816895846, 1.6960317424027298, -0.006284683721034644, 0.0014430148591198053, 3.505357812500001, 0.5385024109106922, 0.0, 0.9345099406693658, 0.1625009117699235
0.0126, -1354.908173633714, -1327.3409921906077, 8.573571901456972, -1328.5600765470647, 1.219084356456869, -0.2238578673964684, 1.7246447971602172, -0.00476323919698714, 0.0014921613225008568, 3.5055153125000005, 0.5428104301979777, 0.0, 1.3386635008003887, 0.13613367364293916
0.0127, -1516.0175020915453, -1435.6301619964834, 8.519374843965432, -1434.3589492580134, -1.2712127384700793, -0.25984244814978374, 1.7606136519601363, -0.004123227168066192, 0.0015249069498897956, 3.50529875, 0.5471184494852632, 0.0, 1.561036898551205, 0.12639767431798982
0.0128, -1558.2783769534676, -1483.334008164815, 9.157992148471696, -1483.7278717432666, 0.39386357845149345, -0.2962423711779776, 1.7970955448817612, -0.004574377612259928, 0.0014554796678616173, 3.5053559375000005, 0.5514264687725488, 0.0, 1.4203344492109764, 0.13285740741820787
0.0129, -1688.5954043968065, -1578.3429553452565, 7.82893906695303, -1580.9031411371097, 2.560185791853296, -0.3342447600713918, 1.8349290210218911, -0.0031442447934866735, 0.0015664544203244587, 3.5055184375000006, 0.5557344880598343, 0.0, 1.970496294337069, 0.11308886690575047
0.013, -1667.9794212277336, -1535.0051062801476, 10.159690537749073, -1535.714086745433, 0.7089804652854107, -0.3768668628255805, 1.8778360871026711, -0.004705202966484299, 0.0016020056501075345, 3.5053924999999997, 0.5600425073471198, 0.0, 1.4012974765104573, 0.1344498662807652
0.0131, -1552.0456427377962, -1445.6591594471317, 9.52025258229753, -1444.6361092471848, -1.023050199947032, -0.41388491103057756, 1.9147937547633544, -0.0037677366541045343, 0.0016249519847770734, 3.5055200000000015, 0.5643505266344052, 0.0, 1.7358274849884878, 0.12111043909371352
0.0132, -1588.4229314134493, -1456.6301682147673, 9.728644525149253, -1455.8329432927267, -0.7972249220405484, -0.45097158360936795, 1.9519022676709503, -0.0035234524681350323, 0.0015779670284502229, 3.505441875, 0.5686585459216907, 0.0, 1.842177362743341, 0.11786097159903829
0.0133, -1623.3377662692249, -1485.0157831250922, 9.571595916789716, -1486.5988049935784, 1.5830218684862423, -0.4897265194070683, 1.9906519650070176, -0.003280860433643953, 0.001610795889987587, 3.5052537499999996, 0.5729665652089763, 0.0, 1.9525769901140415, 0.11476890125195445
0.0134, -1655.1444314024568, -1496.8257140535734, 9.787032058738838, -1496.765096667698, -0.0606173858754624, -0.5284802525522189, 2.029437291445417, -0.0028128683594439313, 0.0016777732496541485, 3.5053196875, 0.5772745844962618, 0.0, 2.1705270473934233, 0.10912646630265738
0.0135, -1628.2392008642348, -1450.0935929926554, 10.638770341565, -1449.5320097099907, -0.5615832826647998, -0.568753844743686, 2.0698370944707007, -0.0029942405150335015, 0.0016329430147936533, 3.5054159374999996, 0.5815826037835473, 0.0, 2.0971192348215975, 0.11129546154262329
0.0136, -1580.1494033626025, -1407.7030080881204, 10.858315397577803, -1407.7950104516517, 0.09200236353122467, -0.606222947758281, 2.1073320366785815, -0.002937070817955287, 0.0016751513714032991, 3.5057259374999994, 0.5858906230708328, 0.0, 2.13234963806908, 0.11064408158186607
0.0137, -1684.2804401106139, -1517.2523656003875, 10.664529705598515, -1516.1098379912653, -1.1425276091223295, -0.6442004212543462, 2.145283043816642, -0.0023560982514518438, 0.0016619703830645179, 3.505714999999999, 0.5901986423581184, 0.0, 2.420206898764374, 0.10410982159422309
0.0138, -1774.8168479239603, -1582.2177935918196, 10.094916822691147, -1584.894438088762, 2.6766444969422944, -0.6866414150372602, 2.1876419758643437, -0.0015420838091518342, 0.0016448620377786701, 3.5055359375000013, 0.5945066616454039, 0.0, 2.8786577164713716, 0.09569203158676293
0.0139, -1775.852591097262, -1560.148222802936, 10.412580172419357, -1559.4617488552885, -0.6864739476476137, -0.7289416835833087, 2.2299529660802158, -0.001623049896087163, 0.0018136093240986055, 3.5056521875, 0.5988146809326894, 0.0, 2.836852983838853, 0.09662680338476096
0.014, -1811.7499036014788, -1597.8137899726835, 11.553639606838562, -1597.6368778319002, -0.17691214078323972, -0.7714321304599641, 2.272627545158663, -0.0013761924352724954, 0.001638180419345562, 3.5054775000000014, 0.6031227002199748, 0.0, 2.9914956889824795, 0.09432125739887454
0.0141, -1824.3402195119825, -1594.842602784452, 11.030610291247603, -1595.500402588904, 0.6577998044519315, -0.8154463694246408, 2.3165733389288135, -8.369477784164212E-4, 0.0018285649690082412, 3.5055009375000004, 0.6074307195072604, 0.0, 3.3463607387380305, 0.08939181459358647
0.0142, -1820.8505120160692, -1579.5489118229539, 11.993539803571487, -1577.8849471842586, -1.663964638695322, -0.8585379596049697, 2.3597936485625457, -7.791529048212221E-4, 0.0016955251382375662, 3.505495624999999, 0.6117387387945459, 0.0, 3.3894199163065806, 0.08903167008405805
0.0143, -1832.2211596764846, -1557.4236144784884, 11.863344801106155, -1559.0212581006406, 1.5976436221520847, -0.9023855773102706, 2.4036213588731723, -2.771405589088251E-4, 0.001772997145544522, 3.5056081250000006, 0.6160467580818314, 0.0, 3.7539555584034963, 0.08479662024953277
0.0144, -1766.8932701774888, -1491.3988621246503, 12.886700894550106, -1492.4297493400013, 1.0308872153508777, -0.9460200759249929, 2.447386966202413, -0.0012828679918493854, 0.0017966041650417381, 3.5055971875, 0.6203547773691169, 0.0, 3.070131943857509, 0.0939838873565635
0.0145, -1763.078894679009, -1514.077420000467, 13.533578729369525, -1514.5084078133689, 0.43098781290186894, -0.9867485166696359, 2.488228354093674, -3.096794994616948E-4, 0.0018471712199981012, 3.5056856249999995, 0.6246627966564025, 0.0, 3.7315108985262015, 0.08544593452488485
0.0146, -1924.7592949151256, -1652.7013083012066, 12.210571314589387, -1651.515896760003, -1.1854115412036446, -1.0302008922697408, 2.5314952863136906, 4.3424027495746187E-4, 0.0018426605410165591, 3.5056096875000002, 0.628970815943688, 0.0, 4.3230700507944615, 0.07956692530079627
0.0147, -1975.2726992144055, -1684.543318974698, 12.838182670725018, -1684.5163503655115, -0.026968609186435514, -1.07864900348398, 2.580008811005769, 8.187979742817953E-4, 0.0018158139133032836, 3.5054540625000006, 0.6332788352309735, 0.0, 4.658278355455602, 0.07682528038355739
