Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -2292.413512407773, -2415.9450376389723, 2.7672736246848375, -2415.9450376389723, 0.0, -0.05395203233879166, 1.5541284681296739, -0.021617385045235495, 0.0, 3.505, 0.5212703337615502, 0.0, 0.023105469129130533, 1.0223089318127592
0.0122, -2881.830138771108, -3151.8743883720595, 7.376863199242625, -3151.8743883720595, 0.0, -0.14192779155368213, 1.6425709368062624, -0.015172619303249191, 0.0, 3.505, 0.5255783530488356, 0.0, 0.11048395225011158, 0.46879334372972226
0.0123, -1859.6641654198745, -1989.7971368099377, 9.75763023973238, -1989.7971368099377, 0.0, -0.19154928585977907, 1.692471764690957, -0.006645768248525865, 0.0, 3.505, 0.5298863723361211, 0.0, 0.8389742763314642, 0.17058407114500654
0.0124, -3729.1184896028653, -3675.8669694430832, 9.095260762952181, -3675.8669694430832, 0.0, -0.23072021487891328, 1.7315245209529309, -0.005952666344488217, 0.0, 3.505, 0.5341943916234067, 0.0, 0.997937478898864, 0.15683150935266027
0.0125, -3485.0079231621676, -3370.171150807677, 9.10786214028784, -3370.171150807677, 0.0, -0.3696015781584827, 1.870453867580712, -0.005563058005824101, 0.0, 3.505, 0.5385024109106922, 0.0, 1.1037131962716848, 0.14952700937448293
0.0126, -1168.748358050501, -1045.066508312837, 9.934280796328437, -1045.066508312837, 0.0, -0.39711708618461705, 1.8980479267072252, -0.0056111020127263996, 0.0, 3.505, 0.5428104301979777, 0.0, 1.1026308416685726, 0.1499982552797724
0.0127, -1176.1813174537644, -1051.724101652715, 10.199836332544894, -1051.724101652715, 0.0, -0.4254052016827648, 1.9263936637204948, -0.005254050631632476, 0.0, 3.505, 0.5471184494852632, 0.0, 1.2076536260055337, 0.1437058582088669
0.0128, -1185.6076179400732, -1056.3450906165651, 9.899102241869421, -1056.3450906165651, 0.0, -0.45327560737814837, 1.9542199284520247, -0.004936942782323597, 0.0, 3.505, 0.5514264687725488, 0.0, 1.3089709925983115, 0.1383936209612982
0.0129, -1233.2739135407787, -1094.9878703729096, 9.572008855130147, -1094.9878703729096, 0.0, -0.4820137955715358, 1.982930902422629, -0.004420590051349007, 0.0, 3.505, 0.5557344880598343, 0.0, 1.4815307847651609, 0.13042244088136698
0.013, -1270.8191052725, -1112.5739133303998, 9.956698404681182, -1112.5739133303998, 0.0, -0.5121600992360389, 2.0131221472586103, -0.004135069159540822, 0.0, 3.505, 0.5600425073471198, 0.0, 1.5901359793388978, 0.12621425624894733
0.0131, -1272.2738497798807, -1107.5462621804759, 10.003691802686086, -1107.5462621804759, 0.0, -0.5426909382854572, 2.043656131973457, -0.004160471713297652, 0.0, 3.505, 0.5643505266344052, 0.0, 1.5921165366950303, 0.1264583271384966
0.0132, -1286.4619699628192, -1112.191379645518, 10.109089844104346, -1112.191379645518, 0.0, -0.572906700883746, 2.0738965722706566, -0.0037783929242476166, 0.0, 3.505, 0.5686585459216907, 0.0, 1.7424191661470116, 0.12118794405777929
0.0133, -1284.3524099764716, -1101.6611238691394, 10.133254773755436, -1101.6611238691394, 0.0, -0.6041149727712533, 2.1050982028450576, -0.0038581232974554845, 0.0, 3.505, 0.5729665652089763, 0.0, 1.7229458727847016, 0.1221778533695028
