Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862134
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
DryVolFrac increment: 1.0E-4
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, 7.375503705998967, -1.1596632447917337, 1.0, -1.1596632447917337, 0.0, -0.007283710736931351, 1.507462184220046, -0.003582293488374246, 0.0, 3.505, 0.0, 0.0, 1.6969824764765962, 0.11928913014982602
0.0122, 21.624236612184983, 19.920586373046888, 1.0, 19.920586373046888, 0.0, -0.006576305487829435, 1.506771327830515, -0.0035023975026400858, 0.0, 3.505, 0.0, 0.0, 1.741153207709347, 0.11808984259888809
0.0123, 14.7263896747345, 8.439347601896964, 1.0, 8.439347601896964, 0.0, -0.006251229492705956, 1.5064145677729333, -0.003450558247133259, 0.0, 3.505, 0.0, 0.0, 1.774021616281482, 0.11730954327684057
0.0124, 14.304968207207375, 6.383707326281856, 1.0, 6.383707326281856, 0.0, -0.0058731721746400015, 1.506058748050202, -0.0031566739857977317, 0.0, 3.505, 0.0, 0.0, 1.9115515717197114, 0.11331619398566815
0.0125, 9.063948870271885, 4.833373420134019, 1.0, 4.833373420134019, 0.0, -0.005568217572421118, 1.5057791752103524, -0.0030285314128005204, 0.0, 3.505, 0.0, 0.0, 1.9801328179681907, 0.11163505842026696
0.0126, 8.282749251817796, -7.434726882896919, 1.0, -7.434726882896919, 0.0, -0.00544040049464921, 1.5056794287641282, -0.0029140439087400037, 0.0, 3.505, 0.0, 0.0, 2.043630202691347, 0.11017932801721021
0.0127, 9.230980534634321, -13.82123605758226, 1.0, -13.82123605758226, 0.0, -0.005172745426675868, 1.5053670610497032, -0.002237976308680863, 0.0, 3.505, 0.0, 0.0, 2.394702305082869, 0.102051619556305
0.0128, 12.08846169224194, 3.438323813695144, 1.0, 3.438323813695144, 0.0, -0.0049996536401475744, 1.5051874004853834, -0.0017671648062732627, 0.0, 3.505, 0.0, 0.0, 2.672694904974666, 0.096851508814593
0.0129, 17.86502048900987, 7.5770161785584325, 1.0, 7.5770161785584325, 0.0, -0.004595563896866671, 1.5048040200627464, -0.001774455010112427, 0.0, 3.505, 0.0, 0.0, 2.6761412757216623, 0.09704052684032365
0.013, 19.24126239676399, 6.045723343603496, 1.0, 6.045723343603496, 0.0, -0.004146661744368401, 1.5043420638293115, -0.0012322106618302812, 0.0, 3.505, 0.0, 0.0, 3.02677218970797, 0.09148200556472756
0.0131, 11.80766829885611, 5.651483294598684, 1.0, 5.651483294598684, 0.0, -0.003676861290334711, 1.5039077491567314, -0.0010995767210285102, 0.0, 3.505, 0.0, 0.0, 3.1224043202802454, 0.09030052794643466
0.0132, 10.69894920217134, -4.686837491272238, 1.0, -4.686837491272238, 0.0, -0.003582887111522675, 1.5038289333356427, -8.989266236056085E-4, 0.0, 3.505, 0.0, 0.0, 3.267713964047871, 0.08849397851137283
0.0133, 15.454813648165773, 4.914500385690516, 1.0, 4.914500385690516, 0.0, -0.0031660240949103135, 1.5033508210886415, -3.242934513440504E-4, 0.0, 3.505, 0.0, 0.0, 3.7059842303480237, 0.08330604641735342
