Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.6500027955222378
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.5281863876481138
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0101, -1.7169715542474138, -4.485454354969942, 9.037084137362966, -4.485454354969942, 0.0, -0.016792975830569174, 1.5175433894703878, -0.017602815675121855, 0.0, 3.505, 0.43511006786498935, 0.0, 0.02630994315967415, 0.9020382010244417
0.0102, -9.682976816613735, -67.21880837390871, 8.933739611050523, -67.21880837390871, 0.0, -0.01708142208837281, 1.5178281815616097, -0.015899120651529045, 0.0, 3.505, 0.4394180883389001, 0.0, 0.04472213448088658, 0.6941445040805128
0.0103, 1.7161486641295274, 2.571341395333393, 7.924141637469511, 2.571341395333393, 0.0, -0.017255303917831664, 1.5178643749159382, -0.014832499694833424, 0.0, 3.505, 0.4437261088128108, 0.0, 0.06295323080461407, 0.5869680880237557
0.0104, 14.289746192343314, 33.74819475736833, 7.965050629631259, 33.74819475736833, 0.0, -0.01699948202547978, 1.5176111448349858, -0.01589290835447511, 0.0, 3.505, 0.4480341292867216, 0.0, 0.04882200355471942, 0.6686739553906081
0.0105, 4.72257322355368, 41.762838605598596, 9.383569639141605, 41.762838605598596, 0.0, -0.016573018795219656, 1.517385644080281, -0.015740291914136426, 0.0, 3.505, 0.45234214976063236, 0.0, 0.05308142492499066, 0.6433336092266962
0.0106, -3.1905901690417395, 18.814140207509055, 9.316899840131299, 18.814140207509055, 0.0, -0.016773995763687183, 1.517582474016108, -0.01764558928876994, 0.0, 3.505, 0.45665017023454313, 0.0, 0.032925754417408866, 0.8194299782794577
0.0107, 3.226262318614254, -26.085284399488724, 10.091737177868495, -26.085284399488724, 0.0, -0.016725358254254676, 1.5176319802174163, -0.016807385558236777, 0.0, 3.505, 0.4609581907084539, 0.0, 0.0431513803142316, 0.7180284849895945
0.0108, -0.18352229319881408, 5.122025340971825, 9.24960444767615, 5.122025340971825, 0.0, -0.01661995308497161, 1.5174131875261438, -0.016247599244448588, 0.0, 3.505, 0.46526621118236466, 0.0, 0.05224015229310313, 0.6546112456039463
0.0109, -14.727146403022605, -38.77973986914707, 8.637280761809413, -38.77973986914707, 0.0, -0.01673412079829372, 1.5174501291544362, -0.017053811356281944, 0.0, 3.505, 0.46957423165627543, 0.0, 0.043913783075706855, 0.7161755666419282
0.011, 14.230376138163386, -2.965002526027004, 9.761352950090991, -2.965002526027004, 0.0, -0.01732312252927533, 1.5181935667537858, -0.015105038382952478, 0.0, 3.505, 0.47388225213018614, 0.0, 0.07622721181271767, 0.5452390739449151
0.0111, 29.635159403295244, 31.05493682961223, 10.333250425978356, 31.05493682961223, 0.0, -0.016054670386960023, 1.5169728241278735, -0.01619246369979868, 0.0, 3.505, 0.4781902726040969, 0.0, 0.05954822193457503, 0.618753527131943
0.0112, -22.77927995516166, -74.87547229727969, 10.687633067827038, -74.87547229727969, 0.0, -0.01590814789677012, 1.5169015739898466, -0.015175310523992559, 0.0, 3.505, 0.4824982930780077, 0.0, 0.08031284635696619, 0.5343895116315105
0.0113, -12.351979225867135, -13.711336890980235, 10.59823692436674, -13.711336890980235, 0.0, -0.017142300888441455, 1.5181246477199368, -0.013691967359887673, 0.0, 3.505, 0.48680631355191845, 0.0, 0.12135263444494726, 0.4360262514157537
0.0114, 14.096764703357447, 30.304454496629198, 10.710942369148858, 30.304454496629198, 0.0, -0.016497911461999668, 1.5174894726369144, -0.015049338126379876, 0.0, 3.505, 0.4911143340258292, 0.0, 0.0887589642635858, 0.5113362687494885
0.0115, -68.93741252427333, -207.18333774612626, 10.34002300818294, -207.18333774612626, 0.0, -0.016469229953198647, 1.5174054531402539, -0.014440413976605875, 0.0, 3.505, 0.49542235449974, 0.0, 0.1068537179862144, 0.4673930191000234
0.0116, -74.2712823555957, -203.55092716819473, 9.790205312392745, -203.55092716819473, 0.0, -0.01978943045216064, 1.5206959066732837, -0.008413297661854093, 0.0, 3.505, 0.49973037497365075, 0.0, 0.49285807244863944, 0.2182576558588701
0.0117, -44.90541426853518, -44.00033756669391, 9.96604574054951, -44.00033756669391, 0.0, -0.020015422468198724, 1.5209468199890246, -0.008071625402156455, 0.0, 3.505, 0.5040383954475615, 0.0, 0.5457091173819388, 0.20801394132862097
0.0118, 93.20627383263307, 95.62095861996333, 10.192507812300597, 95.62095861996333, 0.0, -0.02193350604788865, 1.522906734400009, -0.008252344419932297, 0.0, 3.505, 0.5083464159214722, 0.0, 0.530918474163781, 0.21149065266948844
0.0119, 123.96145204821876, 108.77813415865269, 10.336539902514446, 108.77813415865269, 0.0, -0.015565150705906625, 1.516567411405695, -0.007955034012741086, 0.0, 3.505, 0.512654436395383, 0.0, 0.5802082443787943, 0.20287792757044917
0.012, 60.723519499580654, 84.77446732988057, 9.872035885931874, 84.77446732988057, 0.0, -0.016014782693991758, 1.5169369270028108, -0.007399493270640746, 0.0, 3.505, 0.5169624568692938, 0.0, 0.6736535414061087, 0.18880777625490416
0.0121, -38.51540549802692, -71.95665163686115, 12.103738755880574, -71.95665163686115, 0.0, -0.012665816218818017, 1.5138635032477286, -0.008959794025656493, 0.0, 3.505, 0.5212704773432045, 0.0, 0.47130890880765325, 0.22635324561138498
0.0122, -138.09614854249486, -194.79160121872175, 8.950658132595821, -194.79160121872175, 0.0, -0.017853757845051683, 1.5186951093182515, -0.005741534817620057, 0.0, 3.505, 0.5255784978171153, 0.0, 1.0258132399179785, 0.1538497827519856
0.0123, 69.62350358487308, 82.33025131557328, 9.733720089186528, 82.33025131557328, 0.0, -0.019259421617565227, 1.520186399245461, -0.006054224529143672, 0.0, 3.505, 0.5298865182910261, 0.0, 0.9637320363215816, 0.1591602635531339
0.0124, 164.31589130785363, 169.66882134501446, 10.483451786194525, 169.66882134501446, 0.0, -0.014529480419779028, 1.5155777308717653, -0.0061335186793646, 0.0, 3.505, 0.5341945387649368, 0.0, 0.9568514672761115, 0.16016319558317912
0.0125, 22.767192376176393, 26.95636681447992, 10.275459462497455, 26.95636681447992, 0.0, -0.011413915718506574, 1.5124138455191112, -0.006174389374026815, 0.0, 3.505, 0.5385025592388476, 0.0, 0.9585839049138467, 0.1604474053884704
0.0126, -110.78117523588399, -124.37628335991148, 10.974672009502205, -124.37628335991148, 0.0, -0.013442427057681252, 1.5145450258718798, -0.0062497046036519895, 0.0, 3.505, 0.5428105797127584, 0.0, 0.9527530819764571, 0.161365650989744
0.0127, -83.02569722447821, -100.97182567042081, 10.594422293278745, -100.97182567042081, 0.0, -0.016703327210602695, 1.5177818466107187, -0.005411100578401483, 0.0, 3.505, 0.547118600186669, 0.0, 1.1653629622607813, 0.14629014214106512
0.0128, -98.44559430032987, -107.71248172794736, 10.812537303314766, -107.71248172794736, 0.0, -0.01740661209275928, 1.5185257557342255, -0.005215009747527253, 0.0, 3.505, 0.5514266206605798, 0.0, 1.2295147712075731, 0.14279539705223618
0.0129, -34.74669112958968, -31.11065117143834, 10.166645020966577, -31.11065117143834, 0.0, -0.02140375809815774, 1.522427064216491, -0.004778145509402794, 0.0, 3.505, 0.5557346411344906, 0.0, 1.36776392736784, 0.13573820164664346
0.013, -15.828585628018374, -25.07583780344699, 11.596700068577343, -25.07583780344699, 0.0, -0.019065644387567734, 1.5202810182409627, -0.00513085643182851, 0.0, 3.505, 0.5600426616084013, 0.0, 1.2750871887810653, 0.14094692435803755
