#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.5154305577278135
#Mean swelling ratio: 5.515001979166666
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.16777925547269204
#Actual volume fraction: 0.16778958757589998
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 1.739675781108816E-9
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.0015, 0.49794857525098657, 6.9241172222222245, 0.49851679388263137, 0.14023192947004864, 3.175E-5, 0.00539943135114782
0.0016, 0.5143884235740509, 6.850523090277777, 0.5149973383166253, 0.12316083401078334, 3.35E-5, 0.005117805575397244
0.0016, 0.4989868596000829, 6.78145746527778, 0.49958535297054213, 0.14385502837907224, 3.525E-5, 0.00486322249886719
0.0017, 0.5150847267321842, 6.716503576388889, 0.5156854135232666, 0.12430615749040963, 3.7000000000000005E-5, 0.00463320643480363
0.0017, 0.5011180097815492, 6.655239618055557, 0.5016645684633881, 0.13542495995992532, 3.875000000000001E-5, 0.004424248264979333
0.0017, 0.48812974318000213, 6.5972374652777805, 0.48862085582942216, 0.1461843763483051, 4.050000000000001E-5, 0.004232804585915024
0.0018, 0.5039266922907426, 6.5418154166666715, 0.5044744135911877, 0.1306711488734304, 4.225000000000001E-5, 0.004057599605687698
0.0018, 0.49193287418739157, 6.4894981597222205, 0.49241278448975523, 0.14734917428507244, 4.400000000000001E-5, 0.0038962383626099813
0.0019, 0.5073062793366995, 6.4393032638888865, 0.5078216893096876, 0.12792300196179468, 4.5750000000000014E-5, 0.0037471494259437334
0.0019, 0.49612830062001545, 6.391657083333333, 0.4965829559108332, 0.14149676244793677, 4.7500000000000016E-5, 0.0036093413912728287
0.002, 0.51101002005267, 6.3455091319444445, 0.5115667046688042, 0.12737541780642442, 4.925000000000002E-5, 0.003481085452467675
0.002, 0.5005435411948063, 6.30188715277778, 0.5010300668397379, 0.14913494897853458, 5.100000000000002E-5, 0.003361441137238732
0.002, 0.49061077490807015, 6.259923541666666, 0.49105611379410663, 0.14696882734580038, 5.275000000000002E-5, 0.0032501080056808376
0.0021, 0.5052172050680693, 6.2194638194444485, 0.5056785120826992, 0.12844112900459223, 5.4500000000000024E-5, 0.003145486489203704
0.0021, 0.49582116696212436, 6.180665729166669, 0.4962442294842562, 0.14248852879013463, 5.6250000000000026E-5, 0.0030477099459704617
0.0021, 0.48685827824726974, 6.143196701388893, 0.48726851930653464, 0.1480494277391098, 5.800000000000003E-5, 0.0029558887185328142
0.0022, 0.5010632502771972, 6.106934895833334, 0.501510777356943, 0.13241307593711749, 5.975000000000003E-5, 0.002869616356516749
0.0022, 0.49253627279552165, 6.072094375000002, 0.4929602098252475, 0.14364662262803501, 6.150000000000003E-5, 0.002787461648657533
0.0023, 0.5063921718924719, 6.038369930555559, 0.5068265492037913, 0.12818119648492993, 6.325000000000003E-5, 0.002710344920806739
0.0023, 0.49825269928147875, 6.005842534722221, 0.4986544274432595, 0.1358240381497031, 6.500000000000003E-5, 0.0026373676228529665
0.0023, 0.49041962744288475, 5.974203368055558, 0.49082780803873755, 0.14839544642139807, 6.675000000000004E-5, 0.0025686341178949566
0.0023, 0.48295206492996234, 5.943725312499999, 0.4833219082274609, 0.14605863732802726, 6.850000000000004E-5, 0.0025026234680081806
0.0024, 0.49640095178362215, 5.913897430555555, 0.49681684333256776, 0.1398507349486083, 7.025000000000004E-5, 0.002440270717228991
0.0025, 0.5095681189362402, 5.88510315972222, 0.5099916429340416, 0.12254371968584149, 7.200000000000004E-5, 0.002380958936966348
0.0025, 0.50232421893003, 5.857082881944447, 0.5027523168101997, 0.13387640655556832, 7.375000000000004E-5, 0.0023245557839070255
0.0025, 0.4954003881042244, 5.830047743055556, 0.49578296670409266, 0.141549562746328, 7.550000000000005E-5, 0.0022707004677050076
0.0025, 0.4886872124175774, 5.8035935416666655, 0.48906675900657437, 0.1458249428980301, 7.725000000000005E-5, 0.0022191974636153263
0.0026, 0.5014963034695099, 5.777830486111109, 0.5018926840955579, 0.13908985303727278, 7.900000000000005E-5, 0.002170152500952123
0.0026, 0.4950269162987901, 5.752877881944443, 0.49539113072446217, 0.14091787812718207, 8.075000000000005E-5, 0.0021230325255013616
0.0026, 0.4887477729061253, 5.728450277777779, 0.48911059235660376, 0.14691795959309112, 8.250000000000005E-5, 0.0020779946465820823
0.0027, 0.5012111097855161, 5.704518263888893, 0.5016183464892567, 0.13564533823603794, 8.425000000000006E-5, 0.002034912652324958
