DryVolFrac,	 Young,		Lindemann Parameter
0.0169,		0.08,		0.10013134476558616
0.0164,		0.10,		0.10002699932538883
0.0156,		0.15,		0.10123063330316882
0.0152,		0.20,		0.10121005750055202
0.0147,		0.30,		0.10283582376437904
0.0145,		0.40,		0.10120660009605913
0.0143,		0.50,		0.10183111688617114
0.0142,		0.60,		0.10109200423000786
0.0141, 	0.70,		0.1018320421791137
0.0140,		0.80,		0.10219090590239227
0.0140,		0.90,		0.10085858743574629
0.0139, 	1.00,		0.1021374079769887
0.0138,		1.20,		0.1023546705642483
0.0138,		1.50,		0.10079068889850386
0.0136,		2.50,		0.10197470433007656
0.0136,		2.80,		0.10223031041560433
0.0136,		3.00,		0.10107669106607277


