#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 34.72931385785364
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#Dry volume fraction: 0.0031999999999999984
#Actual volume fraction: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.0
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.3779632642168236, 7.003505312499999, 0.37816065866852044, 0.6308513925946945
0.0012, 0.41232111719589387, 7.003495868055557, 0.41253890036565866, 0.4544016657623733
0.0013, 0.44657179671540376, 7.002928402777777, 0.4469171420627969, 0.37574274481451997
0.0014, 0.4809308413376937, 7.002963437499997, 0.48129538375993514, 0.16638414776560187
0.0015, 0.5152148624203022, 7.002655069444444, 0.5156736254570734, 0.13368413782641128
0.0016, 0.5494941230219819, 7.0023730208333355, 0.5500518671542116, 0.10478147403816028
0.0017, 0.5837038596236418, 7.001845590277781, 0.5844301088513498, 0.08297157346818007
0.0018, 0.6177826976721484, 7.000887743055557, 0.618808350548488, 0.0637534327314378
0.0019, 0.6517636345918467, 6.9996788888888855, 0.6531865922456264, 0.0458136088698904
0.002, 0.6853531866845223, 6.99728079861111, 0.6875648339427646, 0.03029932378338642
0.0021, 0.7179176300787997, 6.991829027777773, 0.7219430756399027, 0.016091987970758018
0.0022, 0.7442907199209694, 6.9678484375, 0.7563213173370409, 0.006523380020342366
0.0023, 0.7873924958353298, 7.005, 0.790699559034179, 2.5095003232311255E-16
0.0024, 0.8158731992695063, 7.005, 0.8250778007313172, 2.5453551720307977E-16
0.0025, 0.8415892690912894, 7.005, 0.8594560424284553, 2.580227384461465E-16
0.0026, 0.8646872530568624, 7.005, 0.8938342841255935, 0.0
0.0027, 0.8853006216988546, 7.005, 0.9282125258227316, 2.6472760586313793E-16
0.0028, 0.9035513742926488, 7.005, 0.9625907675198698, 2.3966740922127653E-16
0.0029, 0.9195513974996504, 7.005, 0.996969009217008, 2.7110902590561667E-16
0.003, 0.9334036219643188, 7.005, 1.0313472509141461, 2.7419007405376116E-16
