#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 116.66666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 4.0E-5
#Reservoir swelling ratio: 6.61576735973358
#Mean swelling ratio: 4.988643263888889
#Dry volume fraction: 0.006000000000000003
#Reservoir volume fraction: 1.7373684297638077
#Actual volume fraction: 0.7450988033995317
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 3.4084992914189884E-4
#The coupling constant increment - dlambda: 0.0
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.0072764775798611105, 6.614979618055554, 0.31851754545669797, 0.6165563950270457
0.0012, 0.007937785166666668, 6.614820972222222, 0.3474736859527614, 0.6092970719696255
0.0013, 0.008599243656250003, 6.614802812500002, 0.3764298264488249, 0.5246560193226264
0.0014, 0.00926050134722222, 6.614643819444442, 0.4053859669448883, 0.46495197869657084
0.0015, 0.009921786927083339, 6.614524618055558, 0.4343421074409518, 0.3888812623975047
0.0016, 0.010583132222222225, 6.614457638888889, 0.4632982479370153, 0.18480919917917643
0.0017, 0.011244328947916672, 6.6143111458333355, 0.4922543884330787, 0.14510394376787006
0.0018, 0.011905580312500007, 6.6142112847222245, 0.5212105289291422, 0.1184996087126212
0.0019, 0.012567151329861121, 6.614290173611115, 0.5501666694252056, 0.09671257441863183
0.002, 0.013227924166666672, 6.613962083333335, 0.5791228099212691, 0.07815935280025153
0.0021, 0.01388846732291667, 6.613555868055556, 0.6080789504173325, 0.06222174287959687
0.0022, 0.01454825021527778, 6.612841006944445, 0.6370350909133959, 0.04740717489028665
0.0023, 0.015207301399305555, 6.611870173611111, 0.6659912314094594, 0.03325330175211235
0.0024, 0.0158632155, 6.6096731250000005, 0.6949473719055227, 0.020599340215685148
0.0025, 0.01650570720486111, 6.602282881944444, 0.7239035124015861, 0.009103717088489317
0.0026, 0.017065447749999994, 6.563633749999999, 0.7528596528976496, 0.0026610377101742915
0.0027, 0.017526921937500002, 6.491452569444447, 0.7818157933937129, 0.0013823517801972614
0.0028, 0.01796667687499999, 6.416670312499999, 0.8107719338897763, 9.83180316928638E-4
0.0029, 0.01839534051736111, 6.343220868055557, 0.8397280743858397, 9.815571768653666E-4
0.003, 0.01881899197916666, 6.272997326388889, 0.8686842148819031, 8.077675044347324E-4
0.0031, 0.019236309767361102, 6.205261215277778, 0.8976403553779665, 8.896533605216771E-4
0.0032, 0.019651834666666656, 6.141198333333333, 0.9265964958740299, 6.934867430258582E-4
0.0033, 0.020058466083333316, 6.078323055555554, 0.9555526363700934, 8.635643372591314E-4
0.0034, 0.020464336381944434, 6.018922465277778, 0.9845087768661567, 7.998555092999098E-4
0.0035, 0.02086630717013887, 5.961802048611109, 1.01346491736222, 7.686962024003774E-4
0.0036, 0.02126278224999999, 5.9063284027777785, 1.0424210578582835, 9.507720242507057E-4
0.0037, 0.021656104881944437, 5.853001319444446, 1.071377198354347, 7.27100295579952E-4
0.0038, 0.022046346527777764, 5.801670138888889, 1.1003333388504104, 7.615902951413695E-4
0.0039, 0.02243264386458332, 5.751959965277779, 1.1292894793464736, 8.12211452230209E-4
0.004, 0.022815638194444435, 5.703909548611112, 1.1582456198425373, 7.827418397328453E-4
0.0041, 0.023195558524305545, 5.657453298611111, 1.1872017603386007, 8.076397548260016E-4
0.0042, 0.023572850583333315, 5.61258347222222, 1.2161579008346644, 8.80595578557848E-4
0.0043, 0.023946949788194432, 5.569058090277777, 1.2451140413307278, 8.274248232067823E-4
0.0044, 0.024318970958333328, 5.527038854166667, 1.2740701818267914, 7.562735857998814E-4
0.0045, 0.024687790312499992, 5.486175625, 1.3030263223228549, 7.717685136188185E-4
0.0046, 0.025052351972222223, 5.446163472222223, 1.3319824628189183, 7.619329333587342E-4
0.0047, 0.025415867364583334, 5.407631354166668, 1.360938603314982, 8.483420597068963E-4
0.0048, 0.025777529166666674, 5.3703185763888905, 1.3898947438110454, 8.014965380972525E-4
0.0049, 0.02613545564583333, 5.333766458333333, 1.418850884307109, 8.670210300188929E-4
0.005, 0.026490663194444448, 5.298132638888889, 1.4478070248031725, 8.687267912364786E-4
0.0051, 0.026844830687500005, 5.2636922916666675, 1.476763165299236, 9.010999648122184E-4
0.0052, 0.027197318416666675, 5.230253541666667, 1.5057193057952996, 7.761926714430308E-4
0.0053, 0.02754468741666666, 5.197110833333332, 1.534675446291363, 8.759078710984121E-4
0.0054, 0.02789193075000001, 5.165172361111112, 1.5636315867874266, 8.171836584481218E-4
0.0055, 0.02823794454861111, 5.134171736111109, 1.59258772728349, 9.111948498355503E-4
0.0056, 0.0285810371388889, 5.103756631944445, 1.6215438677795537, 8.317085065527069E-4
0.0057, 0.028919751760416675, 5.073640659722222, 1.6505000082756172, 8.973983061182244E-4
0.0058, 0.029258794590277786, 5.044619756944444, 1.6794561487716806, 8.411692779534422E-4
