#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 297.50000000000017
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 1.0200000000000005E-4
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 3.0E-6
#Reservoir swelling ratio: 5.493829798698425
#Mean swelling ratio: 5.493342013888889
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.1658156821748116
#Actual volume fraction: 0.16581985928227502
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 1.5609609041056685E-4
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.0016, 0.5190750122323903, 6.871265243055555, 0.5196390022154191, 0.1280291724089224, 3.3E-5, 0.005194835114033635
0.0017, 0.5236112228759676, 6.753361666666665, 0.5241845081558942, 0.12543656402796136, 3.6E-5, 0.0047619746590246825
0.0017, 0.4992556991250768, 6.646985069444448, 0.49974414792284344, 0.14983362999724287, 3.9E-5, 0.004395605522602829
0.0018, 0.5058015874094707, 6.549918472222222, 0.5062632429855926, 0.1424351958124009, 4.2E-5, 0.004081657096282231
0.0019, 0.5123938578841049, 6.4607574652777835, 0.512850332153473, 0.13669385110710117, 4.4999999999999996E-5, 0.003809532489108866
0.002, 0.5190113717587995, 6.378456909722222, 0.5194658928887734, 0.1300307394151901, 4.7999999999999994E-5, 0.0035714288105272896
0.002, 0.5006678225212974, 6.302408680555555, 0.5010300355734335, 0.14102969834880727, 5.099999999999999E-5, 0.0033613592623670794
0.0021, 0.5080654364277607, 6.231129618055555, 0.5084629655929165, 0.1434468127303852, 5.399999999999999E-5, 0.003174669953042856
0.0022, 0.5153587500340182, 6.164468784722221, 0.5157888549863039, 0.13758139018481266, 5.699999999999999E-5, 0.003007548511000133
0.0022, 0.4998777262372089, 6.102114722222224, 0.5002651434357178, 0.14791087163278957, 5.999999999999999E-5, 0.0028571442585672265
0.0023, 0.5076530747757696, 6.043377569444446, 0.5080235612319667, 0.1437875262749596, 6.299999999999999E-5, 0.0027211096186411815
0.0024, 0.5152470269447832, 5.987811006944443, 0.5156263768588731, 0.13181513948480691, 6.599999999999999E-5, 0.002597407357631657
0.0025, 0.5226967624555746, 5.935216979166667, 0.5230789922743032, 0.12677900532083078, 6.9E-5, 0.0024845333949159447
0.0025, 0.5096337197397665, 5.885355694444442, 0.5099915097081972, 0.14296371869061564, 7.2E-5, 0.0023811500567166867
0.0026, 0.5172795398612762, 5.837819340277781, 0.5176579515431137, 0.13086151968527449, 7.500000000000001E-5, 0.002285718156703959
0.0026, 0.5053718775937075, 5.792676041666668, 0.5057121534681644, 0.14979226310358684, 7.800000000000001E-5, 0.002197830314373134
0.0027, 0.5131587434262992, 5.74949, 0.5134995893117145, 0.13794686182692645, 8.100000000000002E-5, 0.0021164316036974746
0.0027, 0.5021912276386318, 5.708234236111111, 0.5025064517677791, 0.1458664932043049, 8.400000000000002E-5, 0.0020408180077940994
0.0028, 0.5100373779843477, 5.668671944444443, 0.5103503543808166, 0.13625889062224103, 8.700000000000003E-5, 0.001970480881568979
0.0029, 0.5176862398987317, 5.6306198611111125, 0.5180239127537521, 0.13120244651565882, 9.000000000000003E-5, 0.001904777892833975
0.0029, 0.5077186022972543, 5.594247708333334, 0.5080182916941727, 0.13751836253512575, 9.300000000000004E-5, 0.00184349580202077
0.003, 0.515376088403045, 5.559055416666668, 0.5157057454625735, 0.13864378883006112, 9.600000000000004E-5, 0.00178572844862321
