#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 31.97556621807948
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#Reservoir swelling ratio: 7.005318522453306
#Mean swelling ratio: 7.005
#Dry volume fraction: 0.004099999999999998
#Reservoir volume fraction: 1.4095079095826661
#Actual volume fraction: 0.9669038981773153
#MC steps: 2000
#Equilibration steps: 1000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 17.2064153750527
#The coupling constant increment - dlambda: 0.0
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.3780392491572111, 7.004568750000002, 0.37816065866852044, 0.15905506977525105
0.0012, 0.4123192485429516, 7.004075, 0.41253890036565866, 0.1544610118006338
0.0013, 0.44642154789867716, 7.002728124999995, 0.4469171420627969, 0.14764629170473287
0.0014, 0.4808974849240143, 7.003387499999998, 0.48129538375993514, 0.13596216644990464
0.0015, 0.5151438527639972, 7.002918750000001, 0.5156736254570734, 0.11571068561140525
0.0016, 0.5496125757147087, 7.003453125, 0.5500518671542116, 0.09382831900996927
0.0017, 0.5838289182106624, 7.0029156249999955, 0.5844301088513498, 0.0752846801821459
0.0018, 0.6178689568096634, 7.001771874999998, 0.618808350548488, 0.06580265157270805
0.0019, 0.6519610057740101, 7.000934375, 0.6531865922456264, 0.0455953725681789
0.002, 0.6852533273177683, 6.997459375, 0.6875648339427646, 0.03129662017950386
0.0021, 0.7180189967144132, 6.9926031250000005, 0.7219430756399027, 0.016545686508492745
0.0022, 0.7525149826821907, 6.993546875, 0.7563213173370409, 0.0029461165980698605
0.0023, 0.7905917077875, 7.005, 0.790699559034179, 2.5095003232311255E-16
0.0024, 0.8249652602999998, 7.005, 0.8250778007313172, 2.5453551720307977E-16
0.0025, 0.8593388128124998, 7.005, 0.8594560424284553, 2.580227384461465E-16
0.0026, 0.8937123653249998, 7.005, 0.8938342841255935, 0.0
0.0027, 0.9280859178374997, 7.005, 0.9282125258227316, 2.6472760586313793E-16
0.0028, 0.9624594703499997, 7.005, 0.9625907675198698, 2.3966740922127653E-16
0.0029, 0.9968330228624995, 7.005, 0.996969009217008, 2.7110902590561667E-16
0.003, 1.0312065753749995, 7.005, 1.0313472509141461, 2.7419007405376116E-16
0.0031, 1.0655801278874995, 7.005, 1.0657254926112842, 2.7720339307078527E-16
0.0032, 1.0999536803999994, 7.005, 1.1001037343084226, 0.0
0.0033, 1.1343272329124994, 7.005, 1.1344819760055607, 2.531595319545539E-16
0.0034, 1.1687007854249993, 7.005, 1.1688602177026988, 0.0
0.0035, 1.2030743379374993, 7.005, 1.2032384593998369, 0.0
0.0036, 1.2374478904499993, 7.005, 1.2376167010969752, 2.9137043177804403E-16
0.0037, 1.271821442962499, 7.005, 1.2719949427941133, 2.9404370433035517E-16
0.0038, 1.306194995474999, 7.005, 1.3063731844912514, 0.0
0.0039, 1.340568547987499, 7.005, 1.3407514261883895, 2.992490954282725E-16
