#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 31.97556621807948
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 15.385170996874182
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 341.0441408137727, 7.024054027777775, 0.3781606895572335, 0.8415558019735607
0.0012, 372.03089507538755, 7.025896666666666, 0.4125389340624365, 0.8287729527089501
0.0013, 403.00518936976255, 7.029912152777783, 0.44691717856763963, 0.8233004457502098
0.0014, 433.9499101529396, 7.036494409722225, 0.4812954230728427, 0.8364555722973114
0.0015, 464.9414215003258, 7.039698159722218, 0.5156736675780457, 0.8116430210788221
0.0016, 495.8616944887417, 7.045871631944442, 0.5500519120832488, 0.6988348190069843
0.0017, 526.7780815313813, 7.0526061805555535, 0.5844301565884519, 0.66817966319645
0.0018, 557.7223230441355, 7.058418124999994, 0.6188084010936549, 0.4648403453165222
0.0019, 588.661680189334, 7.058746562500002, 0.653186645598858, 0.21128143010444292
0.002, 619.4957837371475, 7.066417743055563, 0.687564890104061, 0.18794508937211124
0.0021, 650.3939469123852, 7.0703332291666605, 0.721943134609264, 0.14908705286086446
0.0022, 681.2733780341955, 7.077793159722219, 0.756321379114467, 0.12326709037871196
0.0023, 712.0028394298247, 7.090106041666668, 0.79069962361967, 0.10696109957638142
0.0024, 742.5156651292483, 7.10806638888889, 0.8250778681248729, 0.09274388837285383
0.0025, 772.7956025218442, 7.135507465277777, 0.8594561126300759, 0.08225731104993632
0.0026, 802.3973042285687, 7.176985833333336, 0.8938343571352789, 0.07324791623665917
0.0027, 830.6707637463483, 7.239882951388892, 0.9282126016404819, 0.06644649097847055
0.0028, 855.5819459690174, 7.328258229166668, 0.9625908461456849, 0.06266742876877628
0.0029, 871.9808677381193, 7.41400375, 0.9969690906508879, 0.06237587546868068
0.003, 877.952910267562, 7.433054756944446, 1.031347335156091, 0.07063521402526148
0.0031, 881.2034569784593, 7.435960104166675, 1.0657255796612939, 0.11104836919218078
0.0032, 884.2706616460454, 7.4248260416666625, 1.1001038241664969, 0.1490164057269549
0.0033, 884.3752867870285, 7.360502673611108, 1.1344820686716999, 0.14749119515013334
0.0034, 886.6059751213421, 7.32565767361111, 1.1688603131769029, 0.17824017410629098
0.0035, 885.4102535395004, 7.241268298611109, 1.2032385576821059, 0.15782033857075886
0.0036, 885.2086146649635, 7.174833958333343, 1.2376168021873089, 0.15686509846467125
0.0037, 884.6787233433141, 7.1060718750000005, 1.2719950466925118, 0.1522978199044642
0.0038, 885.4338307792093, 7.0537301736111155, 1.3063732911977146, 0.16006136910683239
0.0039, 884.786553492828, 6.984318090277782, 1.3407515357029176, 0.15081128929319426
