#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#Reservoir swelling ratio: 7.0053187131881725
#Mean swelling ratio: 4.977537534722223
#Dry volume fraction: 0.006000000000000003
#Reservoir volume fraction: 2.0626946703121836
#Actual volume fraction: 0.7401580361284135
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 1.535880680251873E-5
#The coupling constant increment - dlambda: 0.0
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.007703809552083332, 7.003463229166665, 0.3781606895572335, 0.5221576985843543
0.0012, 0.008403737291666668, 7.003114409722222, 0.4125389340624365, 0.43884549554375024
0.0013, 0.00910330552083334, 7.002542708333338, 0.44691717856763963, 0.42451215449062335
0.0014, 0.009803865944444446, 7.002761388888889, 0.4812954230728427, 0.16228712245061547
0.0015, 0.010503475156249997, 7.002316770833331, 0.5156736675780457, 0.12511249059327736
0.0016, 0.011202835777777783, 7.001772361111113, 0.5500519120832488, 0.0973396951187833
0.0017, 0.01190175961805556, 7.001035069444446, 0.5844301565884519, 0.07538473779337726
0.0018, 0.012599835437500009, 6.999908576388892, 0.6188084010936549, 0.05678383728630258
0.0019, 0.01329534961805556, 6.997552430555556, 0.653186645598858, 0.04002060140092723
0.002, 0.013985751041666678, 6.992875520833337, 0.687564890104061, 0.024373752705178543
0.0021, 0.014654549729166669, 6.978357013888889, 0.721943134609264, 0.011296319607088351
0.0022, 0.015235723861111118, 6.925329027777781, 0.756321379114467, 0.004279545124340269
0.0023, 0.01573077357291667, 6.839466770833335, 0.79069962361967, 0.0021721187397444903
0.0024, 0.016195360166666662, 6.74806673611111, 0.8250778681248729, 0.0015538187237537145
0.0025, 0.016647480468749993, 6.658992187499998, 0.8594561126300759, 0.0014478444140445038
0.0026, 0.01708713653472222, 6.571975590277779, 0.8938343571352789, 0.0019076104499499297
0.0027, 0.01752195581249999, 6.489613263888887, 0.9282126016404819, 0.0021059405847297405
0.0028, 0.017953475166666663, 6.411955416666667, 0.9625908461456849, 0.0022509215376909433
0.0029, 0.018383397652777772, 6.33910263888889, 0.9969690906508879, 0.0015943478055585618
0.003, 0.018783458645833338, 6.261152881944448, 1.031347335156091, 0.004108767784074715
0.0031, 0.019223774249999992, 6.2012175, 1.0657255796612939, 0.0012037720232948143
0.0032, 0.01963537966666665, 6.136056145833331, 1.1001038241664969, 0.0011417979639759366
0.0033, 0.02003934109374999, 6.072527604166667, 1.1344820686716999, 0.0016397095509637053
0.0034, 0.020439272361111087, 6.01155069444444, 1.1688603131769029, 0.0020757278617125176
0.0035, 0.020821800295138873, 5.94908579861111, 1.2032385576821059, 0.003972901822981949
0.0036, 0.021233128249999993, 5.898091180555557, 1.2376168021873089, 0.002371792560845443
0.0037, 0.02162614670138887, 5.8449045138888875, 1.2719950466925118, 0.002086697598616172
0.0038, 0.022001335791666646, 5.7898252083333315, 1.3063732911977146, 0.0037336930906086705
0.0039, 0.022398401864583306, 5.743179965277775, 1.3407515357029176, 0.002356394118269791
0.004, 0.02278496444444443, 5.696241111111111, 1.3751297802081208, 0.0017234741506839699
0.0041, 0.023160265354166647, 5.648845208333332, 1.409508024713324, 0.002144214042494567
0.0042, 0.02353582262499999, 5.603767291666667, 1.443886269218527, 0.0021248872696706168
0.0043, 0.023919224493055544, 5.562610347222222, 1.4782645137237302, 9.371413783899238E-4
0.0044, 0.024284165277777776, 5.519128472222223, 1.5126427582289335, 0.0014929170358498442
0.0045, 0.0246374175, 5.474981666666668, 1.5470210027341365, 0.0033419057894278808
0.0046, 0.025016055895833327, 5.438273020833333, 1.5813992472393397, 0.00151934125536915
0.0047, 0.02537526442361111, 5.398992430555556, 1.6157774917445427, 0.001774964921805681
0.0048, 0.025736442499999995, 5.361758854166666, 1.6501557362497459, 0.0015712894642092906
0.0049, 0.026080226180555555, 5.322495138888889, 1.684533980754949, 0.0027764984993382006
0.005, 0.02644292309027778, 5.288584618055555, 1.718912225260152, 0.002011863221387321
0.0051, 0.026792319989583348, 5.253396076388891, 1.7532904697653553, 0.002165462480172095
0.0052, 0.02714895065277778, 5.220952048611111, 1.7876687142705585, 0.0014853520516272265
0.0053, 0.027480596982638914, 5.185018298611115, 1.8220469587757615, 0.0032737077217144454
0.0054, 0.02784281793750001, 5.156077395833334, 1.8564252032809647, 0.0015706145128344645
0.0055, 0.02818456762152778, 5.124466840277777, 1.890803447786168, 0.001551688631465389
0.0056, 0.028522618638888903, 5.093324756944446, 1.925181692291371, 0.0018724263267919858
0.0057, 0.02886458229166667, 5.063961805555555, 1.9595599367965741, 0.0015525822379914111
0.0058, 0.029205422104166677, 5.035417604166667, 1.9939381813017771, 0.0010542576025163943
