#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#Dry volume fraction: 0.006000000000000003
#Actual volume fraction: 0.0
#MC steps: 20000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 14.405430400381126
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.37801630838294115, 7.023179375000003, 0.3781606895572335, 0.3612628245705401
0.0012, 0.4123247929789986, 7.0253081250000005, 0.4125389340624365, 0.4454015832068834
0.0013, 0.4467572686023184, 7.024446875000002, 0.44691717856763963, 0.3412021293782193
0.0014, 0.48112950865670173, 7.0342425, 0.4812954230728427, 0.4055722633514026
0.0015, 0.5153546777980532, 7.0373009374999995, 0.5156736675780457, 0.32148132818137254
0.0016, 0.5496693364793349, 7.0398987500000025, 0.5500519120832488, 0.38106264428879344
0.0017, 0.5841783352271962, 7.0520359374999995, 0.5844301565884519, 0.264082679184345
0.0018, 0.6181387352671662, 7.050050312499998, 0.6188084010936549, 0.22611756813602182
0.0019, 0.6527539400726661, 7.056715312500001, 0.653186645598858, 0.19134028098512446
0.002, 0.6870279147767103, 7.064468437500002, 0.687564890104061, 0.1736166113571807
0.0021, 0.7213055686521019, 7.064104374999999, 0.721943134609264, 0.13382434215885403
0.0022, 0.7552877352710311, 7.077968124999997, 0.756321379114467, 0.1261831822967788
0.0023, 0.7890763980288764, 7.087572500000004, 0.79069962361967, 0.10827009959035706
0.0024, 0.8235117345674129, 7.103783125000002, 0.8250778681248729, 0.08783760378144975
0.0025, 0.8564809261985817, 7.128660625000006, 0.8594561126300759, 0.07843707339342246
0.0026, 0.8895227241500602, 7.1698656249999955, 0.8938343571352789, 0.06818732424825624
0.0027, 0.9212356165955461, 7.235430000000005, 0.9282126016404819, 0.06212011455510817
0.0028, 0.9486555344298568, 7.327928437500001, 0.9625908461456849, 0.06196378194965955
0.0029, 0.9668644022164041, 7.421860937499994, 0.9969690906508879, 0.06718473864945107
0.003, 0.9728532043246481, 7.431358437499998, 1.031347335156091, 0.06381581751066683
0.0031, 0.9750383235658319, 7.398009062499997, 1.0657255796612939, 0.07421771821213423
0.0032, 0.9755850827757006, 7.339360625, 1.1001038241664969, 0.06489753555640976
0.0033, 0.9764010830388407, 7.2886015625, 1.1344820686716999, 0.0856428888945848
0.0034, 0.9763261885759121, 7.211236562500001, 1.1688603131769029, 0.06786413034960756
0.0035, 0.9764731617451554, 7.152138750000001, 1.2032385576821059, 0.0731565986990498
0.0036, 0.9763652495888718, 7.079804062500002, 1.2376168021873089, 0.06445993856851452
0.0037, 0.9769576624180207, 7.030495625000003, 1.2719950466925118, 0.08077765227488545
0.0038, 0.9766901831937987, 6.970092812499998, 1.3063732911977146, 0.0832523773117646
0.0039, 0.9768775961452515, 6.9243428125000035, 1.3407515357029176, 0.08837972332416497
0.004, 0.9765114153512319, 6.845981562500002, 1.3751297802081208, 0.06637148398224454
0.0041, 0.9768108742648691, 6.792481249999998, 1.409508024713324, 0.08169259776516688
0.0042, 0.9770266812351839, 6.752153749999998, 1.443886269218527, 0.09061076737875268
0.0043, 0.9770432138208757, 6.700268125000001, 1.4782645137237302, 0.0894416456859055
0.0044, 0.9772703412534931, 6.640563749999999, 1.5126427582289335, 0.08412829175802083
0.0045, 0.9772852566508996, 6.607923437500001, 1.5470210027341365, 0.09399577134095445
0.0046, 0.9782770166481143, 6.571582812500002, 1.5813992472393397, 0.10994692555940942
0.0047, 0.9776222288560186, 6.515434062499997, 1.6157774917445427, 0.09976760036242055
0.0048, 0.9775866140006642, 6.472656250000004, 1.6501557362497459, 0.09541344912067634
0.0049, 0.9778611538256508, 6.435009999999997, 1.684533980754949, 0.10447831971827753
0.005, 0.9773814235870906, 6.371640624999995, 1.718912225260152, 0.09039899007255531
0.0051, 0.9778124251530679, 6.352460624999996, 1.7532904697653553, 0.10618141840208908
0.0052, 0.9780796569091429, 6.316360000000007, 1.7876687142705585, 0.10989042973982084
0.0053, 0.9780559305179327, 6.272574375, 1.8220469587757615, 0.10896806834293406
0.0054, 0.9781059284716471, 6.236744062499995, 1.8564252032809647, 0.10911376701650227
0.0055, 0.977857518299482, 6.198334375000002, 1.890803447786168, 0.110677262980853
0.0056, 0.9782658168709867, 6.157466562500004, 1.925181692291371, 0.10824512180908485
0.0057, 0.9787084945645708, 6.136468125000002, 1.9595599367965741, 0.12536327593833235
0.0058, 0.9787853815469387, 6.099778437499998, 1.9939381813017771, 0.11994541969048442
