#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#Dry volume fraction: 0.006000000000000003
#Actual volume fraction: 0.0
#MC steps: 5000
#Equilibration steps: 1000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.0
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.378159716557148, 7.005, 0.37816065866852044, 0.2025871821099234
0.0012, 0.41253780033796994, 7.005, 0.41253890036565866, 0.1811966450182125
0.0013, 0.4469157203679974, 7.005, 0.4469171420627969, 0.1636341150184541
0.0014, 0.4812937011935925, 7.005, 0.48129538375993514, 0.14262875708342468
0.0015, 0.5156706988039281, 7.005, 0.5156736254570734, 0.1213921374276705
0.0016, 0.5500488837663708, 7.005, 0.5500518671542116, 0.10195973555983026
0.0017, 0.5844254475446586, 7.005, 0.5844301088513498, 0.0802752743991544
0.0018, 0.6188026219098085, 7.005, 0.618808350548488, 0.06076486525630509
0.0019, 0.653177421390582, 7.005, 0.6531865922456264, 0.043911615097998354
0.002, 0.6875503780162254, 7.005, 0.6875648339427646, 0.027716670777638813
0.0021, 0.7219104407126912, 7.005, 0.7219430756399027, 0.013675781675041123
0.0022, 0.7559011979302446, 7.005, 0.7563213173370409, 0.004901213009145559
0.0023, 0.7873068652066231, 7.005, 0.790699559034179, 0.004997207904712902
0.0024, 0.8157861986849868, 7.005, 0.8250778007313172, 0.0052497440406087375
0.0025, 0.8414987435802624, 7.005, 0.8594560424284553, 0.005486061470034314
0.0026, 0.8645927203741601, 7.005, 0.8938342841255935, 0.0058816121533710524
0.0027, 0.885199415180756, 7.005, 0.9282125258227316, 0.006292075137162598
0.0028, 0.9034503216590993, 7.005, 0.9625907675198698, 0.0064528069781408706
0.0029, 0.9194444021851093, 7.005, 0.996969009217008, 0.007057523843242269
0.003, 0.9332969922812072, 7.005, 1.0313472509141461, 0.007372964437257348
0.0031, 0.9450920225337068, 7.005, 1.0657254926112842, 0.008058598457026315
0.0032, 0.9549220421164764, 7.005, 1.1001037343084226, 0.008907384130909225
0.0033, 0.9628706042296956, 7.005, 1.1344819760055607, 0.010164596247262713
0.0034, 0.9690072630651876, 7.005, 1.1688602177026988, 0.012631308907480331
0.0035, 0.973414355485559, 7.005, 1.2032384593998369, 0.017391486839231966
0.0036, 0.9765790881058181, 7.005, 1.2376167010969752, 0.11227416166159307
0.0037, 0.9801023844249803, 7.005, 1.2719949427941133, 0.16795557658680357
0.0038, 0.9836023761359114, 7.005, 1.3063731844912514, 0.1744529416545298
0.0039, 0.983754961425582, 7.005, 1.3407514261883895, 0.17031628749914177
0.004, 0.9845979256513798, 7.005, 1.3751296678855278, 0.1852721249186946
0.0041, 0.9834660674657714, 7.005, 1.4095079095826661, 0.20405489527245596
0.0042, 0.9814358000656813, 7.005, 1.4438861512798045, 0.22349219786917301
0.0043, 0.9881413076523025, 7.005, 1.4782643929769428, 0.30993067041588074
0.0044, 0.9776393422134799, 7.005, 1.512642634674081, 0.2946509894637022
0.0045, 0.9761598096998803, 7.005, 1.5470208763712194, 0.37059435692290416
0.0046, 0.9706813853854992, 7.005, 1.5813991180683578, 0.3855626435509873
0.0047, 0.9650158566623303, 7.005, 1.615777359765496, 0.337531211981484
0.0048, 0.9574913983510747, 7.005, 1.6501556014626344, 0.3282977611841637
0.0049, 0.951886246581379, 7.005, 1.6845338431597727, 0.40616343508811437
0.005, 0.9440162248529713, 7.005, 1.718912084856911, 0.4658141399053194
0.0051, 0.9360795334315946, 7.005, 1.7532903265540494, 0.4281252348831048
0.0052, 0.9476224108942501, 7.005, 1.7876685682511877, 0.5842117415341267
0.0053, 0.9324199669237793, 7.005, 1.822046809948326, 0.565454914454154
0.0054, 0.9008080068005979, 7.005, 1.8564250516454641, 0.46674890528246804
0.0055, 0.8838087113578892, 7.005, 1.8908032933426024, 0.4723609983078901
0.0056, 0.8698179590566859, 7.005, 1.9251815350397408, 0.4779445072382104
0.0057, 0.8815145094277055, 7.005, 1.959559776736879, 0.6016378982092995
0.0058, 0.8687867245311113, 7.005, 1.9939380184340174, 0.5658730385651525
