#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 20.705571088144623
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 0.001
#Maximum x-link fraction: 0.001
#x-link fraction increment: 0.0
#Dry volume fraction: 0.015099999999999981
#Actual volume fraction: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.0
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0121, 0.5212699488398645, 3.505, 0.52127007850534, 0.12204650986637913
0.0122, 0.5255779633679937, 3.505, 0.52557809568307, 0.11810204085110536
0.0123, 0.5298859716387152, 3.505, 0.5298861128608001, 0.1149528732946767
0.0124, 0.5341939900397283, 3.505, 0.5341941300385301, 0.11199665032203518
0.0125, 0.5385020020328506, 3.505, 0.5385021472162602, 0.1085689346451786
0.0126, 0.5428100205087621, 3.505, 0.5428101643939902, 0.10479949944755215
0.0127, 0.5471180331775487, 3.505, 0.5471181815717203, 0.10289074961283493
0.0128, 0.5514260404798087, 3.505, 0.5514261987494504, 0.0991458010161821
0.0129, 0.5557340458441922, 3.505, 0.5557342159271804, 0.09628800058921679
0.013, 0.5600420684228735, 3.505, 0.5600422331049105, 0.09316068162585239
0.0131, 0.5643500748651892, 3.505, 0.5643502502826405, 0.09006906993316348
0.0132, 0.5686580876359332, 3.505, 0.5686582674603706, 0.08717023879116753
0.0133, 0.5729660932301941, 3.505, 0.5729662846381006, 0.0848982673890725
0.0134, 0.5772741121343176, 3.505, 0.5772743018158307, 0.08225035958551521
0.0135, 0.5815821303980366, 3.505, 0.5815823189935607, 0.07929083736263894
0.0136, 0.5858901328186773, 3.505, 0.5858903361712908, 0.07657714164328105
0.0137, 0.590198141717386, 3.505, 0.5901983533490209, 0.07411280465993406
0.0138, 0.5945061449449385, 3.505, 0.5945063705267509, 0.07158544631875557
0.0139, 0.5988141582536726, 3.505, 0.598814387704481, 0.06907420442537059
0.014, 0.6031221688907252, 3.505, 0.603122404882211, 0.06676728989217741
0.0141, 0.6074301639276412, 3.505, 0.6074304220599411, 0.06424701294909634
0.0142, 0.6117381708136558, 3.505, 0.6117384392376711, 0.06180273734001044
0.0143, 0.6160461772840301, 3.505, 0.6160464564154012, 0.059516190140098305
0.0144, 0.620354184849598, 3.505, 0.6203544735931313, 0.057466059393041634
0.0145, 0.624662175788298, 3.505, 0.6246624907708613, 0.055081059921969946
0.0146, 0.6289702016138979, 3.505, 0.6289705079485914, 0.05286086400779694
0.0147, 0.6332781885733436, 3.505, 0.6332785251263214, 0.05054520361293247
0.0148, 0.6375861913944942, 3.505, 0.6375865423040515, 0.04835321008990067
0.0149, 0.641894195091011, 3.505, 0.6418945594817815, 0.04621920576668821
