#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 22.292104611834546
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#Dry volume fraction: 0.012099999999999979
#Actual volume fraction: 0.0
#MC steps: 20000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: NaN
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0061, 0.9782660798119552, 5.987917187499993, 2.0970729148173857, 0.11393987835200316
0.0062, 0.9786689014703468, 5.969168750000006, 2.1314511593225887, 0.12142509442661434
0.0063, 0.9783297045241375, 5.932353437500007, 2.165829403827792, 0.11936824181683812
0.0064, 0.97858970940732, 5.901869374999992, 2.200207648332995, 0.12171233431096222
0.0065, 0.9791271425234166, 5.8849887500000015, 2.234585892838198, 0.1313632631914247
0.0066, 0.9782245284230915, 5.833315312500007, 2.2689641373434015, 0.11190342131431891
0.0067, 0.9779160535915077, 5.807564062499998, 2.3033423818486045, 0.11276829189144584
0.0068, 0.9786706287761117, 5.786459062499998, 2.3377206263538075, 0.12085126813916608
0.0069, 0.9795205494808974, 5.766531875000001, 2.372098870859011, 0.13053193848770303
0.007, 0.978614092041743, 5.732150625000004, 2.406477115364214, 0.12170487900771107
0.0071, 0.9790049192411732, 5.7101140625, 2.440855359869417, 0.12674104508879908
0.0072, 0.9787371639832352, 5.673684687500002, 2.4752336043746204, 0.12066052164654421
0.0073, 0.9792706290350678, 5.657290624999999, 2.5096118488798234, 0.12905506454327043
0.0074, 0.9801234807944249, 5.639500937500003, 2.5439900933850264, 0.13891123474378103
0.0075, 0.9785774957124745, 5.60371875, 2.57836833789023, 0.12274374220322533
0.0076, 0.9790440549232536, 5.5875453125000005, 2.612746582395433, 0.1295173162648104
0.0077, 0.9798080693992047, 5.566935625, 2.6471248269006358, 0.13823125522790614
0.0078, -4.874934324218247, 6.150544587308182, 2.6815030714058388, 1.289995308262189
0.0079, -1.4129979605436793, 5.44176006252443, 2.7158813159110418, 1.3002868501185862
0.008, -3.9809662983394896, 5.95922136474411, 2.7502595604162448, 1.3085300637698913
0.0081, -2.664582454037693, 5.696288778245896, 2.7846378049214473, 1.3256498996588089
0.0082, -2.762134958974432, 4.895043495610525, 2.8190160494266503, 1.417887905783621
0.0083, -6.9523138380509275, 5.910279194630871, 2.8533942939318533, 1.3800254053076224
0.0084, -2.7358226968570607, 6.504167979942694, 2.887772538437056, 1.3561533875364138
0.0085, -4.503384733768689, 5.527878923766824, 2.922150782942259, 1.4626556210479789
0.0086, -2.02450184191621, 6.333950631458092, 2.956529027447462, 1.3597750970612454
0.0087, -3.071168727324137, 5.334479025169793, 2.9909072719526644, 1.4326560342168788
0.0088, -8.935610522019697, 6.619685914260723, 3.0252855164578674, 1.245897978507002
0.0089, -9.470075066084283, 6.908189787618615, 3.0596637609630704, 1.2854413221543943
0.009, -6.523765334011452, 6.086615015974444, 3.094042005468273, 1.2897392203964975
0.0091, -15.408979937174447, 6.856764306498543, 3.128420249973476, 1.2883398504772432
0.0092, -6.036304465814257, 6.0814083749519785, 3.1627984944786784, 1.3523672142615852
