#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#Dry volume fraction: 0.006000000000000003
#Actual volume fraction: 0.6588989933266661
#MC steps: 5000
#Equilibration steps: 1000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 47.26285189904452
#phi0,		  <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 7.005314062500003, 0.37816065866852044, 0.1778885309860291
0.0012, 7.004971093749999, 0.41253890036565866, 0.16607330391804961
0.0013, 7.004550000000004, 0.4469171420627969, 0.15555942008008689
0.0014, 7.004588281249998, 0.48129538375993514, 0.13757695604979792
0.0015, 7.004046093750004, 0.5156736254570734, 0.11515777958945987
0.0016, 7.003124218750001, 0.5500518671542116, 0.09821631128678322
0.0017, 7.003195312500002, 0.5844301088513498, 0.07839341884145803
0.0018, 7.002197656250007, 0.618808350548488, 0.06294621881299452
0.0019, 7.000986718750002, 0.6531865922456264, 0.04588127674332673
0.002, 6.998089843750002, 0.6875648339427646, 0.030010012313834274
0.0021, 6.992784375000001, 0.7219430756399027, 0.015971910850041727
0.0022, 6.9763367187500025, 0.7563213173370409, 0.005016371202582431
0.0023, 7.005, 0.790699559034179, 2.5095003232311255E-16
0.0024, 7.005, 0.8250778007313172, 2.5453551720307977E-16
0.0025, 7.005, 0.8594560424284553, 2.580227384461465E-16
0.0026, 7.005, 0.8938342841255935, 0.0
0.0027, 7.005, 0.9282125258227316, 2.6472760586313793E-16
0.0028, 7.005, 0.9625907675198698, 2.3966740922127653E-16
0.0029, 7.005, 0.996969009217008, 2.7110902590561667E-16
0.003, 7.005, 1.0313472509141461, 2.7419007405376116E-16
0.0031, 7.005, 1.0657254926112842, 2.7720339307078527E-16
0.0032, 7.005, 1.1001037343084226, 0.0
0.0033, 7.005, 1.1344819760055607, 2.531595319545539E-16
0.0034, 7.005, 1.1688602177026988, 0.0
0.0035, 7.005, 1.2032384593998369, 0.0
0.0036, 7.005, 1.2376167010969752, 2.9137043177804403E-16
0.0037, 7.005, 1.2719949427941133, 2.9404370433035517E-16
0.0038, 7.005, 1.3063731844912514, 0.0
0.0039, 7.005, 1.3407514261883895, 2.992490954282725E-16
0.004, 7.005, 1.3751296678855278, 0.0
0.0041, 7.005, 1.4095079095826661, 3.693953395140793E-15
0.0042, 7.005, 1.4438861512798045, 9.9658612444739E-16
0.0043, 7.005, 1.4782643929769428, 3.167831784626615E-16
0.0044, 7.005, 1.512642634674081, 2.7863811895938387E-16
0.0045, 7.005, 1.5470208763712194, 0.0
0.0046, 7.005, 1.5813991180683578, 3.239852490638791E-16
0.0047, 7.005, 1.615777359765496, 0.0
0.0048, 7.005, 1.6501556014626344, 3.286142351656034E-16
0.0049, 7.005, 1.6845338431597727, 1.6145320662261525E-16
0.005, 7.005, 1.718912084856911, 0.0
0.0051, 7.005, 1.7532903265540494, 1.636206223882379E-16
0.0052, 7.005, 1.7876685682511877, 3.3749997217655423E-16
0.0053, 7.005, 1.822046809948326, 2.9647057384025033E-16
0.0054, 7.005, 1.8564250516454641, 0.0
0.0055, 7.005, 1.8908032933426024, 0.0
0.0056, 7.005, 1.9251815350397408, 1.6880189739875846E-16
0.0057, 7.005, 1.959559776736879, 3.479879818590867E-16
0.0058, 7.005, 1.9939380184340174, 0.0
