#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 297.50000000000017
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#Minimum dry volume fraction: 0.001
#Maximum dry volume fraction: 10.0
#Reservoir swelling ratio: 5.493826472759246
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		   phi,      		zeta, 	 	 	  lindemannParameter
0.0022, 0.71371460158511, 0.7145033901312147, 0.14399467017703257
0.0023, 0.7084527674651907, 0.7091910304034021, 0.14305297912630735
0.0024, 0.7048445039415882, 0.7055219393023966, 0.136183293766435
0.0025, 0.7024727104329109, 0.7031430821559299, 0.13499827756459196
0.0026, 0.7011114715067467, 0.7017954981687544, 0.12730067484019678
0.0026, 0.6747684289104632, 0.6753061036244786, 0.14482002497382737
0.0027, 0.675858213359186, 0.6763905902336459, 0.14134973231450615
0.0028, 0.6774815103876966, 0.6779502201208131, 0.13201182681932472
0.0028, 0.6560447690377101, 0.6564578764246879, 0.14501399856354683
0.0029, 0.6589992438377432, 0.6594408220459378, 0.13974717697540387
0.003, 0.6621941630991685, 0.6626397295597852, 0.13786391699619685
0.003, 0.6441405775434672, 0.6445325438799812, 0.14326468735458955
0.0031, 0.6482643358920368, 0.6486186420142928, 0.1393081341034261
0.0031, 0.6320610973276423, 0.6323896372382115, 0.14806791199786493
0.0032, 0.6367658109434747, 0.6371166398789553, 0.1411532313563912
0.0033, 0.6414776135764265, 0.6418658415506884, 0.14184925722360125
0.0033, 0.627296905534921, 0.6276104881664293, 0.14749007610341347
0.0034, 0.6324985794486636, 0.63278531164212, 0.139936266433654
0.0034, 0.6194265267893982, 0.6197109687064253, 0.1473481479963934
0.0035, 0.6249109935237983, 0.6252006904097598, 0.1415142996732288
0.0036, 0.6303404495043793, 0.6306433683704746, 0.13818513819088551
0.0036, 0.6186152117457818, 0.6188476548017876, 0.14351451994136638
