Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 0.9
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.5047914374999998
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.6500189342938074
MC steps: 60000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.29343252417156496
The coupling constant increment - dlambda: 0.0
phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.01047661735955758, 0.0012100662804857942, 3.504981374999999, 0.43511006786498935, 0.20110197809204314, 0.3262696776356332
0.0102, -0.012109775603490571, 0.0012253587458961337, 3.5049922500000004, 0.4394180883389001, 0.13049961503525045, 0.4063558682044517
0.0103, -0.01041599309027035, 0.0012332136307658512, 3.5049834999999994, 0.4437261088128108, 0.21667904306368954, 0.3163843898355384
0.0104, -0.008873204046714309, 0.0012514992751839209, 3.5049405625000003, 0.4480341292867216, 0.3416749193623158, 0.2527642544234033
0.0105, -0.009813963054488568, 0.0012819281827484619, 3.5049530625000007, 0.45234214976063236, 0.27010386282858595, 0.28519514577604216
0.0106, -0.009767291717523045, 0.0012811516085764413, 3.505012375, 0.45665017023454313, 0.2805388833935347, 0.2807263529238574
0.0107, -0.008245088898091744, 0.0013063613052910782, 3.5049803125000007, 0.4609581907084539, 0.43329543031728973, 0.22659324832839706
0.0108, -0.008979104636430911, 0.0013132183714210368, 3.5049548125, 0.46526621118236466, 0.3635337160184473, 0.24814945806497676
0.0109, -0.00757226467095767, 0.0013034219625065442, 3.5049939999999995, 0.46957423165627543, 0.5389986819404645, 0.20442126660803386
0.011, -0.008618050929345223, 0.0013278451653949126, 3.504991375, 0.47388225213018614, 0.41724265550739376, 0.23304921182538182
0.0111, -0.008419081279942292, 0.0013467506627743318, 3.504940687499999, 0.4781902726040969, 0.44831255282314153, 0.22550783580553665
0.0112, -0.008263090462119921, 0.0013386623099113986, 3.5050113125, 0.4824982930780077, 0.4757856114098608, 0.21955573343533913
0.0113, -0.010705873455470201, 0.001370362094947512, 3.5049800625000005, 0.48680631355191845, 0.25993912409390696, 0.29792120511067616
0.0114, -0.0073218113305644665, 0.0013755814721726676, 3.5050059375000004, 0.4911143340258292, 0.6263502868075186, 0.19248818195014783
0.0115, -0.007122671644710811, 0.0014061698103419611, 3.5049401874999995, 0.49542235449974, 0.6689690014445547, 0.1867987834944312
0.0116, -0.007603270035823707, 0.001426428067588776, 3.504962624999999, 0.49973037497365075, 0.6027567361291989, 0.19736011397405168
0.0117, -0.006875784831201577, 0.0014299600873847167, 3.504965937499999, 0.5040383954475615, 0.7326832129377522, 0.1795208629138644
0.0118, -0.00671569642045114, 0.0014464657026621221, 3.5049021249999996, 0.5083464159214722, 0.7727800243952524, 0.17529807722589305
0.0119, -0.006037128155042842, 0.0014463209926411757, 3.5049577499999995, 0.512654436395383, 0.923317267416347, 0.16082415151994287
0.012, -0.006065300811213501, 0.001460022297513701, 3.5049456249999995, 0.5169624568692938, 0.9281674281554476, 0.16085146248572427
0.0121, -0.005491082521194744, 0.001477144806946457, 3.5049961874999993, 0.5212704773432045, 1.0769326437342261, 0.14974256907966357
0.0122, -0.005221215119698459, 0.0014846507344168074, 3.5049605625000004, 0.5255784978171153, 1.1600075493864064, 0.14467737804838465
