Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862138
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 0.7
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.016099999999999965
Reservoir volume fraction: 0.693591296299635
Actual volume fraction: 0.6925623038311228
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.7464268798381972
The coupling constant increment - dlambda: 0.0
phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.017259787628028208, 0.0, 3.505, 0.43511006786498935, 0.029016059698374348, 0.8589456152250355
0.0102, -0.015130288421918922, 0.0, 3.505, 0.4394180883389001, 0.055575763744283836, 0.622685039014971
0.0103, -0.016678734320248637, 0.0, 3.505, 0.4437261088128108, 0.03755084351905739, 0.7600001070692548
0.0104, -0.015143376714418845, 0.0, 3.505, 0.4480341292867216, 0.060095303504070746, 0.6027010394582696
0.0105, -0.01703230224725557, 0.0, 3.505, 0.45234214976063236, 0.03723041845727227, 0.768172168114723
0.0106, -0.01692044470719667, 0.0, 3.505, 0.45665017023454313, 0.04010311489733031, 0.7424900913555877
0.0107, -0.015636638375349548, 0.0, 3.505, 0.4609581907084539, 0.059152378131381245, 0.6132716869483503
0.0108, -0.01694611671159205, 0.0, 3.505, 0.46526621118236466, 0.04335453781850963, 0.7185688698556155
0.0109, -0.016726049553087437, 0.0, 3.505, 0.46957423165627543, 0.047890059249179454, 0.685799618660301
0.011, -0.017858145260558997, 0.0, 3.505, 0.47388225213018614, 0.037049403707840066, 0.78208035596945
0.0111, -0.016109986368303467, 0.0, 3.505, 0.4781902726040969, 0.06083743712235414, 0.6121623725621206
0.0112, -0.015998563582244572, 0.0, 3.505, 0.4824982930780077, 0.06497770563210939, 0.5941118961905323
0.0113, -0.017766796600865914, 0.0, 3.505, 0.48680631355191845, 0.04291491877513858, 0.7332179597401276
0.0114, -0.015803539092337265, 0.0, 3.505, 0.4911143340258292, 0.07334812100708486, 0.5624944147786612
0.0115, -0.014920530589886394, 0.0, 3.505, 0.49542235449974, 0.09473788591381554, 0.4963810530122035
0.0116, -0.016189410671805855, 0.0, 3.505, 0.49973037497365075, 0.07136814286982987, 0.5735591674521378
0.0117, -0.01158563799558898, 0.0, 3.505, 0.5040383954475615, 0.22959456165610675, 0.3206950446596857
0.0118, -0.009116710678003306, 0.0, 3.505, 0.5083464159214722, 0.42985736579880834, 0.23504061227135195
0.0119, -0.012052263534272155, 0.0, 3.505, 0.512654436395383, 0.21505431426665217, 0.33323657939078233
0.012, -0.009479926440430846, 0.0, 3.505, 0.5169624568692938, 0.40869116897717456, 0.24240442813123494
0.0121, -0.011646505274595967, 0.0, 3.505, 0.5212704773432045, 0.24850249730246143, 0.31172682188039347
0.0122, -0.006930236387771174, 0.0, 3.505, 0.5255784978171153, 0.7746221203337974, 0.17704598811704528
0.0123, -0.008086571430412325, 0.0, 3.505, 0.5298865182910261, 0.5985533846820252, 0.20195813529166462
0.0124, -0.006473956735559609, 0.0, 3.505, 0.5341945387649368, 0.8840442150189399, 0.166628005362696
0.0125, -0.0063944231160517825, 0.0, 3.505, 0.5385025592388476, 0.9111571716355963, 0.16457016929852397
0.0126, -0.006172423182578631, 0.0, 3.505, 0.5428105797127584, 0.9697478578384645, 0.15994543929272925
0.0127, -0.006848072968324087, 0.0, 3.505, 0.547118600186669, 0.8410306837871043, 0.1722026169556688
0.0128, -0.005545006425742997, 0.0, 3.505, 0.5514266206605798, 1.1414542406014738, 0.14820123773325114
0.0129, -0.0054005492171266085, 0.0, 3.505, 0.5557346411344906, 1.1901699873376135, 0.14551345975772284
0.013, -0.005085911755352921, 0.0, 3.505, 0.5600426616084013, 1.2878582300491113, 0.14024633335748937
0.0131, -0.004601554261296206, 0.0, 3.505, 0.5643506820823121, 1.4448501929190762, 0.13274661297925672
0.0132, -0.004409818917715745, 0.0, 3.505, 0.5686587025562229, 1.5179853563423866, 0.12983803870136035
0.0133, -0.004407703965402965, 0.0, 3.505, 0.5729667230301336, 1.5294693123657757, 0.12967549774549653
0.0134, -0.004197032599679912, 0.0, 3.505, 0.5772747435040444, 1.6115695394716194, 0.126645034958163
0.0135, -0.0037068698662433962, 0.0, 3.505, 0.5815827639779552, 1.801103133517255, 0.12009356185270295
0.0136, -0.0032174614538711946, 0.0, 3.505, 0.5858907844518659, 2.009315008450446, 0.11398124135564404
0.0137, -0.0033939667745635145, 0.0, 3.505, 0.5901988049257767, 1.9454158795320893, 0.11612125510422414
0.0138, -0.002931065779254029, 0.0, 3.505, 0.5945068253996875, 2.1536995574013362, 0.11063135455923782
0.0139, -0.002567084259387334, 0.0, 3.505, 0.5988148458735982, 2.3324511262715824, 0.10656381282324716
0.014, -0.0021747055158634087, 0.0, 3.505, 0.603122866347509, 2.537956362074469, 0.10240276826317424
0.0141, -0.002042621352834986, 0.0, 3.505, 0.6074308868214197, 2.6153165304438426, 0.10111649376612067
0.0142, -0.0017095272475733847, 0.0, 3.505, 0.6117389072953304, 2.8060905586501477, 0.09784899453313436
