#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 20.267689261862138
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.
#Young's calibration factor: 0.8
#x-link fraction: 0.001
#Reservoir swelling ratio: 3.505574917793274
#Mean swelling ratio: 3.505
#Dry volume fraction: 0.016099999999999965
#Reservoir volume fraction: 0.693591296299635
#Actual volume fraction: 0.6926872550067
#MC steps: 20000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.729460357628455
#The coupling constant increment - dlambda: 0.0
#phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.016744313862569297, 0.0, 3.505, 0.43511006786498935, 0.033614891176269805, 0.7980296552091143
0.0102, -0.01625158029202414, 0.0, 3.505, 0.4394180883389001, 0.0404821206641567, 0.7295910932666182
0.0103, -0.01604516253900249, 0.0, 3.505, 0.4437261088128108, 0.0448359527980656, 0.6955210851159627
0.0104, -0.015167450936273964, 0.0, 3.505, 0.4480341292867216, 0.0596956377615137, 0.6047152329309867
0.0105, -0.017517051422897927, 0.0, 3.505, 0.45234214976063236, 0.03259131809524056, 0.8210253456501971
0.0106, -0.01613587103691948, 0.0, 3.505, 0.45665017023454313, 0.04964085843085322, 0.6673598486914846
0.0107, -0.017733362299730434, 0.0, 3.505, 0.4609581907084539, 0.03362446144877876, 0.8134134534669727
0.0108, -0.016309242462162796, 0.0, 3.505, 0.46526621118236466, 0.051387673131257645, 0.6600186424169734
0.0109, -0.016946416515784078, 0.0, 3.505, 0.46957423165627543, 0.04517888445305874, 0.706077178824976
0.011, -0.014862863091475595, 0.0, 3.505, 0.47388225213018614, 0.08122164927290458, 0.5282093528829104
0.0111, -0.016288866510490004, 0.0, 3.505, 0.4781902726040969, 0.058075922479284406, 0.6265475387691206
0.0112, -0.01751635992270316, 0.0, 3.505, 0.4824982930780077, 0.043965281301101854, 0.7222632314090146
0.0113, -0.01746711693607128, 0.0, 3.505, 0.48680631355191845, 0.04632432633041468, 0.7057204225450415
0.0114, -0.016463966288619826, 0.0, 3.505, 0.4911143340258292, 0.06206740778218325, 0.6114780995047997
0.0115, -0.013743729907738759, 0.0, 3.505, 0.49542235449974, 0.12724224564267742, 0.42831312019001566
0.0116, -0.01758057491259802, 0.0, 3.505, 0.49973037497365075, 0.050508734447914636, 0.6817845887633791
0.0117, -0.010910845745009822, 0.0, 3.505, 0.5040383954475615, 0.2711217871786464, 0.29511469706460025
0.0118, -0.016313016380936792, 0.0, 3.505, 0.5083464159214722, 0.07410450103490486, 0.5660865059614489
0.0119, -0.007658306821740102, 0.0, 3.505, 0.512654436395383, 0.6234478287514706, 0.1957161613597784
0.012, -0.012792817626953007, 0.0, 3.505, 0.5169624568692938, 0.184407099309693, 0.3608688183868641
0.0121, -0.014790151348500808, 0.0, 3.505, 0.5212704773432045, 0.1175114192958447, 0.4533143996421264
0.0122, -0.007082681006210078, 0.0, 3.505, 0.5255784978171153, 0.7472171248783914, 0.18026342943665824
0.0123, -0.0073918886391449974, 0.0, 3.505, 0.5298865182910261, 0.7043817484814248, 0.18616959351138973
0.0124, -0.0069485803609739055, 0.0, 3.505, 0.5341945387649368, 0.7916917232487026, 0.1760787459859581
0.0125, -0.006458809892605597, 0.0, 3.505, 0.5385025592388476, 0.8977281195667229, 0.16579649700328936
0.0126, -0.005856547076110592, 0.0, 3.505, 0.5428105797127584, 1.0424215920978583, 0.15426932392674053
0.0127, -0.005673273406608367, 0.0, 3.505, 0.547118600186669, 1.0980384750799699, 0.15070820196107074
0.0128, -0.00610283251971896, 0.0, 3.505, 0.5514266206605798, 1.0067009085504528, 0.1578086677370994
0.0129, -0.005214823781888943, 0.0, 3.505, 0.5557346411344906, 1.240603530505727, 0.14252503539956846
0.013, -0.00473975774793545, 0.0, 3.505, 0.5600426616084013, 1.390601559579826, 0.13496594147471971
