Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 0.3
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.6489032280525755
MC steps: 100000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.6341426895518572
The coupling constant increment - dlambda: 0.0
phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.02231039188377826, 0.0, 3.505, 0.43511006786498935, 0.006864566180200001, 1.7659497309412895
0.0102, -0.02287247065056133, 0.0, 3.505, 0.4394180883389001, 0.00623226276601392, 1.8594661342900136
0.0103, -0.02186634800055297, 0.0, 3.505, 0.4437261088128108, 0.008792199756131028, 1.570633038884091
0.0104, -0.02318663709855846, 0.0, 3.505, 0.4480341292867216, 0.006465950575091224, 1.8374097501678335
0.0105, -0.023465974948538727, 0.0, 3.505, 0.45234214976063236, 0.006365313100314381, 1.8577943657450944
0.0106, -0.02280145529758087, 0.0, 3.505, 0.45665017023454313, 0.008102295399617309, 1.6518692893447808
0.0107, -0.02285574542827127, 0.0, 3.505, 0.4609581907084539, 0.008459332352643206, 1.621701714000215
0.0108, -0.023692327036659695, 0.0, 3.505, 0.46526621118236466, 0.007162024382501869, 1.76794105619304
0.0109, -0.02325034632906849, 0.0, 3.505, 0.46957423165627543, 0.00852920221524797, 1.6250462317286367
0.011, -0.02379527597270268, 0.0, 3.505, 0.47388225213018614, 0.00781774133070242, 1.7025557453461864
0.0111, -0.024583772587235143, 0.0, 3.505, 0.4781902726040969, 0.00673696921685921, 1.839584769576506
0.0112, -0.024366044610686564, 0.0, 3.505, 0.4824982930780077, 0.007541775113450988, 1.7438681493789179
0.0113, -0.024503178622055737, 0.0, 3.505, 0.48680631355191845, 0.0076966209692161695, 1.7313592510149731
0.0114, -0.023808766219321747, 0.0, 3.505, 0.4911143340258292, 0.009689202561281083, 1.5476355362401544
0.0115, -0.023810811490256902, 0.0, 3.505, 0.49542235449974, 0.010202798189573025, 1.5125766520160278
0.0116, -0.024664175059278398, 0.0, 3.505, 0.49973037497365075, 0.008687338040362189, 1.6439441649327178
0.0117, -0.02397620950933639, 0.0, 3.505, 0.5040383954475615, 0.01084350062624124, 1.4756667551140354
0.0118, -0.023863112952546835, 0.0, 3.505, 0.5083464159214722, 0.01171736511320218, 1.4236070002434245
0.0119, -0.023593913772807264, 0.0, 3.505, 0.512654436395383, 0.013132466434682718, 1.348508219347466
0.012, -0.02508277416766944, 0.0, 3.505, 0.5169624568692938, 0.009630016145233905, 1.5791546671995584
0.0121, -0.024216635629104286, 0.0, 3.505, 0.5212704773432045, 0.012439096352066494, 1.3933015962663808
0.0122, -0.023196176951795246, 0.0, 3.505, 0.5255784978171153, 0.01659446384168291, 1.2096212976730951
0.0123, -0.022050297940022365, 0.0, 3.505, 0.5298865182910261, 0.022691697839179133, 1.0372401079003206
0.0124, -0.021890568275919915, 0.0, 3.505, 0.5341945387649368, 0.024548036464982523, 0.9999461416870787
0.0125, -0.020769650863592847, 0.0, 3.505, 0.5385025592388476, 0.0331043048030378, 0.8633870468995338
0.0126, -0.02080531635203056, 0.0, 3.505, 0.5428105797127584, 0.03410164628836894, 0.852930417781687
0.0127, -0.02053632266388335, 0.0, 3.505, 0.547118600186669, 0.037626547354914504, 0.814138856791452
0.0128, -0.020857447748157915, 0.0, 3.505, 0.5514266206605798, 0.036293504875943995, 0.8311255409075953
0.0129, -0.022095511694016086, 0.0, 3.505, 0.5557346411344906, 0.02853776651820704, 0.9397182769227916
0.013, -0.006410454587059078, 0.0, 3.505, 0.5600426616084013, 0.9600956299509578, 0.16243076814610732
0.0131, -0.020836781167519188, 0.0, 3.505, 0.5643506820823121, 0.04057926015173674, 0.7921050766472222
0.0132, -0.015430237106982495, 0.0, 3.505, 0.5686587025562229, 0.13679819419966954, 0.4325094045675494
0.0133, -0.005498905087649016, 0.0, 3.505, 0.5729667230301336, 1.2073364511593683, 0.1459533780556156
0.0134, -0.0052787645650740995, 0.0, 3.505, 0.5772747435040444, 1.2769907936881126, 0.14227179474587268
