DryVolFrac,  	Lindemann,   		Calibration
0.0161,      0.15012645782979533,      0.05
0.0145,      0.15233049829817139,      0.10
0.014,       0.1536715182169824,       0.15
0.0137,      0.15090823397745998,      0.20
0.0135,      0.15064885114988044,      0.25
0.0132,      0.15183761670001156,      0.30
0.0132,      0.1526969069869732,       0.35
0.0131,      0.15134351345511976,      0.40
0.013,       0.1508714548988815,       0.45
0.0131,      0.15491489057970875,      0.50
0.0127,      0.1514321189131889,       0.55
0.0129,      0.15246422403518328,      0.60
0.0126,      0.15488582203491463,      0.65
0.0126,      0.15994543929272925,      0.70
0.0127,      0.15002141459585427,      0.75
0.0127,      0.15070820196107074,      0.80
0.0125,      0.15707717312140962,      0.85
0.0123,      0.1591602635531339,       1.00
0.0125,      0.15115827530746945,      1.10
0.0125,      0.15271049527315636,      1.20
0.0125,      0.15037105939119305,      1.30
0.0124,      0.15149488601498357,      1.40
0.0124,      0.15401426472372906,      1.50
0.0125,      0.15060235969238062,      1.60
0.0123,      0.15406886382011722,      1.70
0.0126,      0.1528798667810694,       1.80
0.0124,      0.1527513362991486,       2.00
0.0122,      0.15027824483916163,      2.10
0.0122,      0.1570483430265144,       2.20
0.0126,      0.1518927924292176,       2.30
0.0123,      0.15228564987908275,      2.40
0.0122,      0.15272397964648335,      2.50
0.0124,      0.15350918060304442,      2.60
0.0122,      0.15236230000176373,      2.70
0.0121,      0.15818604341001571,      2.90


