Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 0.9
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.6499572398661333
MC steps: 60000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.5260531622182285
The coupling constant increment - dlambda: 0.0
phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.019108040879298748, 0.0, 3.505, 0.43511006786498935, 0.017121679722587994, 1.1181799498404554
0.0102, -0.01973857072408982, 0.0, 3.505, 0.4394180883389001, 0.015110754738223696, 1.1941752687870306
0.0103, -0.0199736716690168, 0.0, 3.505, 0.4437261088128108, 0.014932776774017135, 1.2051836064965544
0.0104, -0.018801225694576196, 0.0, 3.505, 0.4480341292867216, 0.021803521931553587, 1.00059627415422
0.0105, -0.020195674901951448, 0.0, 3.505, 0.45234214976063236, 0.015621878249988945, 1.1858804307475181
0.0106, -0.01934242133938078, 0.0, 3.505, 0.45665017023454313, 0.02075550596479175, 1.0320792655437137
0.0107, -0.019261093388328956, 0.0, 3.505, 0.4609581907084539, 0.022279768480508704, 0.9992719182041883
0.0108, -0.01929341159731678, 0.0, 3.505, 0.46526621118236466, 0.023170946254393476, 0.9829100916694731
0.0109, -0.020504664631506703, 0.0, 3.505, 0.46957423165627543, 0.017630271203930407, 1.1302914175090246
0.011, -0.020691841371511144, 0.0, 3.505, 0.47388225213018614, 0.01763114903992858, 1.1337092251128769
0.0111, -0.02054588469888953, 0.0, 3.505, 0.4781902726040969, 0.01922530148490535, 1.0889689761951185
0.0112, -0.019155645095385705, 0.0, 3.505, 0.4824982930780077, 0.028832061747711534, 0.8918926500935982
0.0113, -0.018653736212030213, 0.0, 3.505, 0.48680631355191845, 0.0342252244727272, 0.8210395711138654
0.0114, -0.020135317996172426, 0.0, 3.505, 0.4911143340258292, 0.024529626575602925, 0.9726738552512801
0.0115, -0.01927819311681898, 0.0, 3.505, 0.49542235449974, 0.031779306988859835, 0.8570473757167131
0.0116, -0.01943508047079125, 0.0, 3.505, 0.49973037497365075, 0.03185837569093975, 0.8584571236906229
0.0117, -0.017779906717303427, 0.0, 3.505, 0.5040383954475615, 0.04990848372247525, 0.6878375167646754
0.0118, -0.018998036834063328, 0.0, 3.505, 0.5083464159214722, 0.038457577131562656, 0.7858038212241555
0.0119, -0.013532343600383561, 0.0, 3.505, 0.512654436395383, 0.1502592231139735, 0.39866322720274006
0.012, -0.01650586803303163, 0.0, 3.505, 0.5169624568692938, 0.07558112978206498, 0.5636785207310187
0.0121, -0.015041810146090807, 0.0, 3.505, 0.5212704773432045, 0.11067326617073524, 0.4671089483643522
0.0122, -0.006902416417867346, 0.0, 3.505, 0.5255784978171153, 0.7797307039606667, 0.176465056431904
0.0123, -0.013409253922310403, 0.0, 3.505, 0.5298865182910261, 0.17193222681472367, 0.3768201807886138
0.0124, -0.010925393729331025, 0.0, 3.505, 0.5341945387649368, 0.3140928327200806, 0.2795477336491627
0.0125, -0.01319177166829664, 0.0, 3.505, 0.5385025592388476, 0.19003113619468234, 0.3603590076674745
0.0126, -0.006593933218986326, 0.0, 3.505, 0.5428105797127584, 0.8806001730176786, 0.1678463464488061
0.0127, -0.012013329043329768, 0.0, 3.505, 0.547118600186669, 0.2604038377407722, 0.3094724387015314
0.0128, -0.005336178408528003, 0.0, 3.505, 0.5514266206605798, 1.1964178372861047, 0.1447570233399801
0.0129, -0.004813070197410358, 0.0, 3.505, 0.5557346411344906, 1.3571311665005963, 0.136268900514159
0.013, -0.004619994645433672, 0.0, 3.505, 0.5600426616084013, 1.4280253171821258, 0.13318569799025867
0.0131, -0.004597916843905772, 0.0, 3.505, 0.5643506820823121, 1.446007115012009, 0.13269349836501784
0.0132, -0.004305788110771883, 0.0, 3.505, 0.5686587025562229, 1.552865943247785, 0.12837154108755902
0.0133, -0.003991285708747432, 0.0, 3.505, 0.5729667230301336, 1.673930173433743, 0.12395374099724084
0.0134, -0.003454774161043665, 0.0, 3.505, 0.5772747435040444, 1.8905791789434891, 0.11692712137577611
0.0135, -0.0034012629199339293, 0.0, 3.505, 0.5815827639779552, 1.9225540251370177, 0.11623843131098033
0.0136, -0.0031197264987833165, 0.0, 3.505, 0.5858907844518659, 2.051373216407273, 0.11280674192894699
0.0137, -0.0028999450757672485, 0.0, 3.505, 0.5901988049257767, 2.1585194922092548, 0.11024019229405342
0.0138, -0.0025659505905248257, 0.0, 3.505, 0.5945068253996875, 2.3243816576124208, 0.10649202108217747
0.0139, -0.0023257212723794773, 0.0, 3.505, 0.5988148458735982, 2.4521716343093414, 0.10392992049101311
0.014, -0.002027116483426175, 0.0, 3.505, 0.603122866347509, 2.6162653049947795, 0.10085858743574629
0.0141, -0.0017123810977637422, 0.0, 3.505, 0.6074308868214197, 2.7979851058862737, 0.09776005386606157
0.0142, -0.0014649162612664916, 0.0, 3.505, 0.6117389072953304, 2.948947797161147, 0.09544950187765563
0.0143, -0.0010545819092824054, 0.0, 3.505, 0.6160469277692412, 3.209427890742902, 0.0917084377024792
0.0144, -8.090643866462827E-4, 0.0, 3.505, 0.620354948243152, 3.3755797304767454, 0.0896308962946157
0.0145, -5.029236898004756E-4, 0.0, 3.505, 0.6246629687170627, 3.5908759230229697, 0.08710308994871208
0.0146, -1.23488677237336E-4, 0.0, 3.505, 0.6289709891909735, 3.872299066558717, 0.08407062317887509
0.0147, 1.7115973810319035E-4, 0.0, 3.505, 0.6332790096648843, 4.102706130797081, 0.08186187107649874
0.0148, 4.896580843961154E-4, 0.0, 3.505, 0.637587030138795, 4.363647954088461, 0.07955609897662358
0.0149, 7.843922876743242E-4, 0.0, 3.505, 0.6418950506127058, 4.616070744850345, 0.07752413965541466
