Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.70557108814463
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 0.3
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.505
Dry volume fraction: 0.01509999999999997
Reservoir volume fraction: 0.6505110915605273
Actual volume fraction: 0.648862178559355
MC steps: 60000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.6502352721245204
The coupling constant increment - dlambda: 0.0
phi0,         Freference/V,           <F_FR>/V,     		<alpha>,      		zeta, 	 		SpringConstant, 		lindemannParameter
0.0101, -0.019792008097877588, 0.0, 3.505, 0.43511006786498935, 0.014085369157264596, 1.232823113777612
0.0102, -0.020510268229682094, 0.0, 3.505, 0.4394180883389001, 0.012149868273987981, 1.3317581595668708
0.0103, -0.019983979766012235, 0.0, 3.505, 0.4437261088128108, 0.014889759668221654, 1.2069232625205792
0.0104, -0.020251746905186108, 0.0, 3.505, 0.4480341292867216, 0.014585456858888896, 1.2233822876070861
0.0105, -0.021097072058533808, 0.0, 3.505, 0.45234214976063236, 0.012197220573753496, 1.3420759319026458
0.0106, -0.019894280970072464, 0.0, 3.505, 0.45665017023454313, 0.01786308948867251, 1.112503609234129
0.0107, -0.020714179751657454, 0.0, 3.505, 0.4609581907084539, 0.015062582861189666, 1.2153162228505634
0.0108, -0.02078090614402802, 0.0, 3.505, 0.46526621118236466, 0.015578234556608506, 1.1987443125872659
0.0109, -0.02084147408617713, 0.0, 3.505, 0.46957423165627543, 0.016127807027091247, 1.1817681124809964
0.011, -0.020643406337198928, 0.0, 3.505, 0.47388225213018614, 0.017856361424395915, 1.1265371160139583
0.0111, -0.0219348696260959, 0.0, 3.505, 0.4781902726040969, 0.013403495494311312, 1.3041965601221865
0.0112, -0.02140677041826788, 0.0, 3.505, 0.4824982930780077, 0.016152954469628535, 1.1915834160035148
0.0113, -0.020970118772840565, 0.0, 3.505, 0.48680631355191845, 0.018954818701469027, 1.1032588609445362
0.0114, -0.021168102062405297, 0.0, 3.505, 0.4911143340258292, 0.01889186611716769, 1.1083458037278693
0.0115, -0.020932306563734477, 0.0, 3.505, 0.49542235449974, 0.02099307546709844, 1.0544816026867738
0.0116, -0.021639424478849523, 0.0, 3.505, 0.49973037497365075, 0.018421514627133616, 1.1289319284478123
0.0117, -0.021135893752524726, 0.0, 3.505, 0.5040383954475615, 0.021831496639714086, 1.0399950998165208
0.0118, -0.0210407229293005, 0.0, 3.505, 0.5083464159214722, 0.023348910516853567, 1.0084904404665993
0.0119, -0.020245691676969296, 0.0, 3.505, 0.512654436395383, 0.029551881721594477, 0.8989471868361074
0.012, -0.02098673548700592, 0.0, 3.505, 0.5169624568692938, 0.025760041140199346, 0.9655280600141096
0.0121, -0.02019470810444042, 0.0, 3.505, 0.5212704773432045, 0.0324271700170977, 0.8629487943009942
0.0122, -0.019171617141219458, 0.0, 3.505, 0.5255784978171153, 0.04294797899343733, 0.7518992841721138
0.0123, -0.014660967047386654, 0.0, 3.505, 0.5298865182910261, 0.12822042901464673, 0.4363492007310971
0.0124, -0.015798783427733783, 0.0, 3.505, 0.5341945387649368, 0.10116768846561933, 0.49256559681350204
0.0125, -0.013821395614028302, 0.0, 3.505, 0.5385025592388476, 0.16434883241772938, 0.3874935280526881
0.0126, -0.013391828385285595, 0.0, 3.505, 0.5428105797127584, 0.18593401544670668, 0.36527659962029657
0.0127, -0.013793808089543629, 0.0, 3.505, 0.547118600186669, 0.1738348651510385, 0.378771439930534
0.0128, -0.01380445136266679, 0.0, 3.505, 0.5514266206605798, 0.17768284713845242, 0.37562832303617494
0.0129, -0.015791250183670613, 0.0, 3.505, 0.5557346411344906, 0.1167419653405556, 0.4646160023594624
0.013, -0.007122546824275633, 0.0, 3.505, 0.5600426616084013, 0.8198604981063913, 0.17577437546883695
0.0131, -0.014118987601165037, 0.0, 3.505, 0.5643506820823121, 0.1779466231093425, 0.3782596214779355
0.0132, -0.011767903666601107, 0.0, 3.505, 0.5686587025562229, 0.3043824739948813, 0.2899518714894257
0.0133, -0.005713171525767341, 0.0, 3.505, 0.5729667230301336, 1.1525502411252293, 0.1493820360546964
0.0134, -0.005949486470632628, 0.0, 3.505, 0.5772747435040444, 1.1054148072529484, 0.15291498779561338
0.0135, -0.005189952134669394, 0.0, 3.505, 0.5815827639779552, 1.3122220233288435, 0.1406971678629147
0.0136, -0.005038615564363568, 0.0, 3.505, 0.5858907844518659, 1.3658656898139858, 0.13824626242358207
0.0137, -0.004731312836297347, 0.0, 3.505, 0.5901988049257767, 1.4682711748907875, 0.13366411065938755
0.0138, -0.004383918521259619, 0.0, 3.505, 0.5945068253996875, 1.5899593282610283, 0.1287590553396007
0.0139, -0.004137202496673148, 0.0, 3.505, 0.5988148458735982, 1.6842251524118006, 0.12540531771335103
0.014, -0.004037599081512382, 0.0, 3.505, 0.603122866347509, 1.7294237905738215, 0.12405179645346517
0.0141, -0.003610811466890509, 0.0, 3.505, 0.6074308868214197, 1.897968052275253, 0.11869698357373903
0.0142, -0.003466056693557985, 0.0, 3.505, 0.6117389072953304, 1.9644567589195838, 0.11694616154024427
0.0143, -0.0031956029752290504, 0.0, 3.505, 0.6160469277692412, 2.0844468590582474, 0.11379618233113185
0.0144, -0.002836646463029782, 0.0, 3.505, 0.620354948243152, 2.2494447423416526, 0.10979795715457509
0.0145, -0.002658727126115258, 0.0, 3.505, 0.6246629687170627, 2.339228568325073, 0.10791888052406828
0.0146, -0.002359038845701727, 0.0, 3.505, 0.6289709891909735, 2.49045090749582, 0.10483099787177753
0.0147, -0.0021552586807436365, 0.0, 3.505, 0.6332790096648843, 2.599829584678805, 0.10283582376437904
0.0148, -0.0018295182038127313, 0.0, 3.505, 0.637587030138795, 2.7776368136010356, 0.09971502501480271
0.0149, -0.0015678929897518232, 0.0, 3.505, 0.6418950506127058, 2.9284174886462018, 0.09733223306453437
