#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.5154305577278135
#Mean swelling ratio: 5.515
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.16777925547269204
#Actual volume fraction: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.040345227069028974
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.002, 0.6590563236969426, 6.926000000000001, 0.6646890585101752, 0.12525562156662795, 3.175E-5, 0.005399325084364454
0.002, 0.6385999396052673, 6.853, 0.6437466728957817, 0.14416305849042002, 3.35E-5, 0.0051172707889125795
0.0021, 0.6505566692888035, 6.784, 0.6557057757738365, 0.12727909040911184, 3.525E-5, 0.00486322188449848
0.0021, 0.6322467698284728, 6.719, 0.6370231578816823, 0.14813454744994436, 3.7000000000000005E-5, 0.004633204633204632
0.0021, 0.6155073452412243, 6.657, 0.6197032904547735, 0.14984083132677406, 3.875000000000001E-5, 0.004423963133640551
0.0022, 0.6279242555503275, 6.599, 0.6323328722498404, 0.14254040851433838, 4.050000000000001E-5, 0.0042328042328042305
0.0023, 0.6401644529939959, 6.5440000000000005, 0.6446061951442952, 0.130237024536109, 4.225000000000001E-5, 0.004057480980557903
0.0023, 0.6250664544724464, 6.4910000000000005, 0.6291941135146871, 0.1453512793239359, 4.400000000000001E-5, 0.003896103896103895
0.0024, 0.6373003276013882, 6.441, 0.6414589759701316, 0.13169082715306418, 4.5750000000000014E-5, 0.003747072599531614
0.0024, 0.6232720834266788, 6.393, 0.627262681150526, 0.14710789742124225, 4.7500000000000016E-5, 0.0036090225563909753
