r_index,r_index_converted,g_r
0,0,0
1,0.005,0
2,0.01,0
3,0.015,0
4,0.02,0
5,0.025,0
6,0.03,0
7,0.035,0
8,0.04,0
9,0.045,0
10,0.05,0
11,0.055,0
12,0.06,0
13,0.065,0
14,0.07,0
15,0.075,0
16,0.08,0
17,0.085,0
18,0.09,0
19,0.095,0
20,0.1,0
21,0.105,0
22,0.11,0
23,0.115,0
24,0.12,0
25,0.125,0
26,0.13,0
27,0.135,0
28,0.14,0
29,0.145,0
30,0.15,0
31,0.155,0
32,0.16,0
33,0.165,0
34,0.17,0
35,0.175,0
36,0.18,0
37,0.185,0
38,0.19,0
39,0.195,0
40,0.2,0
41,0.205,0
42,0.21,0
43,0.215,0
44,0.22,0
45,0.225,0
46,0.23,0
47,0.235,0
48,0.24,0
49,0.245,0
50,0.25,0
51,0.255,0
52,0.26,0
53,0.265,0
54,0.27,0
55,0.275,0
56,0.28,0
57,0.285,0
58,0.29,0
59,0.295,0
60,0.3,0
61,0.305,0
62,0.31,0
63,0.315,0
64,0.32,0
65,0.325,0
66,0.33,0
67,0.335,0
68,0.34,0
69,0.345,0
70,0.35,0
71,0.355,0
72,0.36,0
73,0.365,0
74,0.37,0
75,0.375,0
76,0.38,0
77,0.385,0
78,0.39,0
79,0.395,0
80,0.4,0
81,0.405,0
82,0.41,0
83,0.415,0
84,0.42,0
85,0.425,0
86,0.43,0
87,0.435,0
88,0.44,0
89,0.445,0
90,0.45,0
91,0.455,0
92,0.46,0
93,0.465,0
94,0.47,0
95,0.475,0
96,0.48,0
97,0.485,0
98,0.49,0
99,0.495,0
100,0.5,0
101,0.505,0
102,0.51,0
103,0.515,0
104,0.52,0
105,0.525,0
106,0.53,0
107,0.535,0
108,0.54,0
109,0.545,0
110,0.55,0
111,0.555,0
112,0.56,0
113,0.565,0
114,0.57,0
115,0.575,0
116,0.58,0
117,0.585,0
118,0.59,0
119,0.595,0
120,0.6,0
121,0.605,0
122,0.61,0
123,0.615,0
124,0.62,0
125,0.625,0
126,0.63,0
127,0.635,0
128,0.64,0
129,0.645,0
130,0.65,0
131,0.655,0
132,0.66,0
133,0.665,0
134,0.67,0
135,0.675,0
136,0.68,0
137,0.685,0
138,0.69,0
139,0.695,0
140,0.7,0
141,0.705,0
142,0.71,0
143,0.715,0
144,0.72,0
145,0.725,0
146,0.73,0
147,0.735,0
148,0.74,0
149,0.745,0
150,0.75,0
151,0.755,0
152,0.76,0
153,0.765,0
154,0.77,0
155,0.775,0
156,0.78,0
157,0.785,0
158,0.79,0
159,0.795,0
160,0.8,0
161,0.805,0
162,0.81,0
163,0.815,0
164,0.82,0
165,0.825,0
166,0.83,0
167,0.835,0
168,0.84,0
169,0.845,0
170,0.85,0
171,0.855,0
172,0.86,0
173,0.865,0
174,0.87,0
175,0.875,0
176,0.88,0
177,0.885,0
178,0.89,0
179,0.895,0
180,0.9,0
181,0.905,0
182,0.91,0
183,0.915,0
184,0.92,0
185,0.925,0
186,0.93,0
187,0.935,0
188,0.94,0
189,0.945,0
190,0.95,0
191,0.955,0
192,0.96,0
193,0.965,0
194,0.97,0
195,0.975,0
196,0.98,0
197,0.985,0
198,0.99,0
199,0.995,0
200,1,0
201,1.005,0
202,1.01,0
203,1.015,0
204,1.02,0
205,1.025,0
206,1.03,0
207,1.035,0
208,1.04,0
209,1.045,0
210,1.05,0
211,1.055,0
212,1.06,0
213,1.065,0
214,1.07,0
215,1.075,0
216,1.08,0
217,1.085,0
218,1.09,0
219,1.095,0
220,1.1,0
221,1.105,0
222,1.11,0
223,1.115,0
224,1.12,0
225,1.125,0
226,1.13,0
227,1.135,0
228,1.14,0
229,1.145,0
230,1.15,0
231,1.155,0
232,1.16,0
233,1.165,0
234,1.17,0
235,1.175,0
236,1.18,0
237,1.185,0
238,1.19,0
239,1.195,0
240,1.2,0
241,1.205,0
242,1.21,0
243,1.215,0
244,1.22,0
245,1.225,0
246,1.23,0
247,1.235,0
248,1.24,0
249,1.245,0
250,1.25,0
251,1.255,0
252,1.26,0
253,1.265,0
254,1.27,0
255,1.275,0
256,1.28,0
257,1.285,0
258,1.29,0
259,1.295,0
260,1.3,0
261,1.305,0
262,1.31,0
263,1.315,0
264,1.32,0
265,1.325,0
266,1.33,0
267,1.335,0
268,1.34,0
269,1.345,0
270,1.35,0
271,1.355,0
272,1.36,0
273,1.365,0
274,1.37,0
275,1.375,0
276,1.38,0
277,1.385,0
278,1.39,0
279,1.395,0
280,1.4,0
281,1.405,0
282,1.41,0
283,1.415,0
284,1.42,0
285,1.425,0
286,1.43,0
287,1.435,0
288,1.44,0
289,1.445,0
290,1.45,0
291,1.455,0
292,1.46,0
293,1.465,0
294,1.47,0
295,1.475,0
296,1.48,0
297,1.485,0
298,1.49,0
299,1.495,0
300,1.5,0
301,1.505,0
302,1.51,0
303,1.515,0
304,1.52,0
305,1.525,0
306,1.53,0
307,1.535,0
308,1.54,0
309,1.545,0
310,1.55,0
311,1.555,0
312,1.56,0
313,1.565,0
314,1.57,0
315,1.575,0
316,1.58,0
317,1.585,0
318,1.59,0
319,1.595,0
320,1.6,0
321,1.605,0
322,1.61,0
323,1.615,0
324,1.62,0
325,1.625,0
326,1.63,0
327,1.635,0
328,1.64,0
329,1.645,0
330,1.65,0
331,1.655,0
