a,S(q)
0.0,1.0
0.005,1.0
0.01,1.0
0.015,1.0
0.02,1.0
0.025,1.0
0.03,1.0
0.035,1.0
0.04,1.0
0.045,1.0
0.05,1.0
0.055,1.0
0.06,1.0
0.065,1.0
0.07,1.0
0.075,1.0
0.08,1.0
0.085,1.0
0.09,1.0
0.095,1.0
0.1,1.0
0.105,1.0
0.11,1.0
0.115,1.0
0.12,1.0
0.125,1.0
0.13,1.0
0.135,1.0
0.14,1.0
0.145,1.0
0.15,1.0
0.155,1.0
0.16,1.0
0.165,1.0
0.17,1.0
0.175,1.0
0.18,1.0
0.185,1.0
0.19,1.0
0.195,1.0
0.2,1.0
0.205,1.0
0.21,1.0
0.215,1.0
0.22,1.0
0.225,1.0
0.23,1.0
0.235,1.0
0.24,1.0
0.245,1.0
0.25,1.0
0.255,1.0
0.26,1.0
0.265,1.0
0.27,1.0
0.275,1.0
0.28,1.0
0.285,1.0
0.29,1.0
0.295,1.0
0.3,1.0
0.305,1.0
0.31,1.0
0.315,1.0
0.32,1.0
0.325,1.0
0.33,1.0
0.335,1.0
0.34,1.0
0.345,1.0
0.35,1.0
0.355,1.0
0.36,1.0
0.365,1.0
0.37,1.0
0.375,1.0
0.38,1.0
0.385,1.0
0.39,1.0
0.395,1.0
0.4,1.0
0.405,1.0
0.41,1.0
0.415,1.0
0.42,1.0
0.425,1.0
0.43,1.0
0.435,1.0
0.44,1.0
0.445,1.0
0.45,1.0
0.455,1.0
0.46,1.0
0.465,1.0
0.47,1.0
0.475,1.0
0.48,1.0
0.485,1.0
0.49,1.0
0.495,1.0
0.5,1.89854992312714
0.505,2.005015048737252
0.51,2.096454568495693
0.515,2.169083996850884
0.52,2.220029648599909
0.525,2.247640964184024
0.53,2.2516964662305643
0.535,2.23347399212616
0.54,2.1956708501145554
0.545,2.1421769149794336
0.55,2.0777212387228605
0.555,2.0074282461362487
0.56,1.9363309839351004
0.5650000000000001,1.868894668486356
0.5700000000000001,1.808603122220612
0.5750000000000001,1.7576536280378332
0.58,1.7167931268346348
0.585,1.685312122154231
0.59,1.6611942359762648
0.595,1.6414014079062784
0.6,1.6222594901274154
0.605,1.599898323828442
0.61,1.5706955255413586
0.615,1.5316746207633507
0.62,1.480815470343044
0.625,1.417247020682444
0.63,1.3413075665778806
0.635,1.254473903550036
0.64,1.1591758719376737
0.645,1.0585249979392837
0.65,0.9559938317043892
0.655,0.8550854252390381
0.66,0.759030151031853
0.665,0.6705403840483394
0.67,0.5916436580543423
0.675,0.5236033222856535
0.68,0.466924145360428
0.685,0.4214302951988362
0.6900000000000001,0.3863958858715297
0.6950000000000001,0.3607045562670646
0.7000000000000001,0.343014502550644
0.705,0.3319086509762587
0.71,0.3260154002183888
0.715,0.3240924541964493
0.72,0.3250734691331838
0.725,0.3280833998439781
0.73,0.3324326538214659
0.735,0.3376019295901101
0.74,0.3432288454189253
0.745,0.3491044956316783
0.75,0.3551835895946432
0.755,0.3616067368089051
0.76,0.3687287086959129
0.765,0.3771430094111585
0.77,0.3876914718827107
0.775,0.4014481855633477
0.78,0.4196698185962747
0.785,0.4437089293136227
0.79,0.4748924983976421
0.795,0.5143738071765638
0.8,0.5629710473892191
0.805,0.621009866993691
0.81,0.6881888285975272
0.8150000000000001,0.7634861564125344
0.8200000000000001,0.8451231690251015
0.8250000000000001,0.930594747041086
0.8300000000000001,1.016770640054138
0.835,1.100064133092434
0.84,1.1766574076708525
0.845,1.242766661879306
0.85,1.2949253918860628
0.855,1.3302616814655197
0.86,1.3467451504301882
0.865,1.343381371738173
0.87,1.3203358313299796
0.875,1.2789754223479726
0.88,1.2218224404822342
0.885,1.1524234086233285
0.89,1.0751421296784596
0.895,0.994892526273888
0.9,0.9168315636088348
0.905,0.8460355008953159
0.91,0.7871836784513995
0.915,0.7442729959081474
0.92,0.7203833132639048
0.925,0.717509500857969
0.93,0.7364701891503258
0.935,0.7768969250780485
0.94,0.8373009778971312
0.945,0.9152090081974972
0.95,1.0073537336246563
0.955,1.1099020240313693
0.96,1.2187008434808984
0.965,1.3295212771145293
0.97,1.438282512529803
0.975,1.5412408844045302
0.98,1.635133570080786
0.985,1.7172717447171169
0.99,1.785583389548497
0.995,1.83861090093092
1.0,1.8754726281289928
1.005,1.8958000490667295
1.01,1.8996632229107853
1.015,1.8874963914648464
1.02,1.8600333102901356
1.025,1.818258445880558
1.03,1.7633760999188643
1.035,1.6967954218848398
1.04,1.6201257545825798
1.045,1.535174347334662
1.05,1.4439375333349287
1.055,1.3485771516364888
1.06,1.251376211591838
1.065,1.1546712280879048
1.07,1.0607627903864647
1.075,0.9718101380160842
1.08,0.8897191474578353
1.085,0.8160355940037318
1.09,0.7518564104706786
1.095,0.6977707080249598
1.1,0.6538396036143928
1.105,0.6196197220153941
1.11,0.5942301377525823
1.115,0.5764571723409763
1.12,0.5648866003189237
1.125,0.5580491302145055
1.13,0.554563054305805
1.135,0.5532580188528251
1.14,0.5532659962978141
1.145,0.5540695018586502
1.15,0.5555023953132349
1.155,0.5577045638193543
1.16,0.5610376173956935
1.165,0.5659736794327811
1.17,0.5729727684576327
1.175,0.5823656943122282
1.18,0.5942586434261968
1.185,0.608472800744301
1.19,0.6245278170830764
1.195,0.6416722661713091
1.2,0.6589581706156482
1.205,0.675350978414508
1.21,0.6898617517793473
1.215,0.7016853506802084
1.22,0.7103274015799479
1.225,0.7157039302204362
1.23,0.7182005411036694
1.235,0.7186825518915312
1.24,0.7184529733131277
1.245,0.7191610042166016
1.25,0.722669116468255
1.255,0.7308912357090773
1.26,0.7456175206180304
1.265,0.7683425301033425
